X,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
0610007P14Rik,665.9110409,-0.270450429,0.101289216,-2.670081181,0.007583291,0.024167219
0610009B22Rik,83.67813709,-0.092928236,0.238233916,-0.390071394,0.696483755,0.806321488
0610009E02Rik,1.53452166,0.315490732,1.521890292,0.207301889,0.835774099,0.90181743
0610009L18Rik,21.21088026,-0.900779453,0.409841629,-2.197872029,0.027958227,0.07174697
0610009O20Rik,766.3961952,0.253376268,0.078948077,3.209403921,0.001330105,0.005450621
0610010F05Rik,137.1063605,0.570988682,0.163175667,3.499226895,0.000466609,0.00220458
0610010K14Rik,58.50124434,0.226224699,0.234805073,0.96345746,0.335318002,0.495343502
0610011F06Rik,547.7810756,-0.392071769,0.091560034,-4.282127847,1.85E-05,0.000130186
0610030E20Rik,1693.87054,-0.121681717,0.071060977,-1.712356382,0.086831012,0.178810063
0610031O16Rik,0.447527191,1.3361619,2.747337235,0.486347975,0.62672047,NA
0610037L13Rik,752.5824449,0.412743885,0.082799775,4.984843049,6.20E-07,6.46E-06
0610038B21Rik,36.17338401,0.268223926,0.316442484,0.847622995,0.396647964,0.557557286
0610039K10Rik,0.576489067,0.569670854,3.003307058,0.189681189,0.849558962,NA
0610040B10Rik,19.27284281,0.046982245,0.44189024,0.106321075,0.915327611,0.952012529
0610040F04Rik,2.477754938,-1.20957695,1.316975655,-0.918450501,0.358383062,0.519278418
0610043K17Rik,7.032680101,0.11853019,0.682793987,0.173595831,0.862183108,0.917923229
1010001B22Rik,1.934005862,-1.266133479,1.304952282,-0.970252703,0.331920546,0.491500703
1110001J03Rik,99.182641,-0.380337171,0.228784311,-1.662426802,0.096427229,0.194123558
1110002E22Rik,1.531130087,-0.225375406,1.482150342,-0.152059747,0.879139812,0.928468436
1110002J07Rik,35.37451632,-0.181620474,0.333175055,-0.545120265,0.585670806,0.725103213
1110002L01Rik,327.7060018,-0.183443505,0.115140747,-1.593211012,0.111112862,0.217201205
1110004E09Rik,189.6570779,-0.494699087,0.168928261,-2.928456634,0.003406493,0.012238143
1110004F10Rik,1181.303394,-0.240228358,0.069302925,-3.466352357,0.000527571,0.002450396
1110007C09Rik,303.847782,-0.006126257,0.110421081,-0.055480862,0.955755377,0.975438284
1110008F13Rik,809.8074343,-0.444416247,0.08889179,-4.999519618,5.75E-07,6.03E-06
1110008L16Rik,133.1738885,-0.502498303,0.184112179,-2.729305073,0.006346796,0.020731998
1110008P14Rik,367.2961444,-0.454551067,0.116830006,-3.890704812,1.00E-04,0.000571553
1110012L19Rik,219.9621198,-0.487561998,0.133450916,-3.653493075,0.000258697,0.001316069
1110017D15Rik,0.584693163,0.600468218,2.605332227,0.23047664,0.817721413,NA
1110019D14Rik,25.98940335,-0.602514091,0.357456083,-1.685561163,0.091880355,0.187079875
1110020A21Rik,8.76801889,-0.163965934,0.604365596,-0.271302562,0.786158336,0.869477832
1110025M09Rik,16.61556532,0.075057208,0.443928575,0.169074963,0.865737678,0.919983632
1110028F11Rik,13.08128691,0.626466558,0.499033983,1.25535851,0.209348644,0.352079313
1110032A03Rik,172.965815,-0.077255435,0.148188221,-0.521333171,0.602134697,0.738361117
1110032F04Rik,117.2634009,-0.213741675,0.197762632,-1.080799097,0.27978649,0.436614036
1110034G24Rik,460.1868939,-0.221503511,0.14073639,-1.573889391,0.115513023,0.22357722
1110035H17Rik,3.957706578,-1.358942497,0.980043611,-1.386614311,0.165559402,0.295458713
1110036E04Rik,0.690593143,-0.061560543,2.470387081,-0.024919392,0.98011926,NA
1110037F02Rik,3921.863672,-0.022580413,0.080952762,-0.2789332,0.780296089,0.86640261
1110038B12Rik,203.7512935,-0.371756319,0.142590261,-2.607164876,0.009129539,0.028227931
1110038F14Rik,547.0783348,-0.056849229,0.105882286,-0.53690972,0.591329977,0.729441475
1110046J04Rik,4.751175345,-0.883616762,0.825251722,-1.070723924,0.284293582,0.441827111
1110051M20Rik,220.2618384,-3.362207999,0.198168163,-16.96643872,1.45E-64,1.22E-61
1110059E24Rik,263.6609365,-0.000675048,0.12157422,-0.005552559,0.995569722,0.997764955
1110059G10Rik,270.8524936,-0.348088463,0.119883155,-2.903564406,0.003689411,0.01311241
1110065P20Rik,121.7795049,-0.36551643,0.194301028,-1.881186289,0.059946582,0.132301641
1190002F15Rik,97.42299916,-0.422916939,0.188615246,-2.242220331,0.024947136,0.065315839
1190002N15Rik,861.9110862,0.006127517,0.073968493,0.082839551,0.93397912,0.963189607
1190005I06Rik,2.444851201,0.438346203,1.260083158,0.347870853,0.727937176,0.829580189
1190007I07Rik,113.0457426,-0.172507295,0.188876113,-0.913335691,0.361066017,0.522262065
1200007C13Rik,1.859035301,-0.079567549,1.246687471,-0.063823172,0.949111027,0.971805344
1200014J11Rik,1308.264023,0.090924936,0.066897199,1.35917404,0.174091446,0.307136156
1300002E11Rik,549.1200697,0.535052055,0.099691194,5.36709445,8.00E-08,1.06E-06
1300017J02Rik,0.695648841,-0.018319384,2.209441424,-0.00829141,0.993384488,NA
1500002C15Rik,47.3084783,-0.38473746,0.291354384,-1.320513712,0.186663561,0.323929419
1500002F19Rik,0.534731537,-2.245391064,3.032823561,-0.740363235,0.45907962,NA
1500004A13Rik,373.1500106,-0.019882708,0.13518115,-0.147081955,0.883067333,0.930443445
1500009L16Rik,1.096414469,-2.102753181,1.79991009,-1.168254566,0.242704096,NA
1500011B03Rik,257.4236661,-0.428366726,0.130882477,-3.272911209,0.001064459,0.004530074
1500011K16Rik,153.5044138,-0.149476179,0.159528177,-0.936989203,0.348764112,0.509097036
1500012F01Rik,405.8191983,-0.051968191,0.103879146,-0.500275487,0.616881112,0.748849232
1500015A07Rik,48.34399892,-0.227619137,0.310534158,-0.732992269,0.463563145,0.621323577
1500026H17Rik,0.548555821,-0.858679824,3.074230287,-0.279315388,0.780002798,NA
1520401A03Rik,0.894395807,1.633278833,2.026927713,0.805790371,0.420363731,NA
1600002H07Rik,163.5596744,0.200777428,0.160639538,1.249863084,0.211349567,0.354731896
1600002K03Rik,113.6588924,-0.270826483,0.202940989,-1.334508542,0.182037249,0.318269209
1600012H06Rik,587.7200817,-0.550052466,0.090487272,-6.078782738,1.21E-09,2.47E-08
1600012P17Rik,0.283512112,0.429296836,3.709287843,0.115735649,0.907862052,NA
1600014C10Rik,1330.448898,0.337212821,0.098761567,3.414413425,0.000639195,0.002901088
1600020E01Rik,314.5886397,0.447530925,0.116740565,3.83355114,0.000126307,0.000702547
1700001C19Rik,0.556862204,-0.882495922,2.630855753,-0.335440634,0.73729272,NA
1700001D01Rik,0.451512733,1.367008474,2.742369885,0.498477059,0.618147835,NA
