NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
KEGG_CELL_CYCLE,KEGG_CELL_CYCLE,Details ...,120,-0.5691151,-2.6136959,0,0,0,2421,"tags=39%, list=14%, signal=45%",B6_micro
KEGG_DNA_REPLICATION,KEGG_DNA_REPLICATION,Details ...,34,-0.71453303,-2.4609861,0,0,0,2559,"tags=56%, list=14%, signal=65%",B6_micro
KEGG_HOMOLOGOUS_RECOMBINATION,KEGG_HOMOLOGOUS_RECOMBINATION,Details ...,25,-0.6911637,-2.2762249,0,0.001890291,0.004,2036,"tags=44%, list=11%, signal=50%",B6_micro
KEGG_MISMATCH_REPAIR,KEGG_MISMATCH_REPAIR,Details ...,21,-0.7090063,-2.2247803,0,0.002147699,0.006,2590,"tags=52%, list=15%, signal=61%",B6_micro
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,Details ...,40,-0.6074439,-2.1857128,0,0.002811266,0.01,2330,"tags=43%, list=13%, signal=49%",B6_micro
KEGG_OOCYTE_MEIOSIS,KEGG_OOCYTE_MEIOSIS,Details ...,105,-0.4823717,-2.1046135,0,0.004759884,0.02,2683,"tags=34%, list=15%, signal=40%",B6_micro
KEGG_PROTEASOME,KEGG_PROTEASOME,Details ...,43,-0.5736539,-2.087307,0,0.004492346,0.022,2888,"tags=47%, list=16%, signal=55%",B6_micro
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,Details ...,15,-0.7236742,-2.0740054,0,0.004440739,0.025,2774,"tags=60%, list=16%, signal=71%",B6_micro
KEGG_N_GLYCAN_BIOSYNTHESIS,KEGG_N_GLYCAN_BIOSYNTHESIS,Details ...,44,-0.56620777,-2.051003,0,0.00451177,0.029,3501,"tags=52%, list=20%, signal=65%",B6_micro
KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_CITRATE_CYCLE_TCA_CYCLE,Details ...,30,-0.5884773,-2.0180159,0,0.005472323,0.039,3301,"tags=47%, list=19%, signal=57%",B6_micro
KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_OXIDATIVE_PHOSPHORYLATION,Details ...,113,-0.4558131,-2.0130558,0,0.005239792,0.041,4047,"tags=52%, list=23%, signal=67%",B6_micro
KEGG_PROPANOATE_METABOLISM,KEGG_PROPANOATE_METABOLISM,Details ...,29,-0.59766346,-2.002257,0.002994012,0.005256381,0.045,4251,"tags=62%, list=24%, signal=81%",B6_micro
KEGG_PARKINSONS_DISEASE,KEGG_PARKINSONS_DISEASE,Details ...,105,-0.4557813,-2.0008318,0,0.004852044,0.045,3745,"tags=50%, list=21%, signal=64%",B6_micro
KEGG_PYRIMIDINE_METABOLISM,KEGG_PYRIMIDINE_METABOLISM,Details ...,91,-0.46014243,-1.9880862,0,0.005123224,0.051,1902,"tags=31%, list=11%, signal=34%",B6_micro
KEGG_NUCLEOTIDE_EXCISION_REPAIR,KEGG_NUCLEOTIDE_EXCISION_REPAIR,Details ...,42,-0.5069636,-1.8942274,0,0.012559213,0.124,2864,"tags=48%, list=16%, signal=57%",B6_micro
KEGG_P53_SIGNALING_PATHWAY,KEGG_P53_SIGNALING_PATHWAY,Details ...,61,-0.47192082,-1.8584847,0,0.016204469,0.17,3949,"tags=43%, list=22%, signal=55%",B6_micro
KEGG_SPLICEOSOME,KEGG_SPLICEOSOME,Details ...,120,-0.40909284,-1.8433338,0,0.016759537,0.183,3964,"tags=49%, list=22%, signal=63%",B6_micro
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,Details ...,42,-0.4934828,-1.812819,0,0.019528514,0.226,4021,"tags=48%, list=23%, signal=61%",B6_micro
KEGG_PROTEIN_EXPORT,KEGG_PROTEIN_EXPORT,Details ...,22,-0.5661645,-1.7600056,0.019337017,0.028537426,0.32,2851,"tags=32%, list=16%, signal=38%",B6_micro
KEGG_ONE_CARBON_POOL_BY_FOLATE,KEGG_ONE_CARBON_POOL_BY_FOLATE,Details ...,17,-0.57182837,-1.7142056,0.03064067,0.038228538,0.424,1670,"tags=35%, list=9%, signal=39%",B6_micro
KEGG_RNA_POLYMERASE,KEGG_RNA_POLYMERASE,Details ...,25,-0.5002927,-1.6496503,0.05074627,0.053358115,0.552,4318,"tags=56%, list=24%, signal=74%",B6_micro
KEGG_LYSOSOME,KEGG_LYSOSOME,Details ...,115,-0.36282444,-1.6370468,0.00409836,0.055481624,0.582,2566,"tags=30%, list=14%, signal=35%",B6_micro
KEGG_STEROID_BIOSYNTHESIS,KEGG_STEROID_BIOSYNTHESIS,Details ...,16,-0.5488846,-1.6185831,0.031325303,0.060241293,0.631,712,"tags=38%, list=4%, signal=39%",B6_micro
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,Details ...,81,-0.38117296,-1.5879583,0.006825938,0.06977336,0.705,1323,"tags=17%, list=7%, signal=19%",B6_micro
KEGG_PYRUVATE_METABOLISM,KEGG_PYRUVATE_METABOLISM,Details ...,38,-0.42200077,-1.5579425,0.02972973,0.08055549,0.765,2627,"tags=37%, list=15%, signal=43%",B6_micro
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,Details ...,43,-0.4080603,-1.5362847,0.03858521,0.087909475,0.803,4591,"tags=47%, list=26%, signal=62%",B6_micro
KEGG_GLUTATHIONE_METABOLISM,KEGG_GLUTATHIONE_METABOLISM,Details ...,44,-0.4075264,-1.519685,0.021084337,0.09257353,0.826,3256,"tags=36%, list=18%, signal=44%",B6_micro
KEGG_ALZHEIMERS_DISEASE,KEGG_ALZHEIMERS_DISEASE,Details ...,151,-0.3220904,-1.5109493,0.00896861,0.09410939,0.844,3361,"tags=33%, list=19%, signal=40%",B6_micro
KEGG_OTHER_GLYCAN_DEGRADATION,KEGG_OTHER_GLYCAN_DEGRADATION,Details ...,15,-0.5062562,-1.487355,0.08100559,0.10386107,0.883,4383,"tags=60%, list=25%, signal=79%",B6_micro
KEGG_HUNTINGTONS_DISEASE,KEGG_HUNTINGTONS_DISEASE,Details ...,161,-0.31775984,-1.4740895,0.013215859,0.10809724,0.903,3374,"tags=35%, list=19%, signal=43%",B6_micro
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,Details ...,84,-0.34560803,-1.4568629,0.03345725,0.11485301,0.926,2873,"tags=32%, list=16%, signal=38%",B6_micro
