GeneSymbol,mArray_stat,mArray_padj,mArray_log2FC_TCvsB6,RNAseq_log2FoldChange,RNAseq_stat,RNAseq_pvalue,RNAseq_padj,stat_annot
BC147527,-39.9151,3.70E-08,-2.90632,-9.310342528,-7.802311493,6.08E-15,3.19E-13,co_low_FC1.5
Tceanc2,-27.4472,2.92E-07,-1.26682,-3.842827447,-26.13338134,1.52E-150,8.07E-147,co_low_FC1.5
Ptpn5,-24.2886,3.52E-07,-1.2863,-5.123704575,-15.92571444,4.20E-57,2.91E-54,co_low_FC1.5
Iglon5,15.4722,4.64E-06,0.950549,2.508707495,7.134287226,9.73E-13,3.45E-11,co_high_FC1.5
Slc6a16,14.3859,7.60E-06,0.659816,8.54059712,7.99354712,1.31E-15,7.42E-14,co_high_FC1.5
Slc12a8,-15.0656,8.40E-06,-0.231752,-0.9256934,-5.324813441,1.01E-07,1.31E-06,co_low_FC0
Slc1a5,-16.6209,8.96E-06,-0.879806,-1.236695133,-16.73268536,7.57E-63,5.74E-60,co_low_FC1.5
Vmn2r29,-13.4998,1.02E-05,-0.668141,-4.042379596,-2.843496143,0.004462155,0.015387809,co_low_FC1.5
Igsf23,16.5523,1.21E-05,1.29608,2.980280016,17.79294861,8.01E-71,7.97E-68,co_high_FC1.5
Syt14,14.0031,1.28E-05,1.25849,4.477132202,16.81909632,1.77E-63,1.41E-60,co_high_FC1.5
Gm15545,12.8494,1.57E-05,0.954124,1.836305506,13.07411359,4.63E-39,1.71E-36,co_high_FC1.5
AI987944,-14.8591,2.09E-05,-0.872589,-1.070779857,-11.91631949,9.73E-33,2.54E-30,co_low_FC1.5
Htatip2,-26.5195,3.00E-05,-1.86722,-5.94014934,-19.02275167,1.11E-80,1.60E-77,co_low_FC1.5
Pitpnm2,13.1531,3.27E-05,0.33246,0.599281995,5.210287707,1.89E-07,2.24E-06,co_high_FC0
Vdr,11.204,3.77E-05,0.830742,1.004838904,2.636605413,0.008374018,0.026254212,co_high_FC1.5
Snrpn,11.2413,3.82E-05,0.562909,3.131717115,4.319116096,1.57E-05,0.000113328,co_high_FC0
Samhd1,10.8615,3.91E-05,0.19526,0.237632133,3.025561836,0.002481717,0.009355248,co_high_FC0
Scg5,10.3887,4.73E-05,1.30979,3.625817543,23.52941939,2.04E-122,6.49E-119,co_high_FC1.5
Prg4,13.3418,4.82E-05,1.02602,1.634153632,3.754959806,0.000173369,0.000928918,co_high_FC1.5
Gm15918,10.9252,5.12E-05,0.533724,0.985980312,2.401242738,0.016339494,0.045923793,co_high_FC0
Csf1,10.1786,5.41E-05,0.586302,0.293268826,2.409295304,0.015983359,0.045106135,co_high_FC0
Acvr2a,11.2472,5.54E-05,0.965586,1.642242863,9.015055664,1.97E-19,1.74E-17,co_high_FC1.5
Zfp619,-16.7193,5.72E-05,-0.692406,-0.478196604,-1.97724018,0.048014488,0.110761959,
Ighv1-80,-9.90641,6.32E-05,-4.08006,-5.006478946,-3.083864268,0.002043308,0.007914522,co_low_FC1.5
Ppic,10.052,6.34E-05,0.760873,0.937469988,5.443633836,5.22E-08,7.23E-07,co_high_FC1.5
Ide,-10.2514,6.38E-05,-0.352634,-0.539175213,-9.574047425,1.03E-21,1.15E-19,co_low_FC0
Cd48,-10.8814,6.39E-05,-0.801986,-0.781394522,-11.12075409,9.94E-29,1.88E-26,co_low_FC1.5
Pgpep1l,-9.80134,6.49E-05,-0.615959,-1.488936923,-7.15338507,8.47E-13,3.03E-11,co_low_FC1.5
Edn3,9.28179,8.89E-05,0.672627,0.980353051,6.907786722,4.92E-12,1.57E-10,co_high_FC1.5
Plxna1,10.0249,8.91E-05,0.459119,1.540542099,11.29913918,1.33E-29,2.81E-27,co_high_FC0
Atf6,-9.75545,9.87E-05,-0.428992,-0.43550241,-4.349957632,1.36E-05,0.000100282,co_low_FC0
Mctp1,-17.8844,0.000100698,-1.18635,-2.564386384,-11.17907325,5.16E-29,1.01E-26,co_low_FC1.5
Kcnn4,-9.04153,0.000110777,-0.629139,-0.620333131,-8.665892073,4.48E-18,3.39E-16,co_low_FC1.5
Esm1,-11.7055,0.000111938,-0.882611,-2.933984583,-10.77872515,4.34E-27,7.12E-25,co_low_FC1.5
Nav2,-26.944,0.000118099,-1.46396,-2.313593966,-17.99714234,2.05E-72,2.33E-69,co_low_FC1.5
1700049G17Rik,-11.7326,0.000120942,-0.422254,-1.591280538,-8.329950785,8.09E-17,5.34E-15,co_low_FC0
Ccdc61,-8.80988,0.000122245,-0.525591,-1.499917185,-11.7621298,6.12E-32,1.52E-29,co_low_FC0
Zfp358,14.5946,0.000127445,0.290927,0.047503467,0.244949067,0.806495868,0.882143403,
Zfp69,11.5789,0.00013788,0.791494,1.368673557,4.910899039,9.07E-07,9.04E-06,co_high_FC1.5
Med8,-8.80882,0.000138609,-0.496569,-0.100728823,-1.251758119,0.210658015,0.353720467,
Calcrl,-8.95177,0.000139973,-0.406858,-1.085426722,-8.702180954,3.26E-18,2.54E-16,co_low_FC0
Fbxo17,8.50757,0.000146937,0.631397,1.882148844,10.53268062,6.11E-26,9.17E-24,co_high_FC1.5
Dkkl1,-8.4535,0.000151104,-0.878778,-5.499646285,-7.983327677,1.42E-15,8.01E-14,co_low_FC1.5
Pop4,-8.37662,0.000159242,-0.740324,-0.499316893,-4.253975111,2.10E-05,0.000145443,co_low_FC0
9830147E19Rik,-12.9563,0.000164487,-1.70075,-6.620442903,-11.69602536,1.34E-31,3.27E-29,co_low_FC1.5
Bend3,9.0501,0.00016764,0.312108,0.289939063,2.064975704,0.038925299,0.09359487,
Gm23062,8.61134,0.000173408,0.377294,1.366920017,0.49991145,0.61713743,,
Arhgap39,8.3466,0.000174857,0.254283,0.660089666,6.463292604,1.02E-10,2.61E-09,co_high_FC0
Zfp111,-10.3315,0.000185368,-0.371624,-0.61296501,-3.048083399,0.00230306,0.008775348,co_low_FC0
Actr2,-8.01199,0.000205607,-0.310426,-0.369282691,-8.290562721,1.13E-16,7.35E-15,co_low_FC0
Dhx34,8.28437,0.000207201,0.366389,1.077249962,15.17277397,5.36E-52,3.28E-49,co_high_FC0
Kcnq1,8.12637,0.000216869,0.546316,1.746788988,2.024803381,0.042887558,0.101044915,
Xpc,10.9038,0.000226422,0.359074,0.773513989,11.02564255,2.87E-28,5.26E-26,co_high_FC0
Myo1d,8.10516,0.000229548,0.37404,0.703806025,3.395232618,0.000685703,0.003085761,co_high_FC0
Mill2,8.03511,0.000233246,0.622712,4.03694985,11.21700908,3.36E-29,6.86E-27,co_high_FC1.5
1110051M20Rik,-9.48123,0.000245844,-0.632661,-3.362207999,-16.96643872,1.45E-64,1.22E-61,co_low_FC1.5
Zfp30,8.44315,0.000248006,0.511224,2.628891218,7.851937887,4.10E-15,2.19E-13,co_high_FC0
5330416C01Rik,7.74447,0.000278184,0.336948,7.074077051,6.062636106,1.34E-09,2.71E-08,co_high_FC0
Nomo1,-7.52013,0.000286408,-0.26278,-0.551599647,-8.536078239,1.39E-17,9.95E-16,co_low_FC0
Zcchc9,-7.85959,0.00029824,-0.573795,0.141367698,1.704617275,0.088265827,0.181071155,
Bcam,-8.22431,0.00030224,-0.591352,-3.119967659,-13.92442898,4.50E-44,2.11E-41,co_low_FC1.5
Rgs3,8.54103,0.000304577,0.356212,0.700655711,9.71439441,2.62E-22,3.11E-20,co_high_FC0
Spry1,7.51133,0.000308303,0.424616,1.562550324,10.35067537,4.16E-25,6.01E-23,co_high_FC0
Pdcd5,-7.66184,0.000309141,-0.280516,-0.386994346,-3.652565025,0.000259634,0.001319149,co_low_FC0
Nt5c1a,10.7449,0.000310916,0.729537,7.793943696,6.626498679,3.44E-11,9.46E-10,co_high_FC1.5
Gm10472,7.83053,0.000314856,0.289959,1.941143483,1.094672042,0.273660341,,
Slamf6,-7.41732,0.000335105,-0.525858,0.512886654,5.835315723,5.37E-09,9.47E-08,
