Gene Set Name,# Genes in Gene Set (K),Description,# Genes in Overlap (k),k/K,p-value,FDR q-value
REACTOME_SIGNALING_BY_MET,79,Signaling by MET,8,0.1013,5.87E-07,8.87E-04
NABA_MATRISOME,1026,Ensemble of genes encoding extracellular matrix and extracellular matrix-associated proteins,27,0.0263,8.06E-07,8.87E-04
KEGG_AXON_GUIDANCE,129,Axon guidance,9,0.0698,2.74E-06,1.52E-03
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,296,MAPK family signaling cascades,13,0.0439,3.36E-06,1.52E-03
REACTOME_NETRIN_1_SIGNALING,50,Netrin-1 signaling,6,0.12,5.74E-06,2.02E-03
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,468,Signaling by Receptor Tyrosine Kinases,16,0.0342,6.43E-06,2.02E-03
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE,33,Amino acid transport across the plasma membrane,5,0.1515,1.10E-05,3.02E-03
KEGG_PYRUVATE_METABOLISM,40,Pyruvate metabolism,5,0.125,2.89E-05,7.07E-03
REACTOME_OTHER_INTERLEUKIN_SIGNALING,288,Other interleukin signaling,11,0.0382,6.76E-05,1.34E-02
REACTOME_SIGNALING_BY_INTERLEUKINS,631,Signaling by Interleukins,17,0.0269,6.85E-05,1.34E-02
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,856,Cytokine Signaling in Immune system,20,0.0234,1.13E-04,1.91E-02
KEGG_MAPK_SIGNALING_PATHWAY,267,MAPK signaling pathway,10,0.0375,1.69E-04,2.62E-02
REACTOME_DEVELOPMENTAL_BIOLOGY,1104,Developmental Biology,23,0.0208,1.91E-04,2.62E-02
REACTOME_SIGNALING_BY_RHO_GTPASES,450,Signaling by Rho GTPases,13,0.0289,2.49E-04,3.05E-02
