co_low_high_FC1,co_low_FC1,co_high_FC1,co_low_FC1.5,co_high_FC1.5,co_high_low_FC1.5
BC147527,BC147527,Iglon5,BC147527,Iglon5,BC147527
Tceanc2,Tceanc2,Slc6a16,Tceanc2,Slc6a16,Tceanc2
Ptpn5,Ptpn5,Igsf23,Ptpn5,Igsf23,Ptpn5
Iglon5,Slc12a8,Syt14,Slc1a5,Syt14,Iglon5
Slc6a16,Slc1a5,Gm15545,Vmn2r29,Gm15545,Slc6a16
Slc12a8,Vmn2r29,Pitpnm2,AI987944,Vdr,Slc1a5
Slc1a5,AI987944,Vdr,Htatip2,Scg5,Vmn2r29
Vmn2r29,Htatip2,Snrpn,Ighv1-80,Prg4,Igsf23
Igsf23,Ighv1-80,Samhd1,Cd48,Acvr2a,Syt14
Syt14,Ide,Scg5,Pgpep1l,Ppic,Gm15545
Gm15545,Cd48,Prg4,Mctp1,Edn3,AI987944
AI987944,Pgpep1l,Gm15918,Kcnn4,Zfp69,Htatip2
Htatip2,Atf6,Csf1,Esm1,Fbxo17,Vdr
Pitpnm2,Mctp1,Acvr2a,Nav2,Mill2,Scg5
Vdr,Kcnn4,Ppic,Dkkl1,Nt5c1a,Prg4
Snrpn,Esm1,Edn3,9830147E19Rik,Mfge8,Acvr2a
Samhd1,Nav2,Plxna1,1110051M20Rik,Plagl1,Ighv1-80
Scg5,1700049G17Rik,Zfp69,Bcam,Hpcal4,Ppic
Prg4,Ccdc61,Fbxo17,Gm4956,Pdzrn3,Cd48
Gm15918,Calcrl,Arhgap39,Serinc5,Il4,Pgpep1l
Csf1,Dkkl1,Dhx34,Pde11a,Mtus1,Edn3
Acvr2a,Pop4,Xpc,F2rl1,Slc1a4,Mctp1
Ighv1-80,9830147E19Rik,Myo1d,Klk1b27,Muc20,Kcnn4
Ppic,Zfp111,Mill2,Eps8l1,Dhdh,Esm1
Ide,Actr2,Zfp30,Bub1b,Gzma,Nav2
Cd48,1110051M20Rik,5330416C01Rik,Igkv5-39,Olfr373,Zfp69
Pgpep1l,Nomo1,Rgs3,Igkv4-57,Trpm6,Fbxo17
Edn3,Bcam,Spry1,Rpl31-ps23,Gca,Dkkl1
Plxna1,Pdcd5,Nt5c1a,Pttg1,Cpt1c,9830147E19Rik
Atf6,Fuz,Fgd6,Slc43a1,Padi4,Mill2
Mctp1,Gm4956,Alad,Pcsk1,Olfr372,1110051M20Rik
Kcnn4,Serinc5,Mfge8,Hgsnat,Rab4a,Bcam
Esm1,Pde11a,Slc38a6,Ifi30,Gramd1a,Nt5c1a
Nav2,F2rl1,Plagl1,Gm5595,Cyp4f18,Mfge8
