X,name
Bcl6,
Irf4,
Jun,AP1
Batf,
Ascl2,
Id2,
Id3,
Foxp1,
Foxo1,
Itch,
Maf,
Cxcr3,
Cxcr4,
Cxcr5,
Pdcd1,Pd1
Il21,
Il4,
Stat1,
Runx3,
Stat3,
Stat4,
Bach,
Fos,
tbx21,
Ctla4,
Tigit,
S1pr1,
Slamf1,
Slamf6,
Slamf4,
Sh2d1a,
Cd84,
Slc9a9,
Lif,
Lta,
Tnf,
Itgb7,
Prdm1,
Smad1,
Smad2,
Smad3,
Smad4,
Icos,
Acvr2a,
Selplg ,
Gpr183,
Cd69,
Cxcl13,
Cd40l,
Il17a,
Ccr6,
Il17f,
Ifng,
Il12rb1,
Il12rb2,
Ifngr1,
Ifngr2,
Gata3,
Junb,
Nfatc1,
Prkd2,
Rc3h1,
Cd73,
