Unnamed: 0,stat,padj,log2FC_TCvsB6
BC147527,-39.9151,3.70E-08,-2.90632
Tceanc2,-27.4472,2.92E-07,-1.26682
Ptpn5,-24.2886,3.52E-07,-1.2863
Iglon5,15.4722,4.64E-06,0.950549
Ppp1r2-ps2,-15.8075,6.39E-06,-0.923041
Slc6a16,14.3859,7.60E-06,0.659816
Slc12a8,-15.0656,8.40E-06,-0.231752
Slc1a5,-16.6209,8.96E-06,-0.879806
Vmn2r29,-13.4998,1.02E-05,-0.668141
Ppp1r2-ps3,-15.0786,1.19E-05,-1.05053
Igsf23,16.5523,1.21E-05,1.29608
Syt14,14.0031,1.28E-05,1.25849
Gm15545,12.8494,1.57E-05,0.954124
AI987944,-14.8591,2.09E-05,-0.872589
Htatip2,-26.5195,3.00E-05,-1.86722
Pitpnm2,13.1531,3.27E-05,0.33246
Vdr,11.204,3.77E-05,0.830742
Snrpn,11.2413,3.82E-05,0.562909
Samhd1,10.8615,3.91E-05,0.19526
Scg5,10.3887,4.73E-05,1.30979
Prg4,13.3418,4.82E-05,1.02602
Gm15918,10.9252,5.12E-05,0.533724
Csf1,10.1786,5.41E-05,0.586302
Acvr2a,11.2472,5.54E-05,0.965586
Zfp619,-16.7193,5.72E-05,-0.692406
Ighv1-80,-9.90641,6.32E-05,-4.08006
Ppic,10.052,6.34E-05,0.760873
Ide,-10.2514,6.38E-05,-0.352634
Cd48,-10.8814,6.39E-05,-0.801986
Pgpep1l,-9.80134,6.49E-05,-0.615959
Gm15096,10.0527,6.60E-05,0.267687
Gm10462,-17.7602,6.83E-05,-3.67925
Edn3,9.28179,8.89E-05,0.672627
Plxna1,10.0249,8.91E-05,0.459119
Gm10462,-18.4406,8.94E-05,-3.65465
Atf6,-9.75545,9.87E-05,-0.428992
Mctp1,-17.8844,0.000100698,-1.18635
Kcnn4,-9.04153,0.000110777,-0.629139
Esm1,-11.7055,0.000111938,-0.882611
Nav2,-26.944,0.000118099,-1.46396
1700049G17Rik,-11.7326,0.000120942,-0.422254
Ccdc61,-8.80988,0.000122245,-0.525591
Zfp358,14.5946,0.000127445,0.290927
Zfp69,11.5789,0.00013788,0.791494
Med8,-8.80882,0.000138609,-0.496569
Calcrl,-8.95177,0.000139973,-0.406858
Fbxo17,8.50757,0.000146937,0.631397
Dkkl1,-8.4535,0.000151104,-0.878778
Pop4,-8.37662,0.000159242,-0.740324
Gpr124,8.75821,0.000163677,0.787284
9830147E19Rik,-12.9563,0.000164487,-1.70075
Bend3,9.0501,0.00016764,0.312108
Gm23062,8.61134,0.000173408,0.377294
Arhgap39,8.3466,0.000174857,0.254283
Zfp111,-10.3315,0.000185368,-0.371624
Gm3978,-8.82866,0.00020276,-0.361649
Actr2,-8.01199,0.000205607,-0.310426
Dhx34,8.28437,0.000207201,0.366389
Kcnq1,8.12637,0.000216869,0.546316
Xpc,10.9038,0.000226422,0.359074
Myo1d,8.10516,0.000229548,0.37404
Mill2,8.03511,0.000233246,0.622712
1110051M20Rik,-9.48123,0.000245844,-0.632661
Zfp30,8.44315,0.000248006,0.511224
