,b6_r1,b6_r2,b6_r3,tc_r1,tc_r2,tc_r3,tc_r4,tc_r5
Gm22271,5.43348,5.49877,5.78988,5.5075,5.72846,6.02083,6.38174,6.22714
Masp2,4.45207,4.53192,4.47148,4.58662,4.41669,4.33661,4.39804,4.7434
Cep104,6.13479,6.15932,6.03816,6.14436,6.15303,6.18136,6.09184,6.33813
Rufy4,4.88463,4.76781,4.79355,4.85193,4.83538,4.95889,4.96655,5.19953
Gm15884,5.02321,5.12132,5.01407,4.96592,4.88901,5.16402,4.89419,5.06128
Txnl1,6.79827,6.86914,7.01452,6.65847,6.64703,6.80056,6.63098,7.01177
Grb7,5.51395,5.4905,5.35807,5.35504,5.53008,5.44017,5.34656,5.49994
Gm12352,5.07174,4.97798,5.18034,4.88972,4.95074,4.91514,5.22751,4.97559
Gm10742,3.90862,3.82109,3.9471,3.90487,3.92658,3.82929,3.85369,4.35793
Gm595,2.28868,2.21554,2.20081,2.18841,2.33537,2.30538,2.26423,2.55824
Gm25068,5.02552,4.81698,5.43907,4.78795,4.75644,5.14373,5.1072,4.87461
Ccdc158,3.6449,3.6184,3.7349,3.59039,3.6013,3.69682,3.6639,4.00127
Ppp1r9a,3.75355,3.63255,3.6919,3.7696,3.73018,3.75986,3.77173,3.84179
Gm266,4.41669,4.47187,4.36981,4.2804,4.45796,3.9264,4.57824,5.11582
Cinp,6.57598,6.39407,6.39807,6.50101,6.46939,6.37365,6.29997,6.38339
Cd72,6.55896,6.62116,6.78482,6.6898,6.72324,6.28545,6.36151,6.34165
Tnnc2,5.50146,5.28105,5.4187,5.31194,5.52565,5.43305,5.58581,5.69412
Wdr83os,8.23307,8.21007,7.81573,8.5942,8.54015,8.16469,7.95103,8.10579
Gm23939,2.07512,2.23238,2.55201,2.56836,2.71209,2.0141,2.12938,2.46454
Gm10538,4.17904,4.08791,4.03807,4.01649,4.36643,4.10842,4.34222,4.53581
Ighm,6.45906,7.95677,8.57041,6.06013,5.42975,5.496,6.65914,6.35534
Gck,5.41777,5.27253,5.39815,5.3091,5.38453,5.55589,5.52986,5.71988
4930571N24Rik,4.36265,4.27034,4.27505,4.31617,4.30467,4.46107,4.38408,4.41987
Gm20434,2.09073,2.0728,2.72406,2.06132,2.12714,2.06253,1.85324,1.90128
Gm17218,4.63423,4.57343,5.23637,4.86124,4.83786,4.77704,4.96607,5.14551
Mertk,3.83937,3.83366,3.86344,3.87046,3.83267,3.95362,3.96888,4.14011
Gm17110,4.40296,4.36895,4.40759,4.27592,4.54685,4.52355,4.51659,4.58333
Tex36,2.83179,2.88689,2.7017,2.89837,3.10096,3.02767,2.9219,3.11507
9030404E10Rik,3.48543,3.54704,3.84818,3.91872,3.47345,3.85488,3.86783,4.01089
BC021891,4.9762,4.89457,4.70768,5.09286,4.78464,4.92475,4.94177,5.13354
Tcrg-V7,2.99432,3.14964,3.1317,2.86969,2.921,3.07097,2.86013,3.14778
Gm7312,8.47749,8.50823,8.53613,8.39685,8.44638,8.41016,8.48452,8.75419
Tars,7.6065,7.71875,7.75427,7.53261,7.48943,7.62011,7.43956,7.74548
Gm9966,3.62047,3.77528,3.62181,3.99852,3.65104,3.84779,3.71096,3.98825
6330407A03Rik,3.95629,4.24296,4.12673,4.12148,3.89589,4.24908,4.39005,4.28207
Gm21340,3.13182,3.49746,3.31804,3.19388,3.58128,3.32422,3.3101,3.45537
Cd276,5.81254,5.56477,5.62015,5.64763,5.7444,5.75074,5.84331,5.88251
Arih1,7.86313,7.9922,8.03613,7.88075,7.82277,7.86948,8.00786,8.14793
