Unnamed: 0	t_score_TCvsB6	p-value	log2FC_TCvsB6
BC147527	-39.9151	3.70E-08	-7.497040019
Tceanc2	-27.4472	2.92E-07	-2.406300001
Ptpn5	-24.2886	3.52E-07	-2.43902
Iglon5	15.4722	4.64E-06	1.932609288
Ppp1r2-ps2	-15.8075	6.39E-06	-1.896110002
Slc6a16	14.3859	7.60E-06	1.579885495
Slc12a8	-15.0656	8.40E-06	-1.17426
Slc1a5	-16.6209	8.96E-06	-1.840129999
Vmn2r29	-13.4998	1.02E-05	-1.589019999
Ppp1r2-ps3	-15.0786	1.19E-05	-2.071289999
Igsf23	16.5523	1.21E-05	2.455607532
Syt14	14.0031	1.28E-05	2.39243545
Gm15545	12.8494	1.57E-05	1.93739752
AI987944	-14.8591	2.09E-05	-1.830950001
Htatip2	-26.5195	3.00E-05	-3.648279993
Pitpnm2	13.1531	3.27E-05	1.259158589
Vdr	11.204	3.77E-05	1.778597422
Snrpn	11.2413	3.82E-05	1.477245905
Samhd1	10.8615	3.91E-05	1.144930479
Scg5	10.3887	4.73E-05	2.47905452
Prg4	13.3418	4.82E-05	2.03639863
Gm15918	10.9252	5.12E-05	1.447667216
Csf1	10.1786	5.41E-05	1.501391271
Acvr2a	11.2472	5.54E-05	1.952848458
Zfp619	-16.7193	5.72E-05	-1.61598
Ighv1-80	-9.90641	6.32E-05	-16.913
Ppic	10.052	6.34E-05	1.694512172
Ide	-10.2514	6.38E-05	-1.276889999
Cd48	-10.8814	6.39E-05	-1.743500001
Pgpep1l	-9.80134	6.49E-05	-1.532580001
Gm15096	10.0527	6.60E-05	1.203870325
Gm10462	-17.7602	6.83E-05	-12.8104
Edn3	9.28179	8.89E-05	1.593976102
Plxna1	10.0249	8.91E-05	1.374703035
Gm10462	-18.4406	8.94E-05	-12.59389996
Atf6	-9.75545	9.87E-05	-1.34629
Mctp1	-17.8844	0.000100698	-2.275769998
Kcnn4	-9.04153	0.000110777	-1.546639999
Esm1	-11.7055	0.000111938	-1.843710001
Nav2	-26.944	0.000118099	-2.758639996
1700049G17Rik	-11.7326	0.000120942	-1.340019999
Ccdc61	-8.80988	0.000122245	-1.43952
Zfp358	14.5946	0.000127445	1.223428679
Zfp69	11.5789	0.00013788	1.730873152
Med8	-8.80882	0.000138609	-1.41085
Calcrl	-8.95177	0.000139973	-1.3258
Fbxo17	8.50757	0.000146937	1.549056752
Dkkl1	-8.4535	0.000151104	-1.838819998
Pop4	-8.37662	0.000159242	-1.670549999
Gpr124	8.75821	0.000163677	1.725829568
9830147E19Rik	-12.9563	0.000164487	-3.250710005
Bend3	9.0501	0.00016764	1.241522149
Gm23062	8.61134	0.000173408	1.298899672
Arhgap39	8.3466	0.000174857	1.192748606
Zfp111	-10.3315	0.000185368	-1.29381
Gm3978	-8.82866	0.00020276	-1.284889999
Actr2	-8.01199	0.000205607	-1.24007
Dhx34	8.28437	0.000207201	1.289123069
Kcnq1	8.12637	0.000216869	1.46034577
Xpc	10.9038	0.000226422	1.282598833
Myo1d	8.10516	0.000229548	1.295976897
Mill2	8.03511	0.000233246	1.539764805
1110051M20Rik	-9.48123	0.000245844	-1.550419999
Zfp30	8.44315	0.000248006	1.425254938
Gm2381	-7.78168	0.000277574	-1.427709999
5330416C01Rik	7.74447	0.000278184	1.263074731
Nomo1	-7.52013	0.000286408	-1.19979
Zcchc9	-7.85959	0.00029824	-1.48843
Bcam	-8.22431	0.00030224	-1.50666
Rgs3	8.54103	0.000304577	1.280058727
Spry1	7.51133	0.000308303	1.342209618
Pdcd5	-7.66184	0.000309141	-1.21463
Nt5c1a	10.7449	0.000310916	1.658110323
Gm10472	7.83053	0.000314856	1.222606379
Ighv3-4	-8.11734	0.000319837	-6.809100011
Slamf6	-7.41732	0.000335105	-1.439790001
Fgd6	8.42787	0.000337533	1.409994954
Gfod2	7.42517	0.000361158	1.09658679
4930404A12Rik	-7.42194	0.000366004	-1.13091
Alad	7.37088	0.000371029	1.461692662
Mfge8	7.59875	0.000371152	1.586315791
Gm13160	-8.60156	0.000381199	-1.27793
Slc38a6	7.17124	0.000383612	1.22530423
A530010L16Rik	7.82801	0.000415226	1.346514719
Gm3962	-7.49711	0.000417662	-1.25853
Plagl1	7.8215	0.000421545	1.685585723
Hdac9	-7.0063	0.000427121	-1.31341
Kcnq4	7.7198	0.000428002	1.198483461
Fuz	-12.2602	0.000442119	-1.25229
Hpcal4	7.07639	0.000457023	1.575445667
Gm10466	7.17257	0.000462492	1.256952385
Gm4956	-7.34859	0.000477763	-2.648979999
Igkv4-55	-7.00513	0.000482771	-18.05979993
Nrros	-8.86441	0.000498796	-1.33289
Pkd1	6.87385	0.000504826	1.122386841
Serinc5	-6.99241	0.000512243	-1.60643
Sash1	7.35493	0.000518797	1.276134153
Cxxc5	6.81691	0.000521125	1.348457451
Gm10476	8.039	0.000533042	1.128760963
AU020206	6.90859	0.000558088	1.230035539
Gpr119	9.11983	0.000569083	1.251328
Klk1b11	-6.75438	0.00058224	-1.29532
Pdzrn3	6.61466	0.000586202	1.767242476
Chn2	7.23754	0.000587904	1.435606141
Gfra4	6.77419	0.000602278	1.465293838
Il4	8.1132	0.000602698	2.124038623
Fezf2	6.79333	0.000604657	1.162007999
Mtus1	7.8543	0.000607183	2.415128581
Agbl1	10.2438	0.000629384	1.490576066
Pde11a	-6.50203	0.000634054	-1.53058
Klf14	6.84118	0.000640772	1.247249421
Hdac4	6.96714	0.000645456	1.12869055
Bace1	6.45615	0.000660489	1.128229058
F2rl1	-7.63702	0.000672673	-1.7373
Zfp658	9.48795	0.000676241	1.259682368
Cobl	-6.57225	0.000677573	-1.481789999
Fam69c	6.65393	0.000678345	1.225007006
Rpl31-ps15	-7.82375	0.000684386	-1.092189999
Myo1f	-11.3356	0.000684421	-1.36332
Ighv1-63	-6.5845	0.000695425	-2.043160002
Klk1b27	-9.74485	0.000698932	-2.575820002
Tmco1	6.82982	0.000699041	1.313275866
Edem1	-9.62733	0.000713756	-1.40698
Tlr4	6.43968	0.000719369	1.439073222
Dhx29	-6.55622	0.000735896	-1.19703
Mtfr2	-7.07172	0.000738685	-1.280709999
Zfp74	6.81525	0.00074163	1.304005541
Gm13256	7.34361	0.00074969	1.208837231
Slc1a4	6.39739	0.000773059	2.065298055
Ptprj	6.51212	0.000777267	1.454012831
Pbx3	6.22116	0.000806695	1.309276677
Ivd	-6.18909	0.000819332	-1.17374
Erap1	-6.23561	0.000821996	-1.279199999
Gm10688	-6.79797	0.000823813	-1.509660001
Arrdc4	8.02341	0.000851695	1.622535451
Igkv4-71	-6.14189	0.000853836	-11.68419996
Gm3213	6.15216	0.000856956	1.129621929
