"","B6.6","B6.7","B6.NT","TC.1","TC.5","TC.7"
"Mrpl15",11.3711914810067,11.561340359201,11.5335319009559,11.6789291303139,11.4699461079341,11.5108490350326
"Lypla1",11.1933825720156,11.4027476667067,11.4336041485049,11.6165722135669,11.2998520149933,11.5143561747394
"Tcea1",11.9775225922818,11.9807935001422,12.1796252980459,12.1195234455251,11.8776542450446,12.0343671404095
"Rgs20",-1.44230236064306,-1.44218359542238,-1.44221191441717,-1.4421925907494,-1.44118266308091,-1.44213837107478
"Atp6v1h",11.8931372651431,11.9788676106742,12.2254897141771,12.1522372713253,11.84375464046,12.0577969698032
"Rb1cc1",11.2733912353481,10.8889344437927,11.5034610987309,11.2308590228309,11.15659065818,10.9850461784678
"Pcmtd1",10.8596386481838,10.3236322427144,10.7961011618776,10.2211255963257,10.4205628852636,10.3926710065259
"Rrs1",10.8163141661955,10.749806823899,10.343726291228,10.9046554210212,10.7178767425705,10.6942304374635
"Adhfe1",4.03016727821154,4.06749118197939,4.04744180380174,4.02841606606549,4.02839774829599,4.04919288062618
"Mybl1",2.7827470620482,2.78215001586479,2.77351124207379,2.77019077246613,2.77252972515998,2.77349767830039
"Vcpip1",10.7820177053112,10.5831100878024,10.7527590832843,10.6832148458151,10.6474831701426,10.5449007443661
"Sgk3",8.42985313012709,8.30266275853526,8.39243203014649,8.41726477608082,8.34981695226831,8.45376750250764
"Mcmdc2",1.54432709446569,1.54388653694519,1.54388382736752,1.54388564492756,1.54466698422292,1.55700246116713
"Snhg6",8.14330378965859,8.17487680944506,8.25285079505208,8.3578312075766,8.22489128148812,8.22232879793925
"Snord87",4.66761349626763,4.66604084005648,4.6965249181206,4.69749143303034,4.6822276559094,4.67804791541169
"Cops5",10.2771290337894,10.6738029337017,10.6405918028158,11.119403872654,10.6207187762686,10.7866408168343
"Cspp1",9.35286200265359,9.12895494313721,9.07712910400992,9.1627008037476,9.09614381208204,9.27264656262691
"Arfgef1",11.6838393235324,11.3020298586578,11.4359372350474,11.0675839115074,11.3311517554258,11.2132717293009
"Sulf1",4.44632064534902,4.56139593613755,4.44641432711759,4.44642992525091,4.44640208239112,4.44648020637975
"Slco5a1",5.24986388698181,5.25109972856622,5.42997204460962,5.2500648889445,5.25001368484596,5.27516910524413
"Ncoa2",11.3468943290102,11.1005217466015,11.3634391608892,11.0011949694994,11.3911599337959,11.3603014648283
"Tram1",14.1321984116581,14.0773695687906,14.3156643966523,14.3547760967861,14.0710992722926,14.042388553666
"Lactb2",8.5243365308409,8.77307126848651,8.70850242760306,8.64758143951329,8.61273175842138,8.61381965160448
"Gm5523",1.96958128584061,1.97060309892767,1.96681083772649,1.97311474466736,1.96675936032674,1.96818533597003
"Eya1",4.2027926720336,4.20287959396661,4.25232716354312,4.20287390195431,4.21304009981712,4.23436414034982
"Msc",4.24117420885457,4.29785754756134,4.24124574535311,4.27823387069825,4.24123639254892,4.24129607880481
"Terf1",10.5112506230098,10.7703971719656,10.4828723642256,10.4798169053258,10.4643468381266,10.672512927882
"Rpl7",13.7520223219878,14.170613268411,14.1772743875322,14.4349127849462,14.3041995453664,14.3209126252166
"Rdh10",7.9922130932942,7.88307962397993,8.21485044467599,7.87187618946179,7.92296540100503,7.88811682541854
"Stau2",6.66371060794002,6.63842792666848,6.6593734967093,6.74163773206777,6.66931177565009,6.58529253113455
"Ube2w",9.6947411765696,9.82261226313997,9.83734323602861,9.60158096804831,9.68165953876736,9.94336138170249
"Tceb1",10.5121637855103,10.7326834073163,10.6926847707352,10.9053043183374,10.5876517103632,10.7690090108902
"Tmem70",10.4222044224362,10.7971975997731,10.7445514062375,10.9515760692164,10.6784504728126,10.8639332736026
"Ly96",8.20924372966597,8.29164123712435,8.34892239059387,8.26254658420767,8.28769740893738,8.35664797401327
"Tfap2b",2.94036757179145,2.940566077208,2.93649632446852,2.94120590240809,2.93707543677895,2.94085939991542
"Il17a",3.74192238413254,3.77299978978629,3.74197273704817,3.77542721748312,3.74353882426707,3.74200816714937
"Il17f",6.2812127731517,6.50732925645029,6.34736702091857,6.2816237179585,6.30110668681208,6.39192678396346
"Mcm3",11.9714091586423,11.9477402888819,12.0494800999967,11.9278126548358,11.9820247987862,11.7884065377361
"6720483E21Rik",0.347902469153482,0.348834725426094,0.347907208338649,0.347907997785278,0.35103215022255,0.350106719197443
"Paqr8",7.52200366247456,7.66998480281607,7.40151772799913,7.55217436987597,7.5191751163736,7.63341277427031
"Efhc1",3.32822223204496,3.32419290103039,3.32418360131718,3.32598316681054,3.36757495140559,3.32420995362157
"Tram2",6.2125501861385,6.20255587082357,6.25456949409299,6.17446779984763,6.2862884846518,6.2415009581467
"Tmem14a",7.22718866546062,7.31334638770146,7.32342143030216,7.39494513783346,7.31457246381054,7.32974426476327
"Gsta3",3.8874177339778,3.89213177087571,3.9507415961872,3.88928177166691,3.88746614494965,3.89082169813409
"Gm4956",9.86782521289783,9.92557079936687,9.89368594694042,9.91664239734574,9.79311630898456,9.8435855356857
"Khdc1a",-0.788934301423802,-0.787983712053867,-0.788932045062648,-0.78801559220901,-0.788932340057023,-0.787887294753547
"Khdc1b",1.8243757531453,1.82439232099615,1.82438902520445,1.82439123599241,1.82438728990332,1.84183999805864
"Kcnq5",8.3955965179015,8.13177153209047,8.07838657649683,8.08875703403075,8.1321178964931,8.26020291712702
