Unnamed: 0,stat
BC147527,-39.9151
Tceanc2,-27.4472
Ptpn5,-24.2886
Iglon5,15.4722
Ppp1r2-ps2,-15.8075
Slc6a16,14.3859
Slc12a8,-15.0656
Slc1a5,-16.6209
Vmn2r29,-13.4998
Ppp1r2-ps3,-15.0786
Igsf23,16.5523
Syt14,14.0031
Gm15545,12.8494
AI987944,-14.8591
Htatip2,-26.5195
Pitpnm2,13.1531
Vdr,11.204
Snrpn,11.2413
Samhd1,10.8615
Scg5,10.3887
Prg4,13.3418
Gm15918,10.9252
Csf1,10.1786
Acvr2a,11.2472
Zfp619,-16.7193
Ighv1-80,-9.90641
Ppic,10.052
Ide,-10.2514
Cd48,-10.8814
Pgpep1l,-9.80134
Gm15096,10.0527
Gm10462,-17.7602
Edn3,9.28179
Plxna1,10.0249
Gm10462,-18.4406
Atf6,-9.75545
Mctp1,-17.8844
Kcnn4,-9.04153
Esm1,-11.7055
Nav2,-26.944
1700049G17Rik,-11.7326
Ccdc61,-8.80988
Zfp358,14.5946
Zfp69,11.5789
Med8,-8.80882
Calcrl,-8.95177
Fbxo17,8.50757
Dkkl1,-8.4535
Pop4,-8.37662
Gpr124,8.75821
9830147E19Rik,-12.9563
Bend3,9.0501
Gm23062,8.61134
Arhgap39,8.3466
Zfp111,-10.3315
Gm3978,-8.82866
Actr2,-8.01199
Dhx34,8.28437
Kcnq1,8.12637
Xpc,10.9038
Myo1d,8.10516
Mill2,8.03511
1110051M20Rik,-9.48123
Zfp30,8.44315
Gm2381,-7.78168
5330416C01Rik,7.74447
Nomo1,-7.52013
Zcchc9,-7.85959
Bcam,-8.22431
Rgs3,8.54103
Spry1,7.51133
Pdcd5,-7.66184
Nt5c1a,10.7449
Gm10472,7.83053
Ighv3-4,-8.11734
Slamf6,-7.41732
Fgd6,8.42787
Gfod2,7.42517
4930404A12Rik,-7.42194
Alad,7.37088
Mfge8,7.59875
Gm13160,-8.60156
Slc38a6,7.17124
A530010L16Rik,7.82801
Gm3962,-7.49711
Plagl1,7.8215
Hdac9,-7.0063
Kcnq4,7.7198
Fuz,-12.2602
Hpcal4,7.07639
Gm10466,7.17257
Gm4956,-7.34859
Igkv4-55,-7.00513
Nrros,-8.86441
Pkd1,6.87385
Serinc5,-6.99241
Sash1,7.35493
Cxxc5,6.81691
Gm10476,8.039
AU020206,6.90859
Gpr119,9.11983
Klk1b11,-6.75438
Pdzrn3,6.61466
Chn2,7.23754
Gfra4,6.77419
Il4,8.1132
Fezf2,6.79333
Mtus1,7.8543
Agbl1,10.2438
Pde11a,-6.50203
Klf14,6.84118
Hdac4,6.96714
Bace1,6.45615
F2rl1,-7.63702
Zfp658,9.48795
Cobl,-6.57225
Fam69c,6.65393
Rpl31-ps15,-7.82375
Myo1f,-11.3356
Ighv1-63,-6.5845
Klk1b27,-9.74485
Tmco1,6.82982
Edem1,-9.62733
Tlr4,6.43968
Dhx29,-6.55622
Mtfr2,-7.07172
Zfp74,6.81525
Gm13256,7.34361
Slc1a4,6.39739
Ptprj,6.51212
Pbx3,6.22116
Ivd,-6.18909
Erap1,-6.23561
Gm10688,-6.79797
Arrdc4,8.02341
Igkv4-71,-6.14189
Gm3213,6.15216
Muc20,7.39629
Tmc3,6.17527
Dhdh,11.2381
Gm19684,6.42988
Megf8,6.49817
Ighv1-2,-6.51093
Gcat,-6.05609
Grik5,-8.54804
Gm5432,7.38178
Arl5a,7.72123
Dusp4,6.08397
Gm5620,-5.98514
Olfr599,6.14749
4933439K11Rik,7.3761
Gzma,6.95239
Mier3,-6.27583
Gm498,6.00727
Cd109,5.96684
Gm13767,8.2595
Irf6,-6.27207
Gm14466,6.08048
1700047I17Rik2,-5.89091
Dmpk,5.88899
Olfr373,6.63459
Trpm6,7.03194
Pak6,5.83225
Eps8l1,-12.2224
Noxo1,5.81503
Gm4665,6.09049
Gm7741,5.92028
Gca,5.94584
Igkv4-59,-6.17754
Cpt1c,23.8463
Chrnb1,6.97425
Slc2a4rg-ps,6.06195
Gm24747,5.867
2310016G11Rik,5.69224
Trps1,5.74075
Bub1b,-5.8558
Igkv4-72,-5.78092
Gm1972,-6.20606
Igkv5-39,-5.97717
Ak2,-5.7835
Gm14359,-5.98565
Zfp14,6.27792
Saal1,-5.59211
Igkv4-54,-5.55022
Hsd17b7,5.91444
LOC100503338,5.56026
Cx3cr1,5.58064
Gm13232,-6.08384
Gm26567,-5.77576
Akr1c13,5.78263
Ighv8-4,-6.40409
2410018L13Rik,6.66248
Prkcz,5.61384
Foxj1,6.29468
Gm11824,-5.79828
Lamb3,-6.3122
Gm25643,5.41433
Arid5b,6.41297
Sec16b,-5.51858
Igkv4-57,-5.88028
Rad51b,-5.32653
Arl6ip1,-5.93106
Jak3,5.91936
Gm12963,5.32029
Vmn2r46,-7.56973
Ltk,5.33275
Rars,-5.53335
Gm13733,5.43638
Nnt,5.68408
Slamf1,-5.38479
Spata13,5.27944
Pepd,6.37517
Desi2,-6.47573
Padi4,5.28804
Spint1,5.54623
A930007I19Rik,5.26995
Scimp,5.32312
Olfr372,5.62137
Zdhhc21,5.50766
Phlpp1,6.11503
Camk1,5.22955
Arhgap24,5.61137
St3gal3,-5.75751
Leprel1,5.23652
Fabp3,5.21832
Rab4a,5.22985
3110053B16Rik,5.23984
Cacna1d,5.20308
Sbsn,-5.26941
Gramd1a,5.26112
5830416I19Rik,-6.38575
F2rl2,-5.5992
Cyr61,5.20924
Gm15162,5.21715
Ddc,-7.67122
Blmh,-5.86916
Nlrp1b,-5.5169
Maged1,6.39644
Pgm1,-5.17081
5730507C01Rik,6.21267
Qpctl,-5.16863
Gm18191,-5.26219
4930433N12Rik,5.19122
Ppt2,5.38916
Rpl31-ps23,-7.94659
Casc5,-5.21749
Gm26715,6.39214
Zfp82,-5.09463
Gm2762,5.86869
Ccnb1,-6.57298
Gm16531,-5.81933
Gm13768,5.04254
Mlh3,-5.18303
Mir22,5.63552
Gm5560,-5.60667
Gm23674,5.1362
Ppap2a,-5.98314
Alms1-ps1,5.37477
Gm15643,5.03617
Arl6ip4,-5.01484
Zgrf1,-5.01954
Olr1,5.37134
Rrm1,-5.98794
LOC100048813,6.28087
Fam71b,6.28622
Tead1,5.62988
6530437J22Rik,4.97076
Mir692-1,-5.01616
Mpg,-5.21201
Maml3,4.97649
Cistr-act,4.94175
Fanci,-5.78589
1700052I22Rik,6.79874
Alms1,5.10303
Cmss1,6.33507
Cmc1,-5.47614
Cyp4f18,5.77909
Gm8202,-6.66087
Gm5976,5.94841
H2-Q2,-5.98479
Liph,5.56405
Prss12,5.83574
Gm9312,5.89593
Rab3gap2,-4.93187
Rnf112,5.06509
5031414D18Rik,4.98661
Fmn1,6.29852
Atn1,6.60251
1700047I17Rik2,-4.86312
Gm19897,-5.4681
Btbd18,5.01024
S1pr3,5.33557
Rbm45,-6.31645
Zfp180,-4.96023
Ttk,-4.88457
Catsperg2,5.04779
Rif1,-4.87803
Wdr53,-4.86759
Lbr,-4.9488
Gm18953,5.52381
Gm10101,6.40193
Gm5187,4.90363
Gm3993,4.80671
Ccr6,-5.20902
Gm25430,4.84046
Irf3,-6.25042
Igf2,5.51618
Nsun2,-5.14926
Rdx,-5.26753
Gm19299,5.32891
Gal3st1,4.82762
Cyp51,-4.76281
Apol7a,4.98012
C630016N16Rik,-7.29964
4931440F15Rik,4.85635
Isoc2b,5.98019
Gm13624,-4.73835
Irf2,5.56005
BC030500,6.81444
Gigyf1,4.73629
Ntf5,5.17127
Sgms1,-4.85676
Calm3,-4.75015
Trpm1,4.83064
Ldha,-6.8367
Gm5848,5.30473
Igkv4-69,-6.52225
Pstpip2,6.09115
Nuf2,-6.31896
Cep85,7.55041
Gm12572,10.7069
Apbb2,5.29946
Gm6910,5.52845
Fxyd5,6.63238
Lyplal1,5.73595
Lgmn,5.81933
Gm23741,4.67821
Gm13237,-5.10967
1110034G24Rik,4.68122
Flrt2,4.66706
Gm14794,-4.82223
Qsox1,-5.03635
Rnu3b4,4.80712
LOC435333,-6.65117
Gm18200,-5.71632
Gm18199,-5.71632
Kirrel3,5.83768
Wnt5b,4.65241
Ighv1-73,-6.37598
Tob2,4.65608
Dip2c,5.16744
2810047C21Rik1,-5.25982
Rasgrp4,-4.64596
Pttg1,-5.30741
Trav13n-4,5.20139
Igkv4-62,-4.97091
4933430M04Rik,4.91564
Gm8343,4.96374
Zfp712,-4.74292
Slc43a3,-5.28818
Phgdh,-4.63473
Plekha2,-4.89816
Fbxo5,-6.72984
Impg1,4.60286
Fancd2,-4.66659
Fzd4,4.92727
Polr1b,-5.06604
Gm21082,5.99998
Kmt2a,4.73873
Gm13097,4.69547
Zc3h7b,5.092
9630013D21Rik,-4.58371
Gm13424,5.49879
Igkv4-70,-5.61171
Cdc26,-4.57881
Igkv4-50,-6.19572
Dpysl3,5.289
Igkv4-61,-4.72911
Gm22987,4.56427
Six5,6.70825
9930022D16Rik,4.58239
Tex35,15.638
Mfhas1,4.8063
Hps5,-4.79983
Gm19980,4.59627
Gm16297,4.92436
Ska2,-4.57126
Tshz3,4.5858
Rpl31-ps20,-4.72062
A730063M14Rik,4.76186
Gm25969,4.62315
Spatc1l,5.08067
Krt42,5.44321
Napb,4.55235
Gm10433,4.69921
Sfi1,4.63698
Traj61,-4.69205
Abcb1a,-4.51985
Stt3b,-4.96683
Vmn2r-ps45,-4.89666
Rpl19-ps12,-4.52413
Slc43a1,-4.51322
Mast4,4.51242
Arhgap40,4.70016
Gm6025,4.71631
Setbp1,4.69054
Srp54c,-4.95666
Ghsr,4.60135
Gm4812,5.9044
Hsf4,4.487
Olfr899,4.59378
Gfi1b,4.95735
Clec4a1,5.03419
Pcsk1,-4.61677
Gm14469,4.74673
Tbc1d4,4.69104
Heatr5a,5.97901
Kpna2,-4.9287
Gm11447,4.47539
Grpr,4.45882
Cd86,-4.88219
Melk,-4.7019
5430417L22Rik,4.47902
Nrbp2,4.63683
Tyms,-5.3696
Polq,-4.92084
Gm16793,4.58281
Ap4s1,-4.43509
Plekhm2,4.42919
Hgsnat,-6.55085
Pou2f2,5.11297
Fth-ps2,4.59902
Mir6999,4.90792
Sdcbp2,-5.48865
Espn,4.90458
Igkv4-63,-4.82839
Gm9034,5.07495
Ighv1-77,-5.78264
Rcan1,4.7567
Vmn1r-ps107,-4.81398
Znrf1,4.93881
Angptl2,4.63505
Ndrg4,4.39588
Hist1h4m,-4.38211
Sult5a1,-4.37984
Cap2,4.52649
Pvrl1,-4.55964
R3hcc1l,5.03773
Wdr54,4.41113
Gm25447,4.57447
Trav11n,5.3198
Fastkd1,-4.78208
Plk4,-5.17184
Lclat1,5.93024
Gm12182,4.98768
