NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Details ...,74,-0.81813514,-3.0974863,0,0,0,1148,"tags=78%, list=8%, signal=85%",Tfh_B6
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Details ...,85,-0.7950763,-3.0566545,0,0,0,1506,"tags=73%, list=11%, signal=82%",Tfh_B6
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Details ...,107,-0.7525973,-3.0229397,0,0,0,1506,"tags=64%, list=11%, signal=72%",Tfh_B6
GO_OXIDATIVE_PHOSPHORYLATION,GO_OXIDATIVE_PHOSPHORYLATION,Details ...,119,-0.7069692,-2.855462,0,0,0,2328,"tags=65%, list=17%, signal=77%",Tfh_B6
GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,Details ...,84,-0.72876054,-2.777851,0,0,0,2328,"tags=70%, list=17%, signal=84%",Tfh_B6
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,Details ...,96,-0.67680585,-2.676384,0,0,0,1272,"tags=65%, list=9%, signal=71%",Tfh_B6
GO_PROTEIN_TARGETING_TO_MEMBRANE,GO_PROTEIN_TARGETING_TO_MEMBRANE,Details ...,152,-0.6280552,-2.662376,0,0,0,1532,"tags=49%, list=11%, signal=55%",Tfh_B6
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,Details ...,75,-0.6834724,-2.6492326,0,0,0,2479,"tags=61%, list=18%, signal=75%",Tfh_B6
GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,GO_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS,Details ...,75,-0.6965874,-2.6441002,0,0,0,2567,"tags=67%, list=19%, signal=82%",Tfh_B6
GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,Details ...,101,-0.6639385,-2.6244714,0,0,0,2328,"tags=62%, list=17%, signal=75%",Tfh_B6
