NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,Unnamed: 11,group
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Details ...,74,-0.838997,-3.1140628,0,0,0,1271,"tags=81%, list=10%, signal=90%",,Tn_B6
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Details ...,85,-0.80872536,-3.050342,0,0,0,1271,"tags=73%, list=10%, signal=81%",,Tn_B6
GO_OXIDATIVE_PHOSPHORYLATION,GO_OXIDATIVE_PHOSPHORYLATION,Details ...,120,-0.7339289,-2.9721944,0,0,0,2101,"tags=66%, list=17%, signal=78%",,Tn_B6
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Details ...,106,-0.7454363,-2.845833,0,0,0,1271,"tags=62%, list=10%, signal=69%",,Tn_B6
GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_NONSENSE_MEDIATED_DECAY,Details ...,96,-0.7361362,-2.8450418,0,0,0,1476,"tags=71%, list=12%, signal=80%",,Tn_B6
GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,GO_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,Details ...,84,-0.7421951,-2.802483,0,0,0,2101,"tags=71%, list=17%, signal=85%",,Tn_B6
GO_TRANSLATIONAL_INITIATION,GO_TRANSLATIONAL_INITIATION,Details ...,161,-0.6576167,-2.7265315,0,0,0,1278,"tags=54%, list=10%, signal=59%",,Tn_B6
GO_PROTEIN_TARGETING_TO_MEMBRANE,GO_PROTEIN_TARGETING_TO_MEMBRANE,Details ...,143,-0.6663862,-2.714256,0,0,0,1399,"tags=49%, list=11%, signal=54%",,Tn_B6
GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,GO_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN,Details ...,101,-0.6762111,-2.6256266,0,0,0,2299,"tags=65%, list=18%, signal=79%",,Tn_B6
GO_CYTOPLASMIC_TRANSLATION,GO_CYTOPLASMIC_TRANSLATION,Details ...,81,-0.6831884,-2.560642,0,0,0,1406,"tags=53%, list=11%, signal=59%",,Tn_B6
