NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,Details ...,63,-0.67001694,-2.4422455,0,0,0,2479,"tags=70%, list=18%, signal=85%",Tfh
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Details ...,183,-0.5256698,-2.2513247,0,0,0,3844,"tags=62%, list=28%, signal=86%",Tfh
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,Details ...,64,-0.6140794,-2.1842847,0,0,0,2003,"tags=55%, list=16%, signal=65%",Tn
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Details ...,181,-0.49634194,-2.0692987,0,0,0,2464,"tags=40%, list=20%, signal=49%",Tn
BIOCARTA_MPR_PATHWAY,BIOCARTA_MPR_PATHWAY,Details ...,19,-0.71066713,-1.976659,0,0.001925524,0.005,1658,"tags=47%, list=12%, signal=54%",Tfh
KARLSSON_TGFB1_TARGETS_UP,KARLSSON_TGFB1_TARGETS_UP,Details ...,106,-0.4392844,-1.7080097,0,0.024331076,0.156,2333,"tags=39%, list=19%, signal=47%",Tn
REACTOME_PTEN_REGULATION,REACTOME_PTEN_REGULATION,Details ...,130,-0.41407406,-1.7079729,0,0.030933505,0.158,2479,"tags=41%, list=18%, signal=49%",Tfh
BIOCARTA_MPR_PATHWAY,BIOCARTA_MPR_PATHWAY,Details ...,18,-0.6200962,-1.6751978,0.013972056,0.027987972,0.217,1455,"tags=39%, list=12%, signal=44%",Tn
REACTOME_PTEN_REGULATION,REACTOME_PTEN_REGULATION,Details ...,129,-0.40084666,-1.592899,0.002309469,0.041483633,0.396,1339,"tags=29%, list=11%, signal=33%",Tn
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,Details ...,228,-0.36560163,-1.5865978,0,0.040914968,0.41,1287,"tags=23%, list=10%, signal=25%",Tn
