NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,Details ...,63,-0.67001694,-2.4422455,0,0,0,2479,"tags=70%, list=18%, signal=85%",Tfh
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Details ...,183,-0.5256698,-2.2513247,0,0,0,3844,"tags=62%, list=28%, signal=86%",Tfh
BIOCARTA_MPR_PATHWAY,BIOCARTA_MPR_PATHWAY,Details ...,19,-0.71066713,-1.976659,0,0.001925524,0.005,1658,"tags=47%, list=12%, signal=54%",Tfh
GSE32986_UNSTIM_VS_CURDLAN_LOWDOSE_STIM_DC_DN,GSE32986_UNSTIM_VS_CURDLAN_LOWDOSE_STIM_DC_DN,Details ...,181,-0.46084675,-1.9748315,0,0.001717953,0.006,3165,"tags=46%, list=23%, signal=60%",Tfh
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,Details ...,34,-0.5923257,-1.9046338,0,0.004945628,0.02,2906,"tags=74%, list=21%, signal=93%",Tfh
GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,Details ...,178,-0.44287688,-1.8860763,0,0.004874714,0.024,2978,"tags=44%, list=22%, signal=56%",Tfh
REACTOME_PTEN_REGULATION,REACTOME_PTEN_REGULATION,Details ...,130,-0.41407406,-1.7079729,0,0.030933505,0.158,2479,"tags=41%, list=18%, signal=49%",Tfh
GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,Details ...,178,-0.39453667,-1.6996514,0,0.029573832,0.174,3063,"tags=37%, list=23%, signal=47%",Tfh
BIOCARTA_ECM_PATHWAY,BIOCARTA_ECM_PATHWAY,Details ...,18,-0.5563071,-1.5189959,0.033797216,0.13229755,0.633,2104,"tags=33%, list=16%, signal=39%",Tfh
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,Details ...,51,-0.4281759,-1.4882478,0.031558186,0.14985399,0.712,2028,"tags=31%, list=15%, signal=37%",Tfh
