NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,Details ...,64,-0.6140794,-2.1842847,0,0,0,2003,"tags=55%, list=16%, signal=65%",Tn
REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,REACTOME_GENE_AND_PROTEIN_EXPRESSION_BY_JAK_STAT_SIGNALING_AFTER_INTERLEUKIN_12_STIMULATION,Details ...,34,-0.67334574,-2.1405435,0,0,0,1261,"tags=59%, list=10%, signal=65%",Tn
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Details ...,181,-0.49634194,-2.0692987,0,0,0,2464,"tags=40%, list=20%, signal=49%",Tn
GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_DN,GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_DN,Details ...,166,-0.48069236,-1.9796399,0,0.000870721,0.003,1199,"tags=33%, list=10%, signal=36%",Tn
GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN,GSE3565_DUSP1_VS_WT_SPLENOCYTES_DN,Details ...,167,-0.448365,-1.85594,0,0.007450571,0.03,2323,"tags=40%, list=19%, signal=49%",Tn
GSE3565_DUSP1_VS_WT_SPLENOCYTES_POST_LPS_INJECTION_UP,GSE3565_DUSP1_VS_WT_SPLENOCYTES_POST_LPS_INJECTION_UP,Details ...,145,-0.4354132,-1.7749547,0,0.016159942,0.078,1284,"tags=31%, list=10%, signal=34%",Tn
GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,Details ...,170,-0.41908643,-1.7503756,0,0.01711687,0.098,3171,"tags=42%, list=25%, signal=56%",Tn
KARLSSON_TGFB1_TARGETS_UP,KARLSSON_TGFB1_TARGETS_UP,Details ...,106,-0.4392844,-1.7080097,0,0.024331076,0.156,2333,"tags=39%, list=19%, signal=47%",Tn
GSE32986_UNSTIM_VS_CURDLAN_LOWDOSE_STIM_DC_DN,GSE32986_UNSTIM_VS_CURDLAN_LOWDOSE_STIM_DC_DN,Details ...,177,-0.4060419,-1.7057128,0,0.022610115,0.162,1932,"tags=31%, list=15%, signal=36%",Tn
BIOCARTA_MPR_PATHWAY,BIOCARTA_MPR_PATHWAY,Details ...,18,-0.6200962,-1.6751978,0.013972056,0.027987972,0.217,1455,"tags=39%, list=12%, signal=44%",Tn
GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,GSE32986_GMCSF_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP,Details ...,174,-0.3981437,-1.672887,0,0.02573625,0.218,3291,"tags=48%, list=26%, signal=65%",Tn
GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN,GSE3565_CTRL_VS_LPS_INJECTED_DUSP1_KO_SPLENOCYTES_DN,Details ...,167,-0.39842525,-1.6551441,0,0.026310405,0.241,2323,"tags=39%, list=19%, signal=47%",Tn
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,REACTOME_AMINO_ACIDS_REGULATE_MTORC1,Details ...,49,-0.47613117,-1.6369028,0.00203252,0.02897928,0.279,1449,"tags=33%, list=12%, signal=37%",Tn
REACTOME_PTEN_REGULATION,REACTOME_PTEN_REGULATION,Details ...,129,-0.40084666,-1.592899,0.002309469,0.041483633,0.396,1339,"tags=29%, list=11%, signal=33%",Tn
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,Details ...,228,-0.36560163,-1.5865978,0,0.040914968,0.41,1287,"tags=23%, list=10%, signal=25%",Tn
GAURNIER_PSMD4_TARGETS,GAURNIER_PSMD4_TARGETS,Details ...,41,-0.4812861,-1.5828114,0.012474013,0.040676277,0.426,4043,"tags=44%, list=32%, signal=65%",Tn
FURUKAWA_DUSP6_TARGETS_PCI35_UP,FURUKAWA_DUSP6_TARGETS_PCI35_UP,Details ...,43,-0.43321127,-1.4498631,0.04897959,0.10813553,0.8,2481,"tags=30%, list=20%, signal=38%",Tn
SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION,SASAI_RESISTANCE_TO_NEOPLASTIC_TRANSFROMATION,Details ...,30,-0.47197968,-1.4491849,0.037527595,0.10272071,0.801,1177,"tags=23%, list=9%, signal=26%",Tn
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,Details ...,106,-0.35814124,-1.4099553,0.008639309,0.13122833,0.887,1153,"tags=24%, list=9%, signal=26%",Tn
KARLSSON_TGFB1_TARGETS_DN,KARLSSON_TGFB1_TARGETS_DN,Details ...,161,-0.33346376,-1.3818707,0.013483146,0.15221167,0.926,2097,"tags=31%, list=17%, signal=37%",Tn
