Target Gene Symbol,log2 ratio (p-S6-high/pS6-low),log2 ratio (p-S6-high/pS6-low)
3830403N18Rik,0.19337077,0.495819971
Aars,-1.767382063,-2.041082722
Aco2,-1.762916665,-2.202114578
Actb,-0.609159125,-0.654659013
Actl6a,-0.659140208,-1.121431742
Actr2,-2.882853055,-4.193263106
Actr3,-1.154366143,-1.605236624
Adnp,-0.56402983,-0.416671814
Afg1l,0.278289402,0.63160117
Anp32b,-0.242318665,0.001761589
Ap1m1,-0.788810978,-0.589775053
Apbb1ip,-1.644735462,-1.574237661
Aqp3,1.672314706,1.755304441
Arhgap25,0.531837977,0.910128513
Arhgap30,0.848620035,0.477565042
Arid1a,-1.189369377,-1.397640533
Arih1,1.880152521,1.85965618
Arpc2,-2.245407739,-2.874613144
Arpc3,-1.307139489,-1.939435637
Arpc4,-3.04358314,-4.118811761
Arpc5,-0.315663863,-0.163726297
Asf1b,1.0439432,1.519289946
Atg12,0.538423062,1.036218869
Atg16l1,0.366736076,1.036738493
Atg5,0.463585811,0.954644982
Atp2a2,1.784888865,1.671456795
Atp2b1,1.136757196,1.304781858
Atp6ap2,-1.048130343,-0.832385458
Atp6v1a,-0.965400925,-1.133759424
Atp6v1c1,-0.973452388,-0.734823338
Atp6v1d,-0.835948952,-0.918559669
Atp6v1e1,-1.138200064,-1.108758738
Atp7a,0.426957655,0.679669302
Atxn7l3,0.684081822,0.42444214
Bap1,-2.372795205,-2.569974704
Bcas3,0.423196545,0.845572361
Bptf,-0.423518522,-0.210969724
Brap,-0.201534854,-0.913169092
Brd4,-1.234097752,-0.878021094
Brk1,0.228724208,-0.082300152
Btf3,-0.987838997,-0.863112778
Btg1,1.387254155,1.844391688
Bub3,-0.420256979,-0.794367599
Bud13,-0.073758497,0.177002202
Bysl,-1.428209716,-1.641529729
Cap1,0.650289413,0.407356646
Cars,-1.0196299,-1.035665421
Cbl,1.74370825,1.559464664
Cbx4,0.436433951,0.833678018
Ccdc12,-0.794688619,-0.666513366
Ccdc174,-0.791350865,-0.684535593
Ccdc94,-0.570927455,-0.5840631
Ccnc,1.678412413,1.851823551
Ccnf,-0.26658155,-0.028855038
Cct2,-1.593819113,-1.637868851
Cct3,-1.360037398,-1.253498116
Cct7,-2.029479115,-1.721310875
Cd247,-2.233738708,-2.330270028
Cd2bp2,-0.779200583,-0.686251763
Cd320,0.722600509,1.149549194
Cd3d,-3.317270941,-3.938212978
Cd3e,-2.524087617,-3.055614636
Cd3g,-2.185829175,-2.297296382
Cd40,-0.239451469,0.060061473
Cd5,1.697733802,1.697529202
Cd72,0.63833913,0.82351843
Cdc37,-2.441097555,-2.403556075
Cdc40,-0.010912435,0.13892061
Cdc5l,-0.856829656,-1.149715632
Cdc7,1.962241071,2.487841858
Cdk6,-0.267499175,-0.051601839
