,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Acaa1a,0.00631159,0.069559411,0.10204964300000001,0.029466152000000002,0.255061275,0.0,0.0,-0.21643227199999998
Acaa1b,,,,,0.0,0.0,0.0,0.0
Acaa2,1.4400000000000003e-25,6.04e-14,7.41e-48,6.64e-22,-0.773527559,-0.623625572,-0.966873091,-0.816971074
Acadl,1.35e-11,6.36e-09,2.8999999999999997e-05,1.1599999999999999e-05,-0.469377376,-0.396123732,0.254920503,0.328174168
Acadm,0.504384928,0.46418887700000006,1.5700000000000001e-24,9.41e-12,0.0,0.0,-0.573440698,-0.456761015
Acads,0.0033995540000000004,0.00013167700000000002,1.92e-12,3.45e-07,-0.28743455100000004,-0.352444724,0.562216567,0.497206428
Acadsb,1.21e-06,0.019225089,4.82e-10,2.67e-14,-0.465926633,-0.22710730699999998,0.501307202,0.74012656
Acadvl,5.67e-15,4.02e-10,0.001314905,0.203335984,-0.49486338799999996,-0.40717527,-0.18808227100000002,0.0
Acat1,8.66e-13,2.97e-11,2.12e-21,2.49e-14,-0.45343034600000004,-0.45000437299999996,-0.535621359,-0.532195365
Acat2,0.24730175899999998,0.016952197,1.6300000000000002e-19,3.04e-18,0.0,-0.296346173,-0.8140930479999999,-0.976235854
Acat3,,,,,0.0,0.0,0.0,0.0
Acox1,0.69387799,0.8239985000000001,0.48602815299999996,0.921075476,0.0,0.0,0.0,0.0
Acox3,0.830898147,0.641484189,0.170273005,0.39774786,0.0,0.0,0.0,0.0
Acsl1,0.281111768,0.746264567,0.607323895,0.844859878,0.0,0.0,0.0,0.0
Acsl3,0.35274981,0.003311055,1.1399999999999999e-11,0.000136706,0.0,0.533472787,-1.021224509,-0.673462583
Acsl4,0.000171972,0.48797358700000004,5.7300000000000004e-08,0.10477884400000001,-0.245712102,0.0,-0.310068185,0.0
Acsl5,8.5e-21,1.6800000000000002e-13,5.310000000000001e-13,1.6e-15,-0.478237864,-0.37261421100000003,0.325017656,0.43064132299999996
Adh1,0.672081539,0.123874725,5.559999999999998e-84,2.0699999999999996e-53,0.0,0.0,-4.225923356,-3.6011546539999997
Adh4,,,,0.137358763,0.0,0.0,0.0,0.0
Adh5,2.25e-06,5.03e-05,3.5399999999999994e-53,1.58e-35,-0.250515253,-0.23654721199999998,-0.718045031,-0.7040769729999999
Aldh1b1,0.147169886,0.23155665399999997,0.233516257,0.457910342,0.0,0.0,0.0,0.0
Aldh2,4.36e-05,4.5999999999999995e-08,3.579999999999999e-29,4.26e-27,-0.6720585459999999,-1.043983468,-1.6408047069999998,-2.012729479
Aldh3a2,0.24041049,0.003330516,0.050750613,0.9117485820000001,0.0,-0.175185957,0.0,0.0
Aldh7a1,1.0,0.69116048,5.89e-48,1.6899999999999998e-32,0.0,0.0,2.052717688,1.968094996
Aldh9a1,1.66e-06,0.000127887,3.98e-06,0.0026485529999999997,-0.34434956,-0.288280632,-0.295871422,-0.23980246800000002
Cpt1a,2.1e-11,4.71e-06,0.929163878,0.07058797900000001,-0.904736915,-0.635620977,0.0,0.0
Cpt1b,0.069025257,0.254923871,0.7284476259999999,0.40140190200000003,0.0,0.0,0.0,0.0
Cpt1c,0.023200678,2.2099999999999996e-64,6.03e-15,3.429999999999999e-65,2.041694615,4.226538999,5.4814390060000004,7.666282744
Cpt2,0.024387058,0.032476657,9.009999999999999e-07,2.58e-05,-0.282259429,-0.250995906,0.479092943,0.51035651
Echs1,0.16261557699999998,0.166458623,0.017280774,0.048040997,0.0,0.0,0.21091056800000002,0.21412622
Eci1,0.005175261,6.979999999999999e-05,7.030000000000001e-10,4.6200000000000005e-05,-0.35025667899999996,-0.46144990399999997,0.622978927,0.511785749
Eci2,0.176820516,0.020524847,0.40540612299999995,0.967736904,0.0,-0.175933465,0.0,0.0
Ehhadh,0.381161776,0.44859847700000005,7.75e-07,0.037399339,0.0,0.0,-0.471694475,-0.25184728
Gcdh,0.005207324,0.588569982,0.829815821,0.090005849,0.323226317,0.0,0.0,0.0
Hadh,2.1e-11,6.25e-06,0.016500838,5.59e-05,-0.479943823,-0.323169075,0.156564051,0.313338821
Hadha,8.82e-06,3.73e-06,2.28e-23,1.6e-16,-0.190968009,-0.191739485,0.358715684,0.357944218
Hadhb,4.759999999999999e-16,1.46e-06,0.14712239300000002,1.95e-05,-0.53883871,-0.321145338,0.0,0.31012300800000003
