,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Anpep,0.014585681999999999,0.368145089,0.000123008,3.66e-05,-3.8496145489999996,0.0,2.8338082439999996,5.917968126
G6pd2,,,,,0.0,0.0,0.0,0.0
G6pdx,1.71e-07,0.016800341,0.0032176320000000002,0.978985716,-0.366768361,-0.182429397,-0.188294624,0.0
Gclc,0.0006613789999999999,0.011630415,5.32e-08,6.83e-08,0.24371137,0.19361551100000002,-0.345730625,-0.395826457
Gclm,0.382137234,0.116306583,2.6300000000000002e-05,2.64e-05,0.0,0.0,-0.343186008,-0.41422436799999995
Ggct,0.08139716799999999,0.022409406,0.309725478,0.716502008,0.0,-0.260309114,0.0,0.0
Ggt1,0.0031956379999999998,0.036038941,3.839999999999999e-67,1.72e-27,-0.5539927060000001,-1.454850054,-5.06866562,-5.969521522999999
Ggt5,0.000251483,0.5903369820000001,1.2199999999999994e-244,3.039999999999999e-206,0.379141819,0.0,-3.8956847260000003,-4.157645727
Ggt7,4.13e-05,6.64e-07,5.089999999999998e-177,4.269999999999999e-146,0.5557856179999999,0.408314632,2.8764495360000004,2.7289785810000002
Gpx1,5.97e-17,2.88e-17,1.1099999999999999e-15,2.95e-12,-0.6882374109999999,-0.719091713,-0.5932290170000001,-0.624083281
Gpx4,8.19e-07,4.15e-07,0.004634483,0.028404177000000003,-0.468678227,-0.47900051200000004,0.244698074,0.23437582699999998
Gpx7,0.769786003,0.7473061240000001,0.00042467,0.036658925,0.0,0.0,1.424701081,1.03176438
Gsr,0.143790836,0.11212638300000001,8.35e-06,0.000321432,0.0,0.0,0.289067725,0.284976929
Gss,0.84144545,0.8057318859999999,0.820247049,0.765687473,0.0,0.0,0.0,0.0
Gsta3,0.252133742,0.492617425,0.051789438,0.244405318,0.0,0.0,0.0,0.0
Gstk1,0.056796355,0.054093615,7.3e-21,5.6299999999999996e-15,0.0,0.0,-1.498298214,-1.60846763
Gstm1,0.904629061,0.315153955,0.008520463,0.235586674,0.0,0.0,0.856684502,0.0
Gstm4,0.001113833,0.052737886,0.000505137,3.41e-05,-0.761734356,0.0,0.656027492,0.978584764
Gstm5,0.8104736640000001,0.9285401259999999,0.000192233,0.0001966,0.0,0.0,4.7237528719999995,5.509668594
Gstm7,1.0,0.9901297040000001,0.442359851,0.539670533,0.0,0.0,0.0,0.0
Gsto1,6.32e-07,0.027217032999999998,0.0054537940000000005,0.979165892,-1.183554078,-0.5798117779999999,-0.590195997,0.0
Gsto2,0.443480726,0.9121495470000001,0.795936451,0.689858168,0.0,0.0,0.0,0.0
Gstp1,1.34e-07,3.32e-06,0.948846693,0.6377236510000001,-0.5721500270000001,-0.510322553,0.0,0.0
Gstp2,0.492226995,0.679397218,0.234701302,0.48360599600000004,0.0,0.0,0.0,0.0
Gstt2,5.4600000000000004e-11,0.018475595,1.18e-21,4.47e-33,-0.793524022,-0.26780170600000003,0.9118426279999999,1.4375649780000002
Gstz1,0.292623234,0.996341302,0.077064874,0.766284793,0.0,0.0,0.0,0.0
Idh1,0.324844767,0.0027921820000000003,0.00011373,3.08e-07,0.0,-0.510082621,-0.511720057,-0.8493488690000001
Idh2,5.33e-06,0.055287098,9.329999999999997e-109,8.75e-61,-0.34414405299999995,0.0,-1.520850038,-1.359679892
Lap3,0.00011614399999999999,0.00033691900000000003,1.26e-06,0.000144046,-0.386412745,-0.391214571,-0.42357038,-0.428372164
Mgst1,,,,,0.0,0.0,0.0,0.0
Mgst2,1.3e-21,1.59e-24,0.998778913,0.628061965,0.8404660820000001,0.897767726,0.0,0.0
Mgst3,2.9299999999999997e-05,0.148746426,4.61e-18,3.19e-06,-1.5286009969999999,0.0,-3.592951681,-3.3515685
Odc1,0.101232461,0.547283655,8.22e-32,7.75e-29,0.0,0.0,2.448170354,2.704999975
Oplah,0.202882305,0.523362368,0.0044913159999999995,0.002654857,0.0,0.0,-0.638424538,-0.773594766
Pgd,0.0015377210000000001,0.37784416,0.008876659,0.8633900590000001,-0.197780032,0.0,-0.146157281,0.0
Rrm1,0.0018845910000000001,4.52e-05,1.1e-14,2.13e-08,-0.255762461,-0.314418102,0.5170131920000001,0.458357576
Rrm2,0.544151036,0.000146826,1.76e-30,1.13e-07,0.0,-0.681196134,1.9483574959999999,1.0941355990000001
Rrm2b,0.033350884,0.21762663699999998,0.007320199,0.164331562,-0.215945926,0.0,-0.233264983,0.0
Sms,0.022667392999999997,0.016422012,0.27147663699999997,0.438659132,0.254395201,0.270179493,0.0,0.0
Srm,3.97e-09,0.000983598,6.579999999999999e-75,3.2399999999999994e-39,-0.492278848,-0.348395147,-1.420080674,-1.27619693
Txndc12,7.36e-06,2.11e-10,3.61e-11,0.00017173099999999997,-0.380564581,-0.506219104,0.46460266,0.338948165
