,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Atp4a,,,,,0.0,0.0,0.0,0.0
Atp5a1,6.36e-36,3.0399999999999997e-25,6.0499999999999996e-09,0.0028496790000000004,-0.465226454,-0.39221615600000004,-0.199576033,-0.126565727
Atp5b,3.1400000000000003e-24,2.76e-14,1.1599999999999998e-22,1.4699999999999999e-09,-0.492795084,-0.379053718,-0.430547389,-0.316806007
Atp5c1,1.36e-12,2.1e-08,1.73e-06,0.006973979,-0.47791411899999997,-0.388979507,-0.293982019,-0.20504738100000003
Atp5d,0.000147552,0.000200345,0.541505232,0.642295788,-0.33710115700000004,-0.334679921,0.0,0.0
Atp5e,1.5099999999999999e-15,2.97e-09,1.8e-05,0.083185567,-0.628131954,-0.483566094,-0.308348738,0.0
Atp5f1,3.67e-19,5.83e-15,5.65e-08,0.00034901400000000003,-0.564736741,-0.506392388,-0.311845181,-0.253500806
Atp5g3,1.1e-18,1.28e-15,0.606436396,0.9043432309999999,-0.47354859200000005,-0.433256154,0.0,0.0
Atp5h,0.002975259,2.39e-06,9.53e-08,4.75e-10,-0.24855485800000002,-0.39025064600000003,-0.383984868,-0.52568062
Atp5j,5.269999999999999e-10,3.5699999999999995e-08,0.014912148,0.008280041,-0.410364113,-0.363958186,0.148793104,0.195199051
Atp5j2,1.29e-09,1.1699999999999999e-08,0.19749529,0.434128067,-0.465021446,-0.444884929,0.0,0.0
Atp5k,0.003062933,0.00130274,0.349186389,0.317168764,-0.33972317399999996,-0.372423966,0.0,0.0
Atp5l,0.122619786,0.112473805,0.043902852,0.109072493,0.0,0.0,-0.766593731,0.0
Atp5o,3.3e-23,6.42e-17,7.8e-12,1.4000000000000001e-05,-0.592330633,-0.519724101,-0.366281656,-0.29367510399999996
Atp6ap1,2.25e-06,1.95e-09,0.46683902200000005,0.7272147109999999,-0.248147355,-0.313657106,0.0,0.0
Atp6v0a1,0.0026090189999999997,0.163794408,2.61e-05,0.04277052,0.6968587959999999,0.0,0.8415844159999999,0.47610831600000003
Atp6v0a2,0.843565639,0.02841778,0.000463472,1.53e-08,0.0,-0.12144978199999999,-0.161125413,-0.298450798
Atp6v0a4,,,,,0.0,0.0,0.0,0.0
Atp6v0b,0.48203688899999997,0.899706595,0.760924516,0.7966194670000001,0.0,0.0,0.0,0.0
Atp6v0c,4.65e-07,0.05348467900000001,0.15252954900000001,0.216437684,0.69982511,0.0,0.0,0.0
Atp6v0d1,0.00016972099999999998,7.19e-06,0.18201915,0.073328568,-0.321082153,-0.385425037,0.0,0.0
Atp6v0d2,0.9739379570000001,0.876702212,1.98e-42,2.07e-30,0.0,0.0,4.480863319,4.466633698
Atp6v0e,1.62e-09,1.57e-09,0.954214143,0.94167165,-0.36121637,-0.364203128,0.0,0.0
Atp6v0e2,0.312776373,0.484452806,1.07e-05,2.3100000000000002e-05,0.0,0.0,4.350990554,5.81650923
Atp6v1a,4.61e-11,6.52e-05,0.549854114,0.126571212,-0.48313578700000004,-0.301807308,0.0,0.0
Atp6v1b1,,,,,0.0,0.0,0.0,0.0
Atp6v1b2,4.91e-27,1.78e-10,0.0360457,0.06331753700000001,-0.59480469,-0.36102325399999996,-0.11052845900000001,0.0
Atp6v1c1,4.42e-16,3.27e-10,0.68621584,0.057729699,-0.530651228,-0.412554207,0.0,0.0
Atp6v1c2,0.8442908509999999,0.082048147,0.8071959540000001,0.019166354,0.0,0.0,0.0,4.734065546
Atp6v1d,0.011803006999999999,0.043309035,1.46e-18,1.92e-12,-0.187024931,-0.160198461,-0.5443307310000001,-0.5175042329999999
Atp6v1e1,9.59e-07,0.00096665,0.003706889,0.334397223,-0.319401808,-0.22626719,-0.172307533,0.0
Atp6v1f,2.26e-09,2.98e-08,0.113993891,0.099280225,-0.49819869,-0.46288872600000003,0.0,0.0
Atp6v1g1,1.41e-06,6.440000000000001e-08,0.048330868,0.027518051,-0.400250399,-0.460082066,-0.152477156,-0.212308792
Atp6v1g2,0.75934789,0.8042134890000001,1.0399999999999998e-50,3.79e-41,0.0,0.0,2.1873779509999998,2.326696406
