,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Gpx1,5.97e-17,2.88e-17,1.1099999999999999e-15,2.95e-12,-0.6882374109999999,-0.719091713,-0.5932290170000001,-0.624083281
Cyp4f13,8.7e-08,0.000127655,2.4e-06,0.010567743000000001,0.45527328899999997,0.324302018,0.36360876,0.232637523
Alox12,0.9279373740000001,0.000685388,3.99e-12,7.72e-06,0.0,-1.4629007440000001,7.641316057,5.891565741
Cyp4f18,3.03e-20,1.1999999999999998e-44,0.21807227,0.0008073910000000001,8.772536612,8.729258243,0.0,1.424024699
Cyp1a1,0.517520526,0.024377184,2.1600000000000002e-11,3.8900000000000004e-05,0.0,-1.100627486,4.251843802,4.095273555
Aoc2,4.92e-20,1.68e-07,0.022462753999999998,2.65e-08,1.1678782490000001,0.7159627340000001,-0.299641487,-0.7515569009999999
Cyp51,0.670334159,3.54e-08,1.9799999999999998e-35,2.9499999999999995e-53,0.0,-0.584863465,-1.048641091,-1.577829555
Cyp4v3,6.829999999999999e-05,0.003766832,6.1e-45,1.87e-38,-0.587667576,-0.395155343,1.645308784,1.837821056
Xdh,1.18e-11,8.72e-17,3.8999999999999995e-65,4.460000000000001e-59,0.8408516340000001,0.9522300890000001,1.837104118,1.948482628
Mpo,0.385399882,0.025303846,0.39049327899999997,0.694276032,0.0,-4.478015438,0.0,0.0
Gpx4,8.19e-07,4.15e-07,0.004634483,0.028404177000000003,-0.468678227,-0.47900051200000004,0.244698074,0.23437582699999998
Hmox2,8.269999999999999e-16,0.000734634,0.024023586,0.044290427,-0.635454923,-0.281508143,-0.167730881,0.186215928
Hmox1,6.0599999999999996e-05,0.052323824000000005,2.3399999999999996e-105,6.0099999999999985e-64,1.0991746,0.0,4.507504813,3.1474170210000003
Cyp2s1,0.000267999,0.45157652,2.9499999999999998e-21,1.12e-36,0.70731154,0.0,-1.647402929,-2.554090912
Cyp4f16,6.07e-05,0.078928293,3.699999999999999e-61,2.9199999999999996e-35,0.678635639,0.0,2.235214542,1.8117005769999999
Suox,1.7600000000000001e-07,2.07e-05,0.000160415,0.021910568,-0.563368714,-0.48028694899999996,-0.367265813,-0.284183996
Cyp39a1,0.027853366,0.18196726100000002,0.896999435,0.618481485,0.517500575,0.0,0.0,0.0
Cyp2d22,2.01e-06,2.2899999999999998e-05,5.629999999999998e-105,1.6199999999999999e-88,0.582944233,0.944536323,-3.6471345939999997,-3.2855423289999997
