,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Akr1b3,3.22e-09,5.33e-06,0.748805035,0.49149486299999995,-0.40030918,-0.314904698,0.0,0.0
Ttpa,,,,,0.0,0.0,0.0,0.0
Foxo1,0.879028398,0.759386752,4.66e-54,1.41e-41,0.0,0.0,-1.1318461709999998,-1.147786483
Hsf1,1.52e-08,0.000110136,0.41011413,0.024657565,0.45606308100000004,0.324145998,0.0,-0.202746161
Cdkn2a,1.0,0.002424547,1.82e-08,0.005981364,0.0,-2.4550540119999997,6.680610695,4.1791544830000005
Slc1a1,,,,,0.0,0.0,0.0,0.0
Trap1,0.075953769,0.120399665,7.39e-20,1.9800000000000002e-15,0.0,0.0,-0.434639606,-0.44151080299999995
Cat,2.67e-06,0.001276961,1.49e-13,8.68e-07,-0.351950365,-0.257635691,-0.488685869,-0.394371165
Wrn,0.563395129,0.8141696509999999,0.17850379800000002,0.8795169890000001,0.0,0.0,0.0,0.0
Aldh3b1,0.595680019,0.47601204799999997,0.755933434,0.675978203,0.0,0.0,0.0,0.0
Nudt15,0.10239739699999999,0.743410765,0.00023574799999999998,0.09279687199999999,0.0,0.0,-1.221670148,0.0
Foxp1,0.088264131,0.000328216,5.479999999999998e-184,1.4999999999999996e-117,0.0,0.187265412,-1.2297381109999999,-1.133442146
Mmp3,,,,,0.0,0.0,0.0,0.0
Cd36,,,,,0.0,0.0,0.0,0.0
Nnt,4.15e-15,1.33e-33,0.601257424,2.8899999999999998e-05,0.565606677,0.8315528329999999,0.0,0.309386413
Cd38,0.146476197,0.306405225,1.2599999999999995e-158,2.1599999999999997e-101,0.0,0.0,5.544820404,6.279282012
Camk2g,0.052165143,0.7524359290000001,0.017785155,0.000266955,0.0,0.0,-0.170452539,-0.296934288
Coq7,0.05534943,0.8178107020000001,0.029732217000000002,0.8595113659999999,0.0,0.0,-0.459067106,0.0
Gpx8,,,,,0.0,0.0,0.0,0.0
Gch1,0.685790896,0.927355878,1.28e-12,1.21e-10,0.0,0.0,0.988244094,1.060803586
Prdx3,2.4700000000000002e-29,2.81e-17,5.1e-09,0.021336644,-0.681327812,-0.533375684,-0.316067411,-0.168115265
Thbs1,0.8007602340000001,1.05e-11,1.6899999999999999e-12,0.006265636,0.0,-4.543255708999999,7.892613149,4.024300714
Kpna4,0.302622933,0.49435728,1.6199999999999998e-35,1.3999999999999999e-24,0.0,0.0,-0.386837847,-0.374797809
Aldh3a2,0.24041049,0.003330516,0.050750613,0.9117485820000001,0.0,-0.175185957,0.0,0.0
Ptk2b,7.509999999999998e-05,2.08e-05,3.2599999999999997e-13,5.86e-11,0.227905096,0.244213039,0.365187372,0.381495335
Slc8a1,,,,,0.0,0.0,0.0,0.0
Trpc6,,,,,0.0,0.0,0.0,0.0
