,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Aldh2,4.36e-05,4.5999999999999995e-08,3.579999999999999e-29,4.26e-27,-0.6720585459999999,-1.043983468,-1.6408047069999998,-2.012729479
Mapk3,0.043448995,0.029883155,1.4300000000000002e-05,0.000466094,-0.22536804800000002,-0.237964258,0.39479952799999996,0.38220336299999996
Ercc1,0.00089663,0.00018810599999999998,0.9134530829999999,0.70173759,0.293075084,0.32569802,0.0,0.0
Ercc2,2.72e-09,0.010249862,0.212096166,3.5499999999999996e-05,0.504083104,0.23769454,0.0,-0.374941869
Casp6,9.769999999999999e-09,1.77e-06,1.4199999999999998e-12,4.79e-07,-0.45781249399999996,-0.422854292,-0.49650017700000004,-0.461541945
Prdx4,0.025351399,0.018170705,0.002467534,0.017115519,-0.39693043899999997,-0.40126174,0.43842477700000004,0.434093554
Chchd4,5.27e-05,0.0036745370000000003,0.287717149,0.060982522000000004,-0.5798921429999999,-0.41595399899999996,0.0,0.0
Gstp1,1.34e-07,3.32e-06,0.948846693,0.6377236510000001,-0.5721500270000001,-0.510322553,0.0,0.0
Akr1b3,3.22e-09,5.33e-06,0.748805035,0.49149486299999995,-0.40030918,-0.314904698,0.0,0.0
Hdac6,0.0034177409999999997,0.016104827,0.001036611,0.02381056,0.29521655399999996,0.242250303,0.290146508,0.237180298
Gskip,3.5e-12,2.37e-07,1.38e-16,4.22e-18,-0.619856081,-0.422970905,0.595003135,0.791888337
Mill2,0.0073317519999999995,3.27e-22,0.00012877600000000002,2.49e-18,3.498104855,4.023844219,4.407627691,4.933367098
Sirt1,0.035919094,0.000347986,2.4300000000000003e-20,1.49e-10,0.136583015,0.23397492,-0.503972595,-0.40658067
Mcl1,0.017637023999999998,1.54e-08,8.880000000000001e-13,1.67e-20,-0.175051255,-0.39399649299999995,-0.43760118299999995,-0.656546387
Prdx2,1.77e-14,8.070000000000001e-17,4.91e-09,1.7899999999999998e-05,-0.655630615,-0.6988188320000001,0.441289537,0.398101349
Mapkap1,0.0014761210000000002,0.0009878410000000002,0.000735455,0.007116489,-0.262624436,-0.267846823,0.240712457,0.235490098
Nr4a2,0.012559711999999999,5.47e-08,3.7999999999999996e-16,1.3e-22,0.988763573,1.7605610230000002,2.599862313,3.3716598889999996
Ndufs2,2.88e-24,1.7299999999999998e-18,0.003741006,0.250012899,-0.454856982,-0.400123733,-0.120675694,0.0
Tsc1,0.00482499,0.0005197040000000001,0.5400071479999999,0.998118818,0.214791452,0.261468987,0.0,0.0
Ucp2,9.47e-15,3.3100000000000004e-09,2.16e-33,2.4899999999999998e-33,-0.453041791,-0.351466846,0.6260823870000001,0.727657352
Rhob,0.011137741000000001,5.63e-10,0.758039748,0.00032098099999999997,1.02159357,2.33238215,0.0,1.4449524919999999
Rps3,1.19e-10,1.6e-09,2.81e-65,6.11e-47,-0.557962327,-0.531448468,-1.305144152,-1.278630231
Aqp1,0.261369886,0.023902062999999998,0.21859413600000002,1.0,0.0,-4.717142044,0.0,0.0
Txn1,7.780000000000001e-12,4.2899999999999995e-11,3.1300000000000003e-18,2.83e-14,-0.5424279120000001,-0.501212093,0.585160941,0.626376784
Gfer,1.62e-06,0.047368920999999994,7.970000000000001e-07,0.13953418,-0.47608454200000005,-0.225967241,-0.430323314,0.0
Aifm1,0.00572156,0.0342324,0.7165439570000001,0.42833848399999996,-0.244505295,-0.19344589199999998,0.0,0.0
