,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Aldh2,4.36e-05,4.5999999999999995e-08,3.579999999999999e-29,4.26e-27,-0.6720585459999999,-1.043983468,-1.6408047069999998,-2.012729479
Mill2,0.0073317519999999995,3.27e-22,0.00012877600000000002,2.49e-18,3.498104855,4.023844219,4.407627691,4.933367098
Prdx2,1.77e-14,8.070000000000001e-17,4.91e-09,1.7899999999999998e-05,-0.655630615,-0.6988188320000001,0.441289537,0.398101349
Nr4a2,0.012559711999999999,5.47e-08,3.7999999999999996e-16,1.3e-22,0.988763573,1.7605610230000002,2.599862313,3.3716598889999996
Rhob,0.011137741000000001,5.63e-10,0.758039748,0.00032098099999999997,1.02159357,2.33238215,0.0,1.4449524919999999
Aqp1,0.261369886,0.023902062999999998,0.21859413600000002,1.0,0.0,-4.717142044,0.0,0.0
Mctp1,0.000223088,1.94e-20,1.9499999999999999e-56,1.31e-10,-3.6076662919999998,-2.578959967,4.843279385,5.871978486000001
Thbs1,0.8007602340000001,1.05e-11,1.6899999999999999e-12,0.006265636,0.0,-4.543255708999999,7.892613149,4.024300714
Aifm2,0.7407618690000001,0.010640586,1.45e-19,3.25e-15,0.0,0.712223725,5.803562891,7.056149700000001
Romo1,8.93e-08,4.5700000000000006e-08,0.065399906,0.094837937,-0.69970263,-0.73842153,0.0,0.0
Lcn2,0.207516654,0.013579821,0.179014372,1.0,0.0,-5.139222446000001,0.0,0.0
Il10,0.01906266,1.0800000000000002e-09,8.35e-13,2.04e-27,2.364734258,2.281321615,5.811799128,5.72838606
Adipoq,0.7164762640000001,0.00159278,6.8599999999999994e-12,0.000474433,0.0,-1.421691694,4.434645121,2.54850003
Itgam,0.010583297,0.004629376,1.4899999999999998e-37,1.27e-16,-0.6759174059999999,-2.138771055,-3.939764085,-5.402616162999999
Tlr4,0.10766701099999999,7.37e-05,1.7200000000000001e-28,5.829999999999999e-39,0.0,0.763229556,6.390805836,5.798963825
Cpeb2,0.002472004,1.2e-05,0.017659354,0.001082545,0.47540301799999996,0.65421118,0.33905139,0.517859647
Ddias,0.705024842,0.0070114769999999995,0.010604563000000001,0.999570238,0.0,-0.639978548,0.5192134970000001,0.0
Ccr7,0.00043982300000000005,5.78e-10,6.739999999999996e-214,5.969999999999997e-190,-0.393211976,-0.7026584109999999,-2.985973282,-3.2954196039999997
Fos,1.43e-26,2.07e-28,0.750146491,0.560703779,6.011033894,6.238768072,0.0,0.0
Txnip,0.598225525,2.07e-06,3.9200000000000004e-05,1.1800000000000002e-19,0.0,-1.014491775,-0.787205369,-1.951817005
Jun,3.7e-43,1.87e-58,0.000415589,0.462226226,5.343262398,6.32211992,-1.3539434909999999,0.0
Sirpa,0.142070972,0.009618219,0.07638282099999999,0.7710115040000001,0.0,-3.289799588,0.0,0.0
Psmb5,1.13e-10,1.19e-09,0.28333942,0.55599111,-0.74292225,-0.7161911740000001,0.0,0.0
Hyal2,1.29e-07,4.8899999999999996e-05,1.35e-08,3.17e-09,-0.906561883,-0.6136558910000001,0.749280272,1.042186316
Nnt,4.15e-15,1.33e-33,0.601257424,2.8899999999999998e-05,0.565606677,0.8315528329999999,0.0,0.309386413
Glrx,0.00047510300000000005,3.8600000000000003e-29,5.749999999999999e-73,0.26476165100000004,0.405490312,-1.140326585,1.69447589,0.0
Tnfaip3,6.670000000000001e-05,2.6000000000000002e-05,0.015449134,0.02250827,1.519538088,1.614170191,0.858624123,0.953257177
Anxa1,0.055383950999999994,0.00014159,7.520000000000001e-07,0.019067155,0.0,-2.664664263,3.160031495,3.511123475
Hp,0.29626759399999997,0.027840272000000003,0.16770234,1.0,0.0,-4.488454855,0.0,0.0
Gpx1,5.97e-17,2.88e-17,1.1099999999999999e-15,2.95e-12,-0.6882374109999999,-0.719091713,-0.5932290170000001,-0.624083281
Mpo,0.385399882,0.025303846,0.39049327899999997,0.694276032,0.0,-4.478015438,0.0,0.0
Ppargc1b,2.81e-12,5.07e-09,0.7043463520000001,0.218851765,0.945686195,0.8103949840000001,0.0,0.0
Prdx1,6.59e-47,2.26e-49,3.94e-06,0.000388803,-0.854845939,-0.863525573,0.24846922100000002,0.239789604
Srxn1,0.73656424,4.01e-05,6.579999999999999e-41,1.6200000000000002e-20,0.0,-0.662048496,8.185105672999999,8.062817615
Atox1,5.58e-10,1.9e-09,0.9612668320000001,0.8933340879999999,-0.7089151,-0.691821902,0.0,0.0
Melk,0.029731179,0.049349659000000004,5.21e-12,1.99e-08,-1.414723278,-0.8019535109999999,2.5954940619999998,3.208262962
Cdkn2a,1.0,0.002424547,1.82e-08,0.005981364,0.0,-2.4550540119999997,6.680610695,4.1791544830000005
