,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Gstp1,1.34e-07,3.32e-06,0.948846693,0.6377236510000001,-0.5721500270000001,-0.510322553,0.0,0.0
Ndufs2,2.88e-24,1.7299999999999998e-18,0.003741006,0.250012899,-0.454856982,-0.400123733,-0.120675694,0.0
Gpx1,5.97e-17,2.88e-17,1.1099999999999999e-15,2.95e-12,-0.6882374109999999,-0.719091713,-0.5932290170000001,-0.624083281
Txnrd2,0.156373255,0.9273177659999999,5.83e-18,1.65e-19,0.0,0.0,0.69756721,0.8725849290000001
Prdx1,6.59e-47,2.26e-49,3.94e-06,0.000388803,-0.854845939,-0.863525573,0.24846922100000002,0.239789604
Srxn1,0.73656424,4.01e-05,6.579999999999999e-41,1.6200000000000002e-20,0.0,-0.662048496,8.185105672999999,8.062817615
Nnt,4.15e-15,1.33e-33,0.601257424,2.8899999999999998e-05,0.565606677,0.8315528329999999,0.0,0.309386413
Aldh2,4.36e-05,4.5999999999999995e-08,3.579999999999999e-29,4.26e-27,-0.6720585459999999,-1.043983468,-1.6408047069999998,-2.012729479
Atox1,5.58e-10,1.9e-09,0.9612668320000001,0.8933340879999999,-0.7089151,-0.691821902,0.0,0.0
Tnfaip3,6.670000000000001e-05,2.6000000000000002e-05,0.015449134,0.02250827,1.519538088,1.614170191,0.858624123,0.953257177
Txn2,5.0100000000000007e-11,6.31e-09,3.54e-05,0.004853207,-0.5128597979999999,-0.466154609,-0.294296031,-0.24759081
Ucp2,9.47e-15,3.3100000000000004e-09,2.16e-33,2.4899999999999998e-33,-0.453041791,-0.351466846,0.6260823870000001,0.727657352
Prdx3,2.4700000000000002e-29,2.81e-17,5.1e-09,0.021336644,-0.681327812,-0.533375684,-0.316067411,-0.168115265
Rhob,0.011137741000000001,5.63e-10,0.758039748,0.00032098099999999997,1.02159357,2.33238215,0.0,1.4449524919999999
Cat,2.67e-06,0.001276961,1.49e-13,8.68e-07,-0.351950365,-0.257635691,-0.488685869,-0.394371165
Gclm,0.382137234,0.116306583,2.6300000000000002e-05,2.64e-05,0.0,0.0,-0.343186008,-0.41422436799999995
Sirt1,0.035919094,0.000347986,2.4300000000000003e-20,1.49e-10,0.136583015,0.23397492,-0.503972595,-0.40658067
Xdh,1.18e-11,8.72e-17,3.8999999999999995e-65,4.460000000000001e-59,0.8408516340000001,0.9522300890000001,1.837104118,1.948482628
Sod1,2.36e-05,1.11e-09,0.001282011,0.355555329,-0.363054372,-0.51490939,0.249525585,0.0
Gpx4,8.19e-07,4.15e-07,0.004634483,0.028404177000000003,-0.468678227,-0.47900051200000004,0.244698074,0.23437582699999998
Sirt3,0.134116403,0.014444713999999999,0.007996900999999999,0.00215836,0.0,0.406619492,0.41410822799999997,0.529232334
Cdkn2a,1.0,0.002424547,1.82e-08,0.005981364,0.0,-2.4550540119999997,6.680610695,4.1791544830000005
Hmox2,8.269999999999999e-16,0.000734634,0.024023586,0.044290427,-0.635454923,-0.281508143,-0.167730881,0.186215928
Ndufs8,3.57e-10,1.21e-09,0.006454856,0.016090496,-0.578606304,-0.552804568,0.22627708300000002,0.252078853
Txnip,0.598225525,2.07e-06,3.9200000000000004e-05,1.1800000000000002e-19,0.0,-1.014491775,-0.787205369,-1.951817005
Hmox1,6.0599999999999996e-05,0.052323824000000005,2.3399999999999996e-105,6.0099999999999985e-64,1.0991746,0.0,4.507504813,3.1474170210000003
Aqp1,0.261369886,0.023902062999999998,0.21859413600000002,1.0,0.0,-4.717142044,0.0,0.0
Prdx5,1.0699999999999999e-10,1.1399999999999999e-11,0.071552879,0.254952745,-0.46561124200000004,-0.48696831100000004,0.0,0.0
Txn1,7.780000000000001e-12,4.2899999999999995e-11,3.1300000000000003e-18,2.83e-14,-0.5424279120000001,-0.501212093,0.585160941,0.626376784
Ftl1,3.0799999999999996e-68,9.289999999999999e-107,0.598063471,4.56e-06,-1.336476622,-1.6923016919999998,0.0,-0.401060955
Sirpa,0.142070972,0.009618219,0.07638282099999999,0.7710115040000001,0.0,-3.289799588,0.0,0.0
Prdx2,1.77e-14,8.070000000000001e-17,4.91e-09,1.7899999999999998e-05,-0.655630615,-0.6988188320000001,0.441289537,0.398101349
Ndufa12,0.016812852,0.03102747,0.368917373,0.362092727,-0.294128932,-0.265121155,0.0,0.0
Prdx4,0.025351399,0.018170705,0.002467534,0.017115519,-0.39693043899999997,-0.40126174,0.43842477700000004,0.434093554
Tlr4,0.10766701099999999,7.37e-05,1.7200000000000001e-28,5.829999999999999e-39,0.0,0.763229556,6.390805836,5.798963825
Romo1,8.93e-08,4.5700000000000006e-08,0.065399906,0.094837937,-0.69970263,-0.73842153,0.0,0.0
Glrx,0.00047510300000000005,3.8600000000000003e-29,5.749999999999999e-73,0.26476165100000004,0.405490312,-1.140326585,1.69447589,0.0
Hp,0.29626759399999997,0.027840272000000003,0.16770234,1.0,0.0,-4.488454855,0.0,0.0
Ndufa6,7.02e-10,7.54e-06,5.11e-17,2.3799999999999998e-08,-0.555113663,-0.427731174,-0.672295877,-0.544913344
Sod2,9.53e-05,0.083680592,0.127533163,0.001120721,-0.287236147,0.0,0.0,0.254835137
Prdx6,3.8799999999999994e-05,1.32e-05,8.289999999999998e-52,4.72e-40,-0.309738745,-0.34447056299999995,-0.99211344,-1.026845223
