,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Acly,1.2e-07,0.04300931,0.8352261990000001,0.01084475,-0.19823326600000002,-0.083461327,0.0,0.10577160000000001
Aco1,0.135818833,0.00032037200000000003,2.18e-06,0.050679674,0.0,-0.253296347,0.289192396,0.0
Aco2,0.022992981000000003,0.000560329,0.103804715,0.014358181000000001,-0.11038046800000001,-0.162574495,0.0,-0.12343186199999999
Cs,3.12e-14,5.14e-10,8.26e-06,0.012233618,-0.348423924,-0.292594649,-0.186986791,-0.131157504
Csl,,,,,0.0,0.0,0.0,0.0
Dlat,0.026664901,0.661866132,7.209999999999999e-05,0.128547359,-0.181111253,0.0,-0.271984295,0.0
Dld,0.38609350200000003,0.961317564,0.206032923,0.954776793,0.0,0.0,0.0,0.0
Dlst,0.00039387900000000003,0.828211912,0.186140119,1.27e-05,0.19067783,0.0,0.0,-0.243139155
Fh1,0.429895595,0.8965219090000001,0.094211412,0.031868385,0.0,0.0,0.0,0.163354893
Idh1,0.324844767,0.0027921820000000003,0.00011373,3.08e-07,0.0,-0.510082621,-0.511720057,-0.8493488690000001
Idh2,5.33e-06,0.055287098,9.329999999999997e-109,8.75e-61,-0.34414405299999995,0.0,-1.520850038,-1.359679892
Idh3a,7.72e-07,7.609999999999999e-05,0.00529871,0.15567318800000002,-0.34161955899999996,-0.28401760600000003,-0.17608553600000001,0.0
Idh3b,0.557732975,0.24811184100000003,0.269932935,0.14278117099999998,0.0,0.0,0.0,0.0
Idh3g,0.002004993,9.74e-08,0.646306688,0.016808488,-0.171417684,-0.28836792,0.0,-0.143797214
Mdh1,1.59e-55,1.2399999999999998e-42,0.942355695,0.083260535,-0.7695804940000001,-0.66933469,0.0,0.0
Mdh2,7.57e-22,6.64e-14,3.5e-06,0.048103375999999996,-0.468177995,-0.374788278,-0.207544792,-0.11415506
Ogdh,0.02347405,3.98e-09,0.7993805890000001,0.000491435,-0.10286676300000001,-0.24962541,0.0,-0.159049324
Ogdhl,0.134230224,0.008559764000000001,0.31561745399999996,0.6001193570000001,0.0,-3.65766071,0.0,0.0
Pck2,1.6e-05,0.481939365,1.3999999999999996e-121,1.6199999999999998e-51,0.41283829899999996,0.0,1.8314565969999999,1.3436298830000002
Pcx,0.92817681,0.91720955,0.572284848,0.8436881359999999,0.0,0.0,0.0,0.0
Pdha1,1.44e-08,0.24201063899999997,1.08e-39,2.26e-12,-0.324928771,0.0,-0.66750161,-0.425331998
Pdhb,0.347773396,0.759386752,7.99e-09,3.37e-05,0.0,0.0,-0.34438849299999996,-0.29759549
Sdha,1.24e-31,2.37e-17,0.001628702,0.962513436,-0.414889976,-0.306595955,-0.10523876900000001,0.0
Sdhb,1.1699999999999999e-09,2.8900000000000004e-12,0.0014945720000000002,0.000386324,-0.394313956,-0.462562497,-0.188449115,-0.256697634
Sdhc,6.45e-13,8.74e-06,1.5399999999999998e-05,0.280284656,-0.50892138,-0.330365375,-0.275762045,0.0
Sdhd,1.1699999999999999e-09,6.52e-11,0.9223438690000001,0.664665747,-0.414180937,-0.44743684799999994,0.0,0.0
Sucla2,1.53e-08,0.01075496,4.429999999999999e-05,0.574352636,-0.37153028299999996,-0.183102502,-0.238822993,0.0
Suclg1,0.00019053400000000002,4.6200000000000003e-07,2.64e-08,2.23e-09,-0.270175729,-0.373248222,-0.35190880399999996,-0.45498126899999997
Suclg2,3.4200000000000005e-05,0.008944373,1.1999999999999999e-11,2.01e-05,-0.354860458,-0.251342432,-0.507618121,-0.40410006200000004
