mouseSymbol,humanSymbol,B6.1.Tfh,B6.2.Tfh,B6.3.Tfh,B6.4.Tfh,TC1.Tfh,TC2.Tfh,TC4.Tfh,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Sign_score,mouseIDwtSS
Acly,ACLY,12.520784517260301,12.5570637533743,12.5653187185854,12.559833601298198,12.5463568574869,12.4626789305414,12.4639631461761,5897.7455631699295,-0.0716109360865493,0.0509099073348867,-1.4066208295271598,0.15953985318146202,0.28648380002378304,,Acly
Aco1,ACO1,9.749555561385009,9.72858949457287,9.637960733156211,9.697881349764579,9.52310079040715,9.55532101971383,9.5200907578976,795.0265855957599,-0.24108659058724302,0.0773917385555626,-3.11514633327636,0.0018385367609245601,0.007198484566278091,**,Aco1**
Aco2,ACO2,11.6711995748205,11.7715119750849,11.731458149677698,11.6812071400402,11.585310181106902,11.572159229147802,11.6184470356774,3244.8078997716198,-0.150967589796065,0.0568593367524282,-2.6551064155636297,0.00792833931250572,0.0250793441605371,*,Aco2*
Cs,CS,12.0070229577876,12.0489591684374,12.0157190596136,11.9809779217762,11.7869588364948,11.805133323913,11.761817289164698,3879.45492831448,-0.280542735119209,0.0500484729070046,-5.60542048186939,2.07749986290732e-08,3.21487041042117e-07,*****,Cs*****
Csl,CS,-1.21451810571726,-1.20718742096181,-1.21438901741398,-1.21439138515351,-1.19932202406024,-1.2136453677333898,-1.2142546300430301,0.43352051761323296,1.3067406992323403,3.2262586564164,0.405032837845622,0.685453373336006,,,Csl
Dlat,DLAT,9.26628743067278,9.367592719325199,9.22007275464827,9.34180237673675,9.302545358129619,9.25747532956175,9.2688432580315,626.226416036847,-0.0349658806219501,0.0887642683881471,-0.393918422997099,0.6936412682438711,0.80454800946989,,Dlat
Dld,DLD,10.233550185479901,10.2756929089239,10.2324104840218,10.195438490047598,10.261455455626802,10.2972537661608,10.1834350118518,1209.96732790407,0.017317556120188,0.0701998083311442,0.24668950716358398,0.8051485277178979,0.881332098425198,,Dld
Dlst,DLST,11.2778578268193,11.3018104086794,11.256906978859199,11.378725862994001,11.325068328897,11.378357023442,11.2796798844712,2547.9862667306897,0.0292156664272865,0.0643650923228543,0.45390545360738704,0.6498968781567249,0.7752369179451999,,Dlst
Fh1,FH,9.77133705413625,9.81905149330411,9.71035522097301,9.81971111741677,9.829329503565221,9.76370682799477,9.74474948922928,879.6067393358239,-0.00165775171586178,0.0780261094002573,-0.0212461152888947,0.983049327891808,0.9907722192158441,,Fh1
Idh1,IDH1,6.81937869106266,6.78207041256505,6.8220838520987686,6.71550013901925,6.65880664340979,6.60022429714052,6.5827649614521695,105.455570738238,-0.49769304874519704,0.18140275609425,-2.74358041443766,0.00607731613168755,0.0200119944158322,*,Idh1*
Idh2,IDH2,9.06460968020325,9.1026961719928,9.04415137789137,9.11092712084498,9.06330934915452,8.88737158741985,8.94453190878917,524.367836670089,-0.17169518259575697,0.0966767476998273,-1.77597185135825,0.0757375568228078,0.159983143531699,,Idh2
Idh3a,IDH3A,9.9195545154806,10.050609158267,9.90236201050285,9.867532582784381,9.72450361760086,9.762064668038251,9.730602581173699,927.8555556813341,-0.272012403160212,0.0841068851012849,-3.23412765593023,0.00122014904768054,0.005066596463195529,**,Idh3a**
Idh3b,IDH3B,11.2250708495166,11.449335026053697,11.3329049497878,11.365572798386,11.4381937339905,11.3901844877658,11.4645339737691,2672.2195315215804,0.10664135292077999,0.0760469807911269,1.40230883345238,0.16082304373010903,0.288364853433112,,Idh3b
Idh3g,IDH3G,10.977613292741498,11.0871235240955,11.012966688006802,11.0127551030799,10.8139401720085,10.808716503861401,10.794506083115499,1959.01621977626,-0.27661555086931394,0.0607444227757517,-4.55376046440489,5.26953553358763e-06,4.3143474662023706e-05,****,Idh3g****
Mdh1,MDH1,11.4735536866955,11.5475146656549,11.4735725579166,11.506313101302199,10.9970651947828,10.936077484603699,10.991810902019598,2536.31938151818,-0.657841565815695,0.0574987056365545,-11.4409804278703,2.60920145679076e-30,5.92959668208962e-28,*****,Mdh1*****
Mdh2,MDH2,11.748033259439499,11.9024243576158,11.768025988345599,11.8262416362576,11.561904231347999,11.4952464760254,11.4963324690894,3320.0543963210403,-0.36332533449075105,0.0663514450596383,-5.4757712385040795,4.35610148113486e-08,6.16520127774852e-07,*****,Mdh2*****
Ogdh,OGDH,12.420784333793002,12.377116081299,12.4801104197711,12.430518478801599,12.255796610216699,12.207785484375599,12.231576684284699,5214.54516060659,-0.23754674285039898,0.0525355395462507,-4.52163896863132,6.1362653922184505e-06,4.9375675194441706e-05,****,Ogdh****
Ogdhl,OGDHL,2.48101631947637,2.45185220993559,2.47638941037519,2.4466466527275497,2.39343215405478,2.40387584843618,2.40092268477328,5.422902364626809,-3.64414995515091,1.20065965915085,-3.03512317364622,0.00240437470387688,0.00910468764324529,**,Ogdhl**
Pck2,PCK2,10.3252477871464,10.395079110834699,10.488887778966,10.4727665134526,10.446042055221302,10.2943253854421,10.375383419722,1353.14297762395,-0.0633001145554162,0.0829091486409292,-0.7634876921672701,0.44517259972344203,0.60316887116945,,Pck2
Pcx,PC,6.5516207303491605,6.823019830065251,6.53268525573668,6.511551680569509,6.66951946984028,6.582319753616559,6.55480198750324,98.2200314656757,-0.0276100450521828,0.24877250083375302,-0.110985116761896,0.911628148916735,0.9499922374632679,,Pcx
Pdha1,PDHA1,11.246931725773699,11.4204468747968,11.2896621876008,11.3381066914698,11.2161109836993,11.333880740145302,11.2538371108471,2524.83246527598,-0.0709847309761784,0.0732100814048301,-0.9696032242288299,0.33224430517385,0.4918885441326761,,Pdha1
Pdhb,PDHB,10.132358813600199,10.234921813151198,10.0825887968996,10.1866770003169,10.1378022949058,10.1328169439079,10.1686645017935,1139.9535458891698,-0.0185258699250512,0.0747902602296941,-0.247704311606283,0.80436319564064,0.8808901085124129,,Pdhb
Sdha,SDHA,12.513432400524302,12.5421532870842,12.5319135176105,12.525785408357,12.308306888991401,12.2493714984991,12.2963589962121,5522.053250872779,-0.294890142292994,0.0461919620560251,-6.384014213021049,1.72505069384397e-10,4.18963457063662e-09,*****,Sdha*****
Sdhb,SDHB,10.3048763587481,10.5022296740127,10.316105862688401,10.350600235805802,10.0301626904284,10.0528045576102,10.013382793126802,1210.19624298565,-0.45084798214349797,0.0839626572191357,-5.3696249865797006,7.89005391239689e-08,1.04770432085484e-06,*****,Sdhb*****
Sdhc,SDHC,9.99769666673384,10.010354395642999,10.026693245532,9.87134713459525,9.77621839666336,9.72093162612735,9.73890191178741,946.0688321771629,-0.318272731958901,0.0807482702337157,-3.9415424136975403,8.09593152889316e-05,0.00047488967094997195,***,Sdhc***
Sdhd,SDHD,10.1544842586585,10.3050731852688,10.252964081006802,10.1743013762394,9.89756371104734,9.8617174594154,9.9354675458582,1095.99210092318,-0.43612022683039003,0.0790835710155409,-5.51467544054994,3.49424188661648e-08,5.0949954108428e-07,*****,Sdhd*****
Sucla2,SUCLA2,9.4975894981827,9.61010179448644,9.520183824686109,9.53660060818299,9.429997948324981,9.40570937256762,9.42856340751131,720.216811663435,-0.17160177312774,0.0796373683506385,-2.15478960043215,0.0311783024191642,0.0783669513168058,-,Sucla2-
Suclg1,SUCLG1,10.129059069489198,10.2599324926421,10.045038754792401,10.117919536755698,9.88623623216924,9.89699750799519,9.83615040400023,1049.72914435549,-0.361364081501716,0.0861314411124518,-4.19549559178889,2.72275582475613e-05,0.000182989436671823,***,Suclg1***
Suclg2,SUCLG2,8.64603887774288,8.68932175400908,8.660988360309009,8.664573676011221,8.56143796963543,8.46942332110278,8.522341453287309,389.52172639319605,-0.23995529902764998,0.097263821240666,-2.4670560540071,0.013622903011501,0.0394813519961665,*,Suclg2*
