mouseSymbol,humanSymbol,B6.1.Tfh,B6.2.Tfh,B6.3.Tfh,B6.4.Tfh,TC1.Tfh,TC2.Tfh,TC4.Tfh,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Sign_score,mouseIDwtSS
Anpep,ANPEP,4.17860343356395,3.9636283995270496,3.9901083175629,4.041110327398299,3.9428533426013197,4.02052006085603,3.9939403834317004,16.5175809991541,-0.7498731551601351,0.595806917740689,-1.2585841701933702,0.20818056765593,0.350448303732332,,Anpep
G6pd2,G6PD,-0.789336010979889,-0.781585283129063,-0.789293341777371,-0.7812876140407109,-0.7805819087881259,-0.7797829733257379,-0.7892481306102049,0.587696854338415,0.6413204074840311,2.3291341636945697,0.27534713005400396,0.7830495587166579,,,G6pd2
G6pdx,G6PD,9.784211230610689,9.91965665427641,9.936623081437288,9.94608383113956,9.81517795654899,9.761613344160061,9.74378327837403,921.250127126096,-0.17087945051391598,0.0834661054204839,-2.04729152813663,0.0406294692211721,0.0968870628646988,-,G6pdx-
Gclc,GCLC,9.92115085094872,10.000690447333199,9.95224588340637,9.99697199415414,10.16164523636,10.1330032349605,10.066878604222302,1050.8910386089901,0.205454586813728,0.071939760256707,2.8559253753500498,0.0042911597953527204,0.0149080083040994,*,Gclc*
Gclm,GCLM,8.60038084658601,8.742753246375889,8.53598509622918,8.66886197746401,8.524227154384612,8.55307598009517,8.55396837611117,388.197889387044,-0.15694971409659303,0.111570267970901,-1.4067342218585401,0.159506213997337,0.286455729540487,,Gclm
Ggct,GGCT,8.07296155140427,8.16295153570317,8.125167042999001,8.094868688853559,7.993213097335401,7.96663198373618,7.980160537295361,266.85232350851004,-0.24873062969888396,0.113935031833733,-2.18309176462828,0.0290290529337152,0.0739462248309914,-,Ggct-
Ggt1,GGT1,2.47220567654787,2.55252711853621,2.5193565878172297,2.50418509643614,2.47606296951167,2.4702723520376,2.4742941305139903,5.65062972913468,-1.44656631078163,0.8466217185627779,-1.70863359522281,0.0875188415945412,0.17990046932238798,,Ggt1
Ggt5,GGT5,6.25253792366386,6.3185174118711,6.35230544726876,6.4265231965673,6.281656247410151,6.34961262758415,6.48692623210123,82.2372137847993,0.123245732248239,0.235417120304522,0.523520685703806,0.600611959786026,0.737031416091958,,Ggt5
Ggt7,GGT7,9.43309040621516,9.426959547620589,9.495138685794599,9.37583652422944,9.75490935430947,9.7313418776071,9.710606984094019,762.934024580756,0.420520852376154,0.0779110776390427,5.397446231258679,6.7596121764658e-08,9.13613378970774e-07,*****,Ggt7*****
Gpx1,GPX1,10.56973639428,10.8595852476452,10.573668038707401,10.7388786630265,10.229631543255499,10.0973945426877,10.1187688980343,1445.4209247022197,-0.708360577158319,0.105447675811298,-6.71764997861075,1.8467864834855398e-11,5.23684124407986e-10,*****,Gpx1*****
Gpx4,GPX4,10.3560079167683,10.4986555161207,10.392367672197802,10.315108900192401,10.1177476179654,9.965011416655368,10.0332122767147,1224.4050109354598,-0.467359202876991,0.0862428323206797,-5.4191077716371,5.98972043190771e-08,8.23046772072933e-07,*****,Gpx4*****
Gpx7,GPX7,4.6151456580182,4.65788680831306,4.51716343379188,4.59484885632755,4.56780805760365,4.59273668282393,4.573180612437691,24.147516566374502,-0.16883880083549202,0.392031140313313,-0.43067701382230794,0.666703234636081,0.786263997078418,,Gpx7
Gsr,GSR,9.54778382834724,9.59448036830969,9.52122999424824,9.613097590069788,9.498104841640199,9.504139068422699,9.459247859371038,742.070002926528,-0.117325957761578,0.0777686306083846,-1.5086540272567002,0.131387219671917,0.24664950325004198,,Gsr
Gss,GSS,7.67985525278383,7.684183544571249,7.62384010527429,7.684788977450251,7.75372016060079,7.71394242030076,7.62068534459257,205.39523930952302,0.0580445734374398,0.132075444354466,0.4394804327264579,0.6603134571882329,0.7829072428225692,,Gss
Gsta3,GSTA5,3.2448390734496804,3.2594809572099996,3.31426115189543,3.26958277123197,3.3235371685437203,3.2567934159324596,3.33254766828953,9.833913220327739,0.613171579791324,0.618418783391278,0.9915151290017759,0.32143410862636895,0.481301918476144,,Gsta3
Gstk1,GSTK1,5.816932403726809,5.83542927421546,5.76196659558292,5.79614014966421,5.6146322477836,5.67199262230393,5.80916159300508,54.421824808731394,-0.45374829410855205,0.280330934307161,-1.6186165655602398,0.10552978860204701,0.20841314426832602,,Gstk1
Gstm1,GSTM1,5.062942876667269,5.08479239386162,4.99505733089299,5.0081215764752995,5.02239512666439,4.92920054362599,4.9821974442885795,32.33597513902,-0.404151800258506,0.331639653613005,-1.21864739591761,0.222978051737957,0.3690804271976121,,Gstm1
Gstm4,GSTM4,7.34777466460332,7.19953138609638,7.222271227042169,7.10146904451527,7.07188561947149,7.030614209812981,7.03855193013443,142.588452543612,-0.42620474535706104,0.17551002770072402,-2.42837831513431,0.0151665136227383,0.0431994447109257,*,Gstm4*
Gstm5,GSTM3,3.13270869192299,3.0747414356398304,3.06205488249588,3.05428295812281,3.067074711983,3.09918951050822,3.09511401951136,8.52357834581821,0.12444784260475399,0.641697253912869,0.19393544517435501,0.8462264293168779,0.9087609477857751,,Gstm5
Gstm7,GSTM5,2.96471118659262,2.9197572814397903,2.95970243125002,2.9671411458557,2.9741173304187996,2.9205941873436005,2.9621313216983394,7.753476586821559,-0.00715371864977283,0.667321132548542,-0.0107200541101588,0.9914467981565459,0.9957030091587329,,Gstm7
Gsto1,GSTO1,6.77987687887032,6.743178598641701,6.67430675671815,6.612746995086911,6.509521949443769,6.67185206212746,6.34543752533859,99.97365301350379,-0.564434650774085,0.25524030347872195,-2.2113852831284504,0.0270091680899542,0.0697389784085361,-,Gsto1-
Gsto2,GSTO2,0.605357985335786,0.613020351257293,0.629076446225879,0.6290631661755379,0.614287571109542,0.6061400269682429,0.6298370225600911,1.53287280011337,-0.272089475407669,1.5728066877799198,-0.172996133295779,0.8626544669826941,0.9183021453935151,,Gsto2
Gstp1,GSTP1,9.080370207460481,9.362471474809029,9.12732578336845,9.13961173360181,8.864567760907509,8.81807258158582,8.878408678372331,533.359299426584,-0.499497937874921,0.11791827491093303,-4.23596714124427,2.27570056998738e-05,0.000155975203219988,***,Gstp1***
Gstp2,GSTP1,1.5127402998346102,1.5126106969028799,1.5133582604771,1.52903858463857,1.53190611992426,1.5262207842583502,1.5221063561010801,2.88634084360007,0.600243832785712,0.9793429628822701,0.6129046264029461,0.539939404041585,0.688907599307939,,Gstp2
Gstt2,GSTT2,9.10018839767832,9.22714425888786,9.07760447366195,9.144825532859,9.07080187704,8.88414345283183,8.943775596614561,537.761646208436,-0.256493049524768,0.10476346787546001,-2.44830621519402,0.0143529614835367,0.0412382997062833,*,Gstt2*
Gstz1,GSTZ1,7.64494471559193,7.571020732679041,7.544605357995679,7.561955248019481,7.632013841540849,7.45463645679685,7.65666428267889,191.887248224691,0.009023452923454491,0.150209878042418,0.0600723004442247,0.9520980511524871,0.973498613054453,,Gstz1
Idh1,IDH1,6.81937869106266,6.78207041256505,6.8220838520987686,6.71550013901925,6.65880664340979,6.60022429714052,6.5827649614521695,105.455570738238,-0.49769304874519704,0.18140275609425,-2.74358041443766,0.00607731613168755,0.0200119944158322,*,Idh1*
Idh2,IDH2,9.06460968020325,9.1026961719928,9.04415137789137,9.11092712084498,9.06330934915452,8.88737158741985,8.94453190878917,524.367836670089,-0.17169518259575697,0.0966767476998273,-1.77597185135825,0.0757375568228078,0.159983143531699,,Idh2
Lap3,LAP3,8.11083208465107,8.1124701552601,8.05376213528517,8.02521146585042,7.880962324343059,7.90545538799981,7.84084678000017,255.600763091072,-0.37851091184127295,0.118525280310042,-3.1935036209250294,0.0014055757483703302,0.00570988227913054,**,Lap3**
