,padj_TCTnvsB6Tn,padj_TCTfhvsB6Tfh,padj_B6TfhvsB6Tn,padj_TCTfhvsTCTn,log2FoldChange_TCTnvsB6Tn,log2FoldChange_TCTfhvsB6Tfh,log2FoldChange_B6TfhvsB6Tn,log2FoldChange_TCTfhvsTCTn
Atg12,1.08e-08,0.0008994830000000001,0.641533885,0.141243471,-0.40567425,-0.245034924,0.0,0.0
Atg5,2.53e-09,2.2699999999999998e-07,0.0013157779999999999,0.05212685,-0.41030113799999995,-0.370733507,-0.19921648,0.0
Csnk2a1,3.86e-07,8.41e-05,0.000796191,0.00011823700000000001,0.27780669,0.224016448,-0.17126919,-0.22505941399999999
Csnk2b,3.7999999999999996e-08,3.6600000000000003e-10,0.075958224,0.46275212600000004,-0.291762229,-0.330714164,0.0,0.0
Fundc1,2.03e-11,1.04e-05,1.9399999999999997e-05,8.809999999999999e-09,-0.568231277,-0.364652304,0.311294619,0.51487362
Mfn1,0.184321388,0.012714467,0.152328703,0.024062031,0.0,0.226572551,0.0,0.21467664
Mterf3,2.15e-06,0.00021564400000000002,0.7999775990000001,0.623465608,0.332318087,0.266162004,0.0,0.0
Pgam5,5.2600000000000005e-05,0.0016380239999999999,0.0017915210000000001,0.07689107099999999,-0.267239888,-0.21840279699999998,-0.184672158,0.0
Pink1,0.012191791,0.01627429,0.15043531699999999,0.211797067,-0.421716349,-0.40959123700000005,0.0,0.0
Sqstm1,1.62e-08,7.91e-06,0.597653093,0.7230385990000001,-0.325209193,-0.263346476,0.0,0.0
Tomm20,8.55e-15,2.18e-05,5.73e-19,2.36e-05,-0.652807346,-0.39000637200000005,-0.6662429329999999,-0.403441925
Tomm22,1.7600000000000002e-17,5.73e-13,3.39e-07,0.00178484,-0.6081595639999999,-0.532984036,-0.330066711,-0.254891156
Tomm40,0.322699368,0.030093946,0.00048252300000000006,4.8899999999999996e-05,0.0,-0.172974878,-0.22613982600000002,-0.313753881
Tomm7,1.65e-05,1.12e-06,0.082707214,0.045315548,-0.49083076,-0.561954707,0.0,-0.259551679
Tomm70a,1.03e-17,4e-08,3.07e-13,0.001098119,-0.38487432899999996,-0.259371189,-0.292534416,-0.167031265
Ubb,0.020677522,0.001078888,0.185378651,0.7792993690000001,-0.210180683,-0.288620928,0.0,0.0
Vdac1,1.02e-09,3.9e-05,0.321739183,0.512949655,-0.34476427299999995,-0.239167713,0.0,0.0
