NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Details ...,192,-0.6804855,-2.9244602,0,0,0,2351,"tags=61%, list=17%, signal=73%",Tfh
KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_OXIDATIVE_PHOSPHORYLATION,Details ...,112,-0.7188158,-2.8966405,0,0,0,2328,"tags=67%, list=17%, signal=80%",Tfh
GO_OXIDATIVE_PHOSPHORYLATION,GO_OXIDATIVE_PHOSPHORYLATION,Details ...,122,-0.7040196,-2.8821602,0,0,0,2328,"tags=64%, list=17%, signal=77%",Tfh
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,Details ...,132,-0.5138448,-2.121699,0,0,0,3168,"tags=47%, list=23%, signal=61%",Tfh
HOUSTIS_ROS,HOUSTIS_ROS,Details ...,27,-0.6561926,-1.9847604,0,0.000572619,0.002,2645,"tags=67%, list=20%, signal=83%",Tfh
REACTOME_TRIGLYCERIDE_CATABOLISM,REACTOME_TRIGLYCERIDE_CATABOLISM,Details ...,15,-0.7022647,-1.8734814,0,0.003610107,0.014,2667,"tags=47%, list=20%, signal=58%",Tfh
GO_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE,GO_TRIGLYCERIDE_RICH_PLASMA_LIPOPROTEIN_PARTICLE,Details ...,13,-0.6967578,-1.7730932,0,0.011099056,0.047,3172,"tags=54%, list=23%, signal=70%",Tfh
REACTOME_FATTY_ACID_METABOLISM,REACTOME_FATTY_ACID_METABOLISM,Details ...,136,-0.42066473,-1.767579,0,0.010449953,0.051,3699,"tags=40%, list=27%, signal=54%",Tfh
GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,Details ...,26,-0.5750811,-1.7238866,0.005928854,0.016476242,0.09,4317,"tags=69%, list=32%, signal=101%",Tfh
REACTOME_PINK_PARKIN_MEDIATED_MITOPHAGY,REACTOME_PINK_PARKIN_MEDIATED_MITOPHAGY,Details ...,19,-0.582953,-1.6531129,0.009784736,0.031802423,0.183,3514,"tags=68%, list=26%, signal=92%",Tfh
REACTOME_MITOPHAGY,REACTOME_MITOPHAGY,Details ...,26,-0.5423707,-1.6350834,0.012269938,0.033939037,0.208,2258,"tags=50%, list=17%, signal=60%",Tfh
KEGG_FATTY_ACID_METABOLISM,KEGG_FATTY_ACID_METABOLISM,Details ...,37,-0.4909608,-1.6325259,0.007952286,0.031647105,0.212,2795,"tags=49%, list=21%, signal=61%",Tfh
REACTOME_SELECTIVE_AUTOPHAGY,REACTOME_SELECTIVE_AUTOPHAGY,Details ...,64,-0.4197414,-1.5507834,0.015968064,0.060925227,0.379,2352,"tags=34%, list=17%, signal=41%",Tfh
REACTOME_AUTOPHAGY,REACTOME_AUTOPHAGY,Details ...,127,-0.3590117,-1.4795915,0.010224949,0.094163164,0.552,3316,"tags=40%, list=25%, signal=53%",Tfh
GO_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION,GO_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION_IN_RESPONSE_TO_MITOCHONDRIAL_DEPOLARIZATION,Details ...,13,-0.5565662,-1.4068607,0.08251473,0.14107446,0.736,2225,"tags=54%, list=16%, signal=64%",Tfh
GO_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,GO_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,Details ...,19,-0.4731281,-1.3365673,0.11088296,0.20102203,0.85,2225,"tags=42%, list=16%, signal=50%",Tfh
REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,REACTOME_LATE_ENDOSOMAL_MICROAUTOPHAGY,Details ...,26,-0.42629093,-1.325435,0.103174604,0.20133047,0.87,3249,"tags=46%, list=24%, signal=61%",Tfh
REACTOME_TRIGLYCERIDE_METABOLISM,REACTOME_TRIGLYCERIDE_METABOLISM,Details ...,25,-0.42454252,-1.2772077,0.15578948,0.25530025,0.946,2895,"tags=32%, list=21%, signal=41%",Tfh
REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,REACTOME_CHAPERONE_MEDIATED_AUTOPHAGY,Details ...,15,-0.47798437,-1.2661439,0.16666667,0.2562266,0.956,1774,"tags=33%, list=13%, signal=38%",Tfh
KUMAR_AUTOPHAGY_NETWORK,KUMAR_AUTOPHAGY_NETWORK,Details ...,48,-0.3557353,-1.2443542,0.11434511,0.27443436,0.966,1502,"tags=25%, list=11%, signal=28%",Tfh
GO_TRIGLYCERIDE_CATABOLIC_PROCESS,GO_TRIGLYCERIDE_CATABOLIC_PROCESS,Details ...,16,-0.44747257,-1.2120211,0.2060606,0.30827615,0.983,3598,"tags=38%, list=27%, signal=51%",Tfh
GO_MACROAUTOPHAGY,GO_MACROAUTOPHAGY,Details ...,270,-0.26437405,-1.1880988,0.095634095,0.33103958,0.991,3099,"tags=32%, list=23%, signal=40%",Tfh
GO_AUTOPHAGY_OF_MITOCHONDRION,GO_AUTOPHAGY_OF_MITOCHONDRION,Details ...,70,-0.31492522,-1.1849235,0.15261044,0.32151446,0.992,2225,"tags=29%, list=16%, signal=34%",Tfh
GO_REGULATION_OF_MACROAUTOPHAGY,GO_REGULATION_OF_MACROAUTOPHAGY,Details ...,159,-0.2799494,-1.1806482,0.10816327,0.31539375,0.992,2028,"tags=23%, list=15%, signal=27%",Tfh
REACTOME_RECEPTOR_MEDIATED_MITOPHAGY,REACTOME_RECEPTOR_MEDIATED_MITOPHAGY,Details ...,11,-0.47970217,-1.1610225,0.27586207,0.33578917,0.997,2258,"tags=45%, list=17%, signal=55%",Tfh
