NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Details ...,191,-0.69390047,-2.9254577,0,0,0,2101,"tags=61%, list=17%, signal=72%",Tn
GO_OXIDATIVE_PHOSPHORYLATION,GO_OXIDATIVE_PHOSPHORYLATION,Details ...,122,-0.7309678,-2.8619828,0,0,0,2101,"tags=65%, list=17%, signal=77%",Tn
KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_OXIDATIVE_PHOSPHORYLATION,Details ...,110,-0.7357808,-2.8602858,0,0,0,2101,"tags=70%, list=17%, signal=83%",Tn
HOUSTIS_ROS,HOUSTIS_ROS,Details ...,26,-0.67559224,-2.0009203,0,0.000315217,0.001,1189,"tags=46%, list=9%, signal=51%",Tn
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,Details ...,127,-0.50039357,-1.9947162,0,0.000252174,0.001,2048,"tags=34%, list=16%, signal=40%",Tn
GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,GO_REGULATION_OF_OXIDATIVE_PHOSPHORYLATION,Details ...,24,-0.667917,-1.963797,0,0.000671509,0.003,1685,"tags=38%, list=13%, signal=43%",Tn
KEGG_FATTY_ACID_METABOLISM,KEGG_FATTY_ACID_METABOLISM,Details ...,37,-0.5721397,-1.8269048,0.002008032,0.005918307,0.03,2563,"tags=43%, list=20%, signal=54%",Tn
REACTOME_SELECTIVE_AUTOPHAGY,REACTOME_SELECTIVE_AUTOPHAGY,Details ...,62,-0.5004701,-1.8134156,0,0.006030492,0.035,1933,"tags=37%, list=15%, signal=44%",Tn
REACTOME_PINK_PARKIN_MEDIATED_MITOPHAGY,REACTOME_PINK_PARKIN_MEDIATED_MITOPHAGY,Details ...,19,-0.62428135,-1.7165933,0.007736944,0.017209083,0.107,1685,"tags=47%, list=13%, signal=55%",Tn
REACTOME_MITOPHAGY,REACTOME_MITOPHAGY,Details ...,26,-0.564023,-1.6785175,0.004032258,0.021970749,0.151,2327,"tags=50%, list=19%, signal=61%",Tn
