Sample,group,MID_1,MID_2,MID_3,MID_4,MID_5,MID_6,MID_7,MID_8,MID_9,MID_10,MID_11,MID_12,MID_13,MID_14,MID_15,MID_16,MID_17,MID_18,MID_19,MID_20,MID_21,MID_22,MID_23,MID_24,MID_25,MID_26,MID_27,MID_28,MID_29,MID_30,MID_31,MID_32,MID_33,MID_34,MID_35,MID_36,MID_37,MID_38,MID_39,MID_40,MID_41,MID_42,MID_43,MID_44,MID_45,MID_46,MID_47,MID_48,MID_49,MID_50,MID_51,MID_52,MID_53,MID_54,MID_55,MID_56,MID_57,MID_58,MID_59,MID_60,MID_61,MID_62,MID_63,MID_64,MID_65,MID_66,MID_67,MID_68,MID_69,MID_70,MID_71,MID_72,MID_73,MID_74,MID_75,MID_76,MID_77,MID_78,MID_79,MID_80,MID_81,MID_82,MID_83,MID_84,MID_85,MID_86,MID_87,MID_88,MID_89,MID_90,MID_91,MID_92,MID_93,MID_94,MID_95,MID_96,MID_97,MID_98,MID_99,MID_100,MID_101,MID_102,MID_103,MID_104,MID_105,MID_106,MID_107,MID_108,MID_109,MID_110,MID_239
C2_B6.1_Tfh_007,B6_Tfh,0.998106888,0.73695767,0.735420837,0.340583822,1.1803322,0.166068984,0.876478768,0.753172635,-0.313222781,0.647259378,0.614007721,0.243217675,-0.631988037,1.107167025,0.848034988,-1.613992475,0.03863853,0.767775218,0.754802889,0.035552364,-0.341423383,0.708831168,1.581458562,0.773360488,0.547644965,-0.914997947,0.227032603,0.961988038,0.428740842,-0.213564895,-0.750180545,-0.431579718,0.662863767,0.289454497,1.488426646,1.006612604,1.113470795,0.580271186,0.95114185,1.303217177,0.01393975,0.613116044,0.165516713,1.485990455,1.307370595,0.775952606,0.47080545,0.123668127,0.28896538,-0.134271545,0.70494249,0.380125088,0.899427461,0.290164017,-0.521161422,-0.694737377,0.467046287,1.249546386,1.361997238,-0.014899994,1.009475256,-0.82695152,0.012994944,-0.599072445,0.762204823,0.660562354,0.962132959,0.274389473,-0.196576063,0.632421636,-0.224126191,-1.5894803,-0.51379592,0.700969578,-1.364448426,0.724362237,0.632921718,0.117243262,-0.086473798,0.412717789,1.001198491,0.813034545,-0.591087093,-0.038174979,-0.574845303,-0.596947912,-0.924048598,-0.346287261,0.850619015,0.545798346,0.750547144,-0.342811477,1.731498419,-0.720273571,0.598207025,0.572087294,1.389748134,-0.144768297,1.549924428,0.394235062,0.821427069,0.608776984,0.799885571,-0.473827735,1.278114329,0.919607756,-0.578239729,-0.083826523,1.213613987,-0.164603424,-1.010343258
C2_B6.2_Tfh_008,B6_Tfh,-0.846774339,0.976281516,1.447159912,-2.517576049,-1.793397605,0.21814296,2.009703734,0.164238547,-1.73199195,1.130454294,0.759640913,1.37202767,0.624382133,1.451686918,0.397296229,-0.689114685,1.654796072,0.066670079,1.629027913,0.685367439,-0.550156063,0.657912476,-1.704441658,1.118417623,1.739754945,-1.302638787,0.807850325,1.239751637,0.363240165,-0.498203335,-2.749271753,0.548932525,1.172810118,-1.507768995,-0.585298624,-0.315005171,0.455099539,1.652223137,-0.952288709,-0.16849154,-1.748815965,0.255515383,-0.93655907,-1.619202258,1.149853601,0.521018401,0.405791492,-0.198161723,0.932885261,-0.382544163,1.826970339,1.518798494,0.566959171,1.114718132,-1.387142113,-1.386141428,-2.326301814,-0.023959791,0.30609666,-1.680403338,-1.008682818,-1.219620082,-2.243408695,-0.521979083,0.346555455,1.48430377,0.305261315,-0.027864481,-1.334952346,1.489225285,-0.879723122,-0.436617272,-0.217860726,1.331834071,-1.141685948,-0.232308502,1.264952146,-1.052301164,-2.00305482,1.037535024,-0.237660057,1.100103849,-0.477437334,-0.239292158,-0.810645287,-2.525147315,-0.729489781,-1.116102081,-0.474903433,-0.413981864,-0.560120028,-1.750025636,1.498209416,-1.846123276,1.818019233,1.463469964,0.615185069,-1.484499425,-0.579807605,-2.201884044,0.579968003,0.918855657,-2.224376854,-1.150265833,-0.333338749,-0.301710132,-2.607780225,-2.054408229,0.130229997,-1.749548869,-1.06646626
C2_B6.4_Tfh_009,B6_Tfh,0.445663898,0.848699542,0.441110835,-1.565234287,-0.17375356,-0.709033539,0.657585915,0.391269624,-1.750793467,0.668376148,0.516630966,0.049520882,-0.362707464,1.359425805,0.519935567,0.721552247,0.684525739,0.245993813,1.102621376,-0.706579388,-0.076039901,0.602577464,0.547449119,1.139999106,0.729998276,-0.765417347,0.952618262,0.849953336,-0.7407392,-0.143913117,-1.560530663,0.276168617,0.608184304,-0.706045026,0.071481907,0.197496601,0.246981113,0.893988631,-0.324432417,1.21988263,-0.865382078,0.561925226,-0.491888181,-0.839863818,0.794187829,0.99171996,1.131227698,0.178648821,0.113705988,-0.018165196,0.914862719,1.088018323,0.907198748,0.339353088,0.035708273,-0.330741797,-0.132458535,0.532103725,0.612958663,-0.389107734,0.040122227,-1.027630042,-0.950933976,-0.41967582,0.77571027,0.72305134,0.792876801,0.876158922,-0.402440191,0.994171085,-1.094744255,-0.261111764,-0.103571009,0.926287292,-0.500765328,0.445954207,0.852258056,0.053778036,-1.040841367,0.650243631,0.560306916,1.045346002,0.481388217,-0.595126198,-0.243938535,-1.148291422,-0.71035343,-0.553836534,-0.389650884,0.131619893,0.022111482,-0.585897215,0.980932951,-1.266430336,0.883101454,-0.03675517,1.057116423,-0.419039283,0.883766034,-1.641065546,0.82409047,0.552316225,0.174880798,-0.661112058,1.167646086,0.80597204,-0.784573579,-0.753765448,0.85672043,0.644956726,-0.826671933
C2_B6.6_Tfh_010,B6_Tfh,2.643499823,0.905536744,0.842816769,0.192800954,-1.220903206,-0.316292221,1.427654325,0.949065708,-0.75929955,1.006338065,1.024999363,0.599465715,0.674018577,1.455361943,0.663515539,0.715828697,1.557578253,0.358028315,1.366346022,-0.10691914,-0.341423383,0.84909878,0.241677101,0.956887066,2.284882052,-0.135907801,0.542352133,1.89516165,-0.132806974,-0.354073845,-0.926013763,-0.881738099,0.974182023,0.56226265,-0.050371107,0.274063832,0.492610219,1.060064691,0.244359172,1.330150027,-0.372208654,0.661740254,0.805745973,1.054143091,1.232333996,0.233876942,-1.768343775,-0.156880816,0.572079932,-0.051700829,1.423834956,1.316731475,0.925882397,0.704093848,1.115613454,-0.567663047,0.340357196,0.513215799,0.671304241,-0.517139765,0.28501205,-1.300762184,0.450575717,-0.729246132,0.981585589,1.151253121,0.668472649,1.08476848,0.172336151,1.306297976,1.357250122,0.395817797,0.018398515,1.175265527,-0.009056427,0.405606655,1.057690817,-0.060634173,0.128662151,0.908663831,0.514988772,1.184250826,1.855419625,0.002013581,1.307049035,-1.074734464,-0.722921017,-0.252536674,0.242105931,0.021768151,1.251393974,-0.589667219,1.50394904,-1.397711389,1.887264692,-0.254334324,1.044500137,-0.057615828,0.814202611,-0.177092781,0.848378907,1.08410439,1.360897452,-0.574542538,-0.361467606,0.246225317,-1.089241615,-0.418266581,1.173757451,0.686483328,-0.486833059
C2_B6.7_Tfh_011,B6_Tfh,-0.424395778,0.603677001,0.394128584,-1.495918983,0.198480208,-0.963688551,0.770221824,0.906904902,-1.2696376,0.546893998,0.628493195,0.551049548,-0.266499929,1.264103513,0.763053762,-0.853073746,0.652487104,0.49250227,1.103517126,-1.18455409,0.014442419,0.513731529,0.267165795,1.070881554,0.944212168,-0.179171789,0.372152729,1.034165361,-0.925045489,-0.76555246,-0.94968434,0.540719367,0.632708591,0.036263686,-0.160785342,-0.847699565,0.855518105,0.438768087,-0.119684027,-0.140876536,-0.538665878,0.445722955,-0.533198913,-0.5609786,0.851985633,-0.514000972,-0.544665631,-1.040094904,0.183729863,-0.301074832,0.834482907,1.012170101,0.782033558,0.108540605,1.276405271,-0.624063671,-0.264694708,0.701367807,0.66664992,0.097866766,-0.184447184,-1.193603869,0.396739901,-0.407313185,0.352402047,0.508518722,-0.550685939,0.683673728,-0.956548604,0.927316388,-0.410385968,-0.419919747,-0.067563097,0.940498867,-0.570859007,0.699726318,0.903919875,-0.765741892,0.157713507,0.578060441,-0.237660057,0.806117201,-0.695847605,-0.175009776,0.631486961,-1.297114188,-0.554703622,-0.526236904,-0.474903433,-0.027502835,-0.227489743,-0.68791263,0.961994157,-0.53551748,1.145073402,-0.396000636,0.730025624,-0.443292262,0.509743585,-0.321740542,0.801728206,0.93612204,0.613157998,-0.676298188,-0.361467606,-0.778660987,-0.915186744,-0.158293135,0.674821829,0.602897717,-0.916160406
C2_B6.8_Tfh_012,B6_Tfh,0.136816887,0.569365002,1.174418453,0.285508438,-0.400817775,0.949828554,0.814323266,0.08748766,-0.693378787,1.081623446,0.833494991,0.190688955,0.497346198,1.211718796,0.747168639,-0.190305026,0.470655845,-0.704090471,0.729065817,0.715652213,0.209058063,-1.283157539,0.023378657,0.650489569,0.437877466,-0.206411057,0.490577089,0.504546579,0.542550948,-0.216139835,-1.17206621,0.242904071,0.922408649,-0.512446767,0.295664374,0.632625688,0.144475003,1.088393632,0.838771569,0.399358419,-0.48775061,0.517710611,0.05556687,0.192246243,0.623939554,0.837243054,-1.39600533,0.246894886,0.723027396,-0.414376159,0.572830504,0.622955697,0.767609479,0.772944781,1.867051177,-0.283595861,0.383928037,0.447079715,0.419159874,-0.879163727,-0.981171925,-1.206349798,0.469816588,-0.688081803,-0.462559795,0.815799636,0.620639726,1.124995662,0.437194072,0.630718849,0.026032223,-0.186772645,0.001646167,0.650798578,-0.994826418,-0.008529371,0.590441743,-0.151594893,0.183248452,0.320137804,0.240416817,1.120641904,-0.446369098,-0.148327586,1.434118568,-0.684711027,-0.724434834,-0.469615297,-0.640325259,0.267124077,0.118234143,-0.542972969,0.550946222,-0.94522356,0.16927627,0.922603941,1.386318442,0.583941713,-0.176232592,-0.692102005,0.781564252,0.563046382,0.287978333,-0.67121047,0.263774078,0.849262627,-0.713482763,-0.028074356,0.660048703,-1.406799247,0.618468888
C2_B6.1_Tn_001,B6_Tn,0.136816887,-0.807276849,0.292791167,0.813968357,1.664005198,1.703800572,-0.19775273,1.232412017,-0.193483557,0.785497936,0.808498588,0.349599381,0.438749074,-0.143064126,0.874885419,-0.125900502,0.526792023,0.23494986,0.400971302,-0.004870757,-0.239247753,1.315136764,0.254467291,-0.135235923,0.051240963,0.586517208,-0.824859033,0.157915617,-0.112992912,-0.468644108,-0.015212231,0.482525275,0.504423347,0.096998251,2.795682912,-0.396053484,1.187396562,0.658290797,0.355403719,1.025066724,-0.943608632,0.622597428,0.481311943,0.62357596,0.544598496,1.369457042,0.361191154,-0.908498243,0.165664309,0.2960206,0.391629087,0.571397706,0.883331739,-0.030253491,-1.460210996,-0.34285573,1.12747817,-0.456994819,0.14559303,1.107234855,-0.902322344,0.35596498,-1.372293846,-0.706031552,-2.702018757,0.491792129,0.377039841,-0.027864481,0.684563329,0.370602038,-0.224126191,0.778411995,-1.059842598,0.444765017,-0.654948857,-0.050499176,0.431845161,0.286916019,-1.165587914,0.143441449,0.673568534,0.09476814,0.751334708,-0.184016544,-0.386694028,-0.509756035,-0.550100277,0.225841845,0.334299593,-0.925579543,-0.484448922,0.957380347,0.382794474,0.028053972,0.056690475,-0.489478858,-0.76729227,0.899627649,-1.165336781,-0.905092203,0.901016591,0.117193652,0.27213395,-0.970727973,0.818877105,-0.277965722,-0.307645018,-0.52310474,1.029400033,-0.102787586,-0.486833059
C2_B6.2_Tn_002,B6_Tn,-0.48722384,0.298025044,1.893960947,0.844163935,0.653420483,2.746624106,1.903719889,1.075214269,-0.185214236,1.290204184,1.197400585,1.384766443,1.265918041,-0.037972461,0.869538378,-0.484129045,2.10421131,0.775988673,1.512591718,2.138096568,0.168233431,-0.429328487,-1.147337596,1.334651341,1.749431503,1.497351683,0.600180744,1.64473565,1.444577852,-0.585740799,0.574487102,-4.251837831,1.500218488,0.544601338,0.901043407,0.378451795,1.063748501,1.244148833,1.442798055,0.811353053,-0.058932581,0.534019545,0.337062966,0.076909101,1.398718426,1.732852974,0.121162278,-0.553881724,1.166038036,-0.358560356,1.643344021,1.481011633,0.813756427,1.262182989,-0.170755922,-0.220131423,2.85250696,-0.610428041,0.426334055,0.391396086,-0.462658668,1.273905305,-1.292274812,1.841710532,-1.999931982,1.36294582,0.704120431,1.464214273,-0.244150191,1.144850056,-0.920157151,0.416612355,0.485863732,1.218759074,0.220839537,0.045531524,1.262951395,-0.765741892,-1.26807145,0.924508442,-0.089979973,0.999727011,-0.020490375,0.450152889,0.062543654,-0.043712025,0.262211829,-0.465236481,0.786202503,-0.707502247,0.022111482,0.30423791,1.514813655,1.724161079,1.778000022,2.233433153,-0.739229615,0.747789351,-1.22915989,0.288433195,0.824255714,1.847309782,0.256187673,-0.345029095,1.951440688,0.373439794,-0.784573579,-0.720349867,0.642161588,1.911815961,0.843563625
C2_B6.4_Tn_003,B6_Tn,0.497257796,-0.844728594,0.07868486,1.4294993,0.80038048,-2.445842072,0.267832917,0.757705507,-0.46962407,0.610377853,0.718691543,1.045353929,-0.33842381,-0.286965626,0.51753705,0.011596246,0.294465508,-0.704090471,0.41783801,-0.218010352,-0.22929406,-1.673255877,-1.091975789,-0.469471895,-0.169965562,0.376667757,-1.419630992,-0.54250756,0.421588875,-0.679036419,0.76705948,0.266384796,0.434408539,-0.389625964,-0.183396474,-0.422528362,-0.323534246,0.633858061,0.698067814,1.048775209,-0.643601008,0.703788916,-0.134765992,-0.790380082,0.462185337,1.403445027,-0.243884416,-0.904487463,0.160029348,-0.174257158,-0.06985563,0.144460484,0.787328572,-0.162784686,-0.910910507,-1.114851596,1.945067281,-0.896620356,-0.063806443,0.790127376,-0.87717817,0.589119259,-1.368474349,1.002292726,-0.652800954,0.716182977,0.520901483,-1.547585558,-0.716127752,0.338191841,0.255845395,0.442992518,-0.895322743,0.44413533,-0.897737253,-1.297757886,0.421264769,-1.196318832,-1.319941957,0.11834429,-0.005122313,0.294980781,-0.351010378,0.268550748,-0.139014133,-0.264448426,-0.747290761,-0.509621478,0.189168706,-0.742620928,-0.484448922,-0.389104927,0.268851187,0.006432811,0.692585456,-0.358543976,-1.145665169,1.151682876,-1.219699555,-0.248271342,0.80659103,0.342555029,0.640709809,-0.661112058,0.386713161,0.391038519,0.107212381,-0.175104585,0.565684713,0.253334694,1.852026842
C2_B6.6_Tn_004,B6_Tn,-1.55402851,-0.352374565,-0.213621202,0.774058108,-0.750038969,0.243852658,0.301602661,0.075457213,-1.048710417,0.4389011,0.56112962,0.511416543,-1.579399974,-1.094727866,-0.641109362,0.320099977,0.457422728,0.178687048,0.831892685,-1.351133338,-0.68103656,-1.458299921,-0.476577429,0.446554447,0.273490691,0.327940124,-0.433804604,0.906554243,-0.908498001,-0.861745292,-0.378217461,0.984716142,0.661155271,-0.659528556,-1.523941807,-0.828188352,-0.75757869,0.88761201,-0.331446475,0.325914453,-1.543761726,0.678813158,0.248493386,1.487815187,0.670582969,0.178010572,-1.084338212,-0.485648377,-0.041080257,-0.548944901,0.602501182,0.475491447,0.79162705,-0.343024628,0.49446796,-1.4980123,1.408199601,-0.950248344,-0.079621156,-1.412028666,-1.156875717,-1.615106297,-0.448220302,-0.772453518,-0.702697857,0.607729064,-0.113742078,0.323558069,-1.085534124,0.666416538,-0.249259778,0.238052576,-0.026753418,0.791679411,-0.637175317,-1.523966858,0.733570364,0.053778036,-0.664731135,0.412499156,-1.017158847,0.517466437,0.235725499,-0.595126198,0.947599692,-0.958238222,-0.5001994,-0.743532548,-1.87459846,-1.560525363,-0.249638476,-1.220187664,0.37613921,-1.140273773,0.473676622,-1.815471257,-0.653279281,0.288393152,-1.022694805,-1.179723369,0.811398555,0.844963751,-0.08637509,-0.86676589,1.638005782,-0.277965722,-0.15546332,-0.798945282,0.590507832,-0.376325769,0.521065659
