"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C00379","D-Xylitol","HMDB0002917","6912","C00379","C([C@H](C([C@H](CO)O)O)O)O","1"
"C00183","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@@H](C(=O)O)N","1"
"C00299","Uridine","HMDB0000296","6029","C00299","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O","1"
"C01620","Threonic acid","HMDB0000943","151152","C01620","C([C@H]([C@@H](C(=O)O)O)O)O","1"
"C00199","D-Ribulose 5-phosphate","HMDB0000618","439184","C00199","C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O","1"
"C00474","Ribitol","HMDB0000508",NA,"C00474","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"C00134","Putrescine",NA,"3434","C00134",NA,"1"
"C00802","Oxalureate","METPA0081",NA,"C00802",NA,"1"
"C00407","L-Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@@H](C(=O)O)N","1"
"C00294","Inosine","HMDB0000195","6021","C00294","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"C00262","Hypoxanthine","HMDB0000157","790","C00262","C1=NC2=C(N1)C(=O)N=CN2","1"
"C00387","Guanosine","HMDB0000133","6802","C00387","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"C00623","sn-Glycerol 1-phosphate",NA,"3896","C00623",NA,"1"
"C00025","L-Glutamic acid","HMDB0000148","33032","C00025","C(CC(=O)O)[C@@H](C(=O)O)N","1"
"C02341","trans-Aconitic acid","HMDB0000958","444212","C02341","C(/C(=C\C(=O)O)/C(=O)O)C(=O)O","1"
"C00165","DG(16:0/16:0/0:0)","HMDB0007098","644078","C00165","CCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCCCCCCCCCC","1"
"C05422","L-Dehydroascorbic acid","HMDB0001264","7786","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@H](O)CO","1"
"C00327","Citrulline","HMDB0000904","9750","C00327","C(C[C@@H](C(=O)O)N)CNC(=O)N","1"
"C00099","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"C00049","L-Aspartic acid","HMDB0000191","5960","C00049","C([C@@H](C(=O)O)N)C(=O)O","1"
"C06104","Adipic acid","HMDB0000448","196","C06104","C(CCC(=O)O)CC(=O)O","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","C00020","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"C00212","Adenosine","HMDB0000050","60961","C00212","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
