"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"C00379","D-Xylitol","HMDB0002917","6912","C00379","C([C@H](C([C@H](CO)O)O)O)O","1"
"C00105","Uridine 5'-monophosphate","HMDB0000288","6030","C00105","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","1"
"C01620","Threonic acid","HMDB0000943","151152","C01620","C([C@H]([C@@H](C(=O)O)O)O)O","1"
"C00199","D-Ribulose 5-phosphate","HMDB0000618","439184","C00199","C([C@H]([C@H](C(=O)CO)O)O)OP(=O)(O)O","1"
"C00474","Ribitol","HMDB0000508",NA,"C00474","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"C00013","Pyrophosphate","HMDB0000250","644102","C00013","[O-]P(=O)([O-])OP(=O)([O-])[O-]","1"
"C00134","Putrescine",NA,"3434","C00134",NA,"1"
"C00346","O-Phosphoethanolamine","HMDB0000224","1015","C00346","C(COP(=O)(O)O)N","1"
"C00149","L-Malic acid","HMDB0000156","222656","C00149","C([C@@H](C(=O)O)O)C(=O)O","1"
"C00130","Inosinic acid","HMDB0000175","8582","C00130","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"C00294","Inosine","HMDB0000195","6021","C00294","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"C00258","Glyceric acid","HMDB0000139","439194","C00258","C([C@H](C(=O)O)O)O","1"
"C00122","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"C02341","trans-Aconitic acid","HMDB0000958","444212","C02341","C(/C(=C\C(=O)O)/C(=O)O)C(=O)O","1"
"C05422","L-Dehydroascorbic acid","HMDB0001264","7786","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@H](O)CO","1"
"C06104","Adipic acid","HMDB0000448","196","C06104","C(CCC(=O)O)CC(=O)O","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","C00020","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"C00212","Adenosine","HMDB0000050","60961","C00212","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"C00055","Cytidine monophosphate","HMDB0000095","8117","C00055","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","1"
