metabolite,HMDB,KEGG,geoMean_Tact,geoMean_Tfh,log2FC_TfhvsTact,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells
Hypotaurine,HMDB00965,C00519,21.36987736,21.22683595,-0.14304141,0.100325478,2.012501812,0.240009412,21.35100131,21.49949202,21.39333289,21.23568321,21.29104526,21.16824661,21.22121597
Taurine,HMDB00251,C00245,30.82593154,30.61588366,-0.21004788,0.031226954,2.968058965,0.102227186,30.84586791,30.98148974,30.74389301,30.73247551,30.65766664,30.58382262,30.60616173
Glycerol_3-phosphate,HMDB00126,C00093,25.10469853,24.47291903,-0.6317795,0.000340439,8.653883078,0.004072177,25.0176261,25.16150333,25.20865793,25.03100677,24.38682581,24.45464961,24.57728167
L-erythrulose,HMDB06293,C02045,21.95546378,21.70299072,-0.25247306,0.300176448,1.15529459,0.496568486,22.04734533,21.96574184,21.84690887,21.96185909,21.68399372,22.15319241,21.27178603
L-threonate,HMDB00943,C01620,27.52349952,27.91646833,0.39296881,0.013239767,-3.753947471,0.057348979,27.56964621,27.63133239,27.46147305,27.43154641,27.90349716,28.10682218,27.73908566
D-Erythrose_4-phosphate,HMDB01321,C00279,21.30020254,21.23924052,-0.06096202,0.828096512,0.228788587,0.913255373,21.49972404,21.59407329,21.2934951,20.81351772,21.37539016,20.84125761,21.50107378
N-phosphocreatinate,HMDB01511,C02305,24.64192925,24.88400253,0.24207328,0.428548868,-0.861072772,0.619900921,24.71898625,24.75860137,24.55063328,24.5394961,25.52968806,24.64390013,24.47841939
3-methyl-2-oxobutanoate,HMDB00019,C00141,23.51447737,23.03213211,-0.48234526,0.000793972,7.221619719,0.006673653,23.52814356,23.63423255,23.3981834,23.49734998,23.03642403,22.95975406,23.10021824
beta-hydroxy-beta-methylbutyrate,HMDB00754,,22.72071722,22.36302406,-0.35769316,0.036472308,2.834710107,0.118155081,22.76724663,22.95649507,22.60594897,22.5531782,22.34785996,22.50686707,22.23434516
Xanthine,HMDB00292,C00385,25.75041998,25.12293923,-0.62748075,0.015935066,3.576420179,0.064109579,25.89104904,25.84934941,25.67024805,25.59103342,25.08875707,25.45681265,24.82324797
(S)-dihydroorotate,HMDB03349,C00337,19.87445768,15.28179356,-4.59266412,0.097703197,2.033269091,0.23694495,20.21367022,20.22961355,19.71201364,19.3425333,9.965784285,18.56863978,17.31095661
N-Carbamoyl-L-aspartate,HMDB00828,C00438,20.84672935,19.24801424,-1.59871511,2.89E-05,14.42606901,0.000802549,20.83065634,20.96190806,20.98049143,20.61386156,19.22157873,19.16485697,19.35760702
5-Phospho-beta-D-ribosylamine,HMDB01128,C03090,18.93939691,18.53490544,-0.40449147,0.016810264,3.526054828,0.064487982,18.70092506,18.97253138,18.98079288,19.10333831,18.40314368,18.5908574,18.61071523
(R)-2-hydroxy-4-methylpentanoate,HMDB00624,C03264,20.46202149,19.74177727,-0.72024422,0.00590762,4.587389276,0.030621162,20.77068497,20.38539819,20.52058182,20.17142099,19.68438906,19.86355451,19.67738823
4-nitrophenolate,,,20.76652446,20.71385383,-0.05267063,0.896595812,0.136707818,0.961139648,20.9442838,20.39822901,21.40492374,20.31866128,20.4701014,20.38415333,21.28730676
2-methylglutaconic_acid,HMDB02266,,22.74078268,22.48449098,-0.2562917,0.314858559,1.116784764,0.506522401,22.85518612,22.73232345,22.69678745,22.6788337,22.43793011,22.97104121,22.04450161
adipic_acid,HMDB00448,C06104,22.87386937,22.47266023,-0.40120914,0.042339909,2.708738032,0.131732527,22.98902471,22.73734044,23.06275412,22.70635821,22.43977233,22.27605039,22.70215796
lysine,HMDB00182,C00047,24.05871505,25.62002067,1.56130562,0.537043721,-0.662363459,0.723032888,26.09357483,18.08907423,26.12710176,25.92510938,25.51958822,25.85878316,25.48169063
2-aminomuconate,HMDB01241,C02220,17.57236792,19.57209282,1.9997249,0.000779964,-7.249465563,0.006673653,17.76020787,17.25297686,18.01253605,17.26375089,19.86282621,19.64935319,19.20409907
2-oxoadipate,HMDB00225,C00322,17.08133818,19.09937633,2.01803815,0.000526955,-7.886740801,0.00499432,17.08647181,17.40637619,17.35941481,16.4730899,19.02848508,19.15342184,19.11622206
erythro-5-hydroxy-L-lysinium,HMDB00450,C16741,17.99083042,17.57566186,-0.41516856,0.164097426,1.629682292,0.333557514,18.06578165,17.41432977,18.33400616,18.14920408,17.41592793,17.79188989,17.51916775
arginine,HMDB00517,C00062,27.22640936,27.44187182,0.21546246,0.800218995,-0.266879898,0.89520902,27.96802416,25.199923,27.97704622,27.76064407,27.29003359,27.67065736,27.36492452
L-Fucose_1-phosphate,HMDB01265,C02985,20.18820816,20.73841719,0.55020903,0.02760552,-3.075659106,0.092315234,19.9743161,20.43119721,20.28469071,20.06262863,20.99829394,20.75532496,20.46163267
D-Glucosamine_6-phosphate,HMDB01254,C00352,22.20076375,22.55785324,0.35708949,0.306385645,-1.138811853,0.50128515,22.49432132,22.56770685,22.27498721,21.46603963,22.65008844,22.33306551,22.69040577
6-Phosphogluconic_acid,HMDB01316,C00345,22.8168075,21.9802641,-0.8365434,0.243246565,1.322550544,0.4423958,23.03069552,22.96516358,22.06894002,23.20243087,20.94161038,23.21908032,21.78010161
4-hydroxybenzoate/Gentisate_aldehyde,HMDB00500,C00156,21.34923193,21.60618893,0.256957,0.647796465,-0.485577438,0.797799,21.51143048,21.06255591,21.58740829,21.23553302,21.09577542,20.90449346,22.8182979
3-hydroxyanthranilate,HMDB01476,C00632,18.83404944,18.84232322,0.00827378,0.974858629,-0.033122292,0.990787691,18.87951827,19.04193055,19.15606831,18.25868064,18.7059418,18.79452316,19.02650469
quinolinate,HMDB00232,C03722,19.10281956,19.09465162,-0.00816794,0.965637122,0.045279718,0.988844265,19.27050468,19.13938372,18.92044967,19.08094015,19.15789437,19.38685259,18.7392079
2-acetamido-5-oxopentanoate,HMDB06488,C01250,20.26524924,20.6209412,0.35569196,0.292328281,-1.176563011,0.489336818,20.45786933,20.20000203,20.45095308,19.95217253,20.80196332,21.05975096,20.00110933
N-acetyl-L-glutamate,HMDB01138,C00624,24.22708739,24.29415367,0.06706628,0.509872415,-0.709232732,0.695483865,24.24903206,24.20541631,24.34408632,24.10981487,24.32331159,24.43283427,24.12631516
L-cystathionine,HMDB00099,C02291,19.49046626,17.72739267,-1.76307359,0.00024599,9.266898032,0.003194927,19.50072792,19.63179557,19.41006949,19.41927204,17.65817115,18.13041943,17.39358742
N1-(5-Phospho-D-ribosyl)glycinamide,HMDB02022,C03838,19.18549894,18.54107173,-0.64442721,0.208426699,1.443687572,0.398336509,19.51311242,19.5807628,19.5323016,18.11581895,18.63573138,18.205318,18.78216581
Sedoheptulose_7-phosphate,METPA0585,C05382,24.79199908,24.9207594,0.12876032,0.1712865,-1.596405622,0.341475009,24.80869793,24.90947487,24.77241572,24.67740779,24.78944511,24.95249173,25.02034136
"sedoheptulose_1,7-bisphosphate",HMDB60274,C00447,21.44889012,21.51319347,0.06430335,0.903604031,-0.127379978,0.961139648,21.76283181,21.6590811,20.45522955,21.91841802,21.83735481,21.93255533,20.76967027
4-pyridoxate,HMDB00017,C00847,19.43927959,18.99900686,-0.44027273,0.307863227,1.134932645,0.50128515,19.20610535,19.85442992,19.00128296,19.69530013,18.98143778,19.64235073,18.37323206
fructoseglycine,HMDB60278,,25.55374752,25.34856562,-0.2051819,0.354940104,1.019020102,0.546467189,25.68830244,25.58701638,25.62128522,25.31838604,25.34331778,25.71745398,24.98492509
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,METPA0491,C04376,21.9368129,20.96373655,-0.97307635,0.003626018,5.146332741,0.021277202,21.75279325,21.86285682,21.97374287,22.15785864,21.14827456,21.15939544,20.58353965
nonanoate,HMDB00847,C01601,25.46536443,25.50396138,0.03859695,0.590802023,-0.574032763,0.761821531,25.40912502,25.55259899,25.51822243,25.38151129,25.57225298,25.39512425,25.54450692
(4-hydroxy-3-methoxyphenyl)acetaldehyde,HMDB05175,C05581,18.87941731,18.27681297,-0.60260434,0.006619241,4.463455455,0.032675936,19.07890264,18.89754886,18.75509269,18.78612503,18.08947628,18.5106743,18.23028834
4-hydroperoxy-2-nonenal,HMDB60287,,22.36229172,22.63874612,0.2764544,0.248514465,-1.305654039,0.442505712,22.44830815,22.38951806,22.61601681,21.99532384,22.45355365,22.48069286,22.98199186
Azelaic_acid,HMDB00784,C08261,20.68194068,20.40719568,-0.274745,0.151703149,1.690604817,0.317077747,20.90890428,20.61849352,20.8691418,20.33122312,20.33042096,20.49001533,20.40115074
(R)-Pantothenate,HMDB00210,C00864,27.10450461,26.31532965,-0.78917496,0.006136897,4.545646186,0.031288114,27.20775474,27.2275263,26.98914028,26.9935971,26.27818806,26.65396018,26.01384071
carnosine,HMDB00033,C00386,22.57695531,22.62256657,0.04561126,0.774944869,-0.301812818,0.882812653,22.53978922,22.63264089,22.46451273,22.67087838,22.47202936,22.95843052,22.43723982
gama-L-glutamyl-L-alpha-aminobutyrate,,,19.29268759,20.0293888,0.73670121,0.01429839,-3.679679068,0.060091881,19.41130982,19.03720698,19.55729716,19.16493638,19.94005642,19.78602713,20.36208286
Galactosylglycerol,HMDB06790,C05401,18.71279057,19.37916141,0.66637084,0.076652307,-2.224924409,0.200326617,18.21480451,18.98610447,19.1951172,18.45513608,19.06709259,19.55840417,19.51198747
S-[2-carboxy-1-(1_H-imidazol-4-yl)ethyl]-L-cysteine,,,19.44103812,19.20323209,-0.23780603,0.264179406,1.257287291,0.464179634,19.42375607,19.52198206,19.67847447,19.13993987,19.12566769,18.97393815,19.51009043
N-acetyl-seryl-aspartate,,,21.23719571,21.43441988,0.19722417,0.267376681,-1.247738232,0.467158134,21.30033544,21.20383267,21.19605763,21.24855711,21.64110269,21.59861943,21.06353751
3-Deoxy-D-glycero-D-galacto-2-nonulosonic_acid,HMDB00425,,22.0699809,22.90786481,0.83788391,1.55E-05,-16.36926033,0.000689621,21.99589261,22.03855443,22.14787693,22.09759961,22.92488817,22.96536675,22.8333395
Perillic_acid,HMDB04586,C11924,18.41490883,18.07550055,-0.33940828,0.419096256,0.880086708,0.611919886,17.73701388,19.11498188,18.13771696,18.6699226,18.1485173,18.33505519,17.74292915
"trans-4,5-epoxy-2(E)-decenal",,,18.06671985,18.05116136,-0.01555849,0.96658732,0.044026664,0.988844265,17.89056571,18.51756253,17.46158961,18.39716153,18.50042953,17.99681896,17.65623559
caprate,HMDB00511,C01571,24.46258104,24.44451021,-0.01807083,0.884110117,0.153362042,0.961139648,24.47463792,24.41215424,24.69746598,24.26606603,24.38492602,24.3815538,24.56705082
w-hydroxydecanoicacid,HMDB02203,,19.93725517,19.93207346,-0.00518171,0.984871813,0.019927716,0.990820698,20.12433737,19.67147909,20.35048416,19.60272005,19.80717652,19.70483895,20.28420492
kynurenate,HMDB00715,C01717,19.3822979,18.63278511,-0.74951279,0.151911847,1.689538454,0.317077747,19.24691216,20.28495164,19.05960998,18.93771781,18.68987074,19.12724549,18.0812391
N(omega)-(L-Arginino)succinate,HMDB00052,C03406,25.44984938,23.44277939,-2.00706999,4.84E-07,32.94926341,7.29E-05,25.46912448,25.50506365,25.43511356,25.39009582,23.47947634,23.53067731,23.31818451
dIMP,HMDB06555,C06196,20.762499,20.6751478,-0.0873512,0.788981905,0.282360917,0.89520902,21.01605167,20.81137227,20.83270567,20.38986638,21.06363256,20.04302707,20.91878377
L-tryptophan,HMDB00929,C00078,26.98531639,26.92592914,-0.05938725,0.466372811,0.78804,0.650412306,27.06523748,27.00794836,26.95759565,26.91048405,26.96086081,27.03804131,26.7788853
5-Methoxyindoleacetate,HMDB04096,C05660,20.26040197,19.25387371,-1.00652826,0.023794155,3.207533257,0.085057267,20.23252365,20.4640026,20.07939549,20.26568614,19.33671261,19.82837815,18.59653036
Glycyl-phenylalanine,HMDB28848,,16.32319488,16.96164288,0.638448,0.057416804,-2.457328141,0.158023239,16.28338719,16.48066823,16.23626443,16.29245968,17.5218574,16.87252628,16.49054497
laurate,HMDB00638,C02679,25.72278339,25.86664275,0.14385936,0.774936554,-0.30182438,0.882812653,25.84874942,25.82963744,26.3698813,24.84286538,25.17738951,26.29601743,26.12652131
omega_hydroxy_dodecanoate_(n-C12:0),,,19.69721464,19.77197429,0.07475965,0.707346827,-0.397578347,0.830131559,20.13428376,19.41440715,19.71752233,19.52264532,19.7483892,19.77075182,19.79678184
