metabolite,HMDB,KEGG,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,ttest_pval_Th17vsTfh,ttest_tscore__Th17vsTfh,padj_lim_ttest_tscore__Th17vsTfh,ttest_pval_Th1vsTfh,ttest_tscore__Th1vsTfh,padj_lim_ttest_tscore__Th1vsTfh,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
Hypotaurine,HMDB00965,C00519,21.35100131,21.49949202,21.39333289,21.23568321,21.29104526,21.16824661,21.22121597,20.46670717,20.71707684,20.6148737,20.53365896,21.02348346,21.0192678,20.92181256,20.92645738,0.10032547763454197,2.01250181169811,0.24000941187955896,0.00232903468641015,-5.6947705397162105,0.0054873468747996795,0.00026293077062137,-9.13816253091838,0.00314505652550946,4.94e-07,58.09884959,1.77e-06
Taurine,HMDB00251,C00245,30.84586791,30.98148974,30.74389301,30.73247551,30.65766664,30.58382262,30.60616173,30.30772066,30.57205529,30.41530457,30.33815301,30.93159203,30.93474968,30.86773814,30.90101558,0.0312269540326489,2.9680589651302003,0.102227186359514,9.6850822420725e-05,11.251915770139,0.000418341746845076,0.0349062221157714,-2.8721634229971804,0.0795639317859217,3.2500000000000004e-05,25.02025512,7.57e-05
Glycerol_3-phosphate,HMDB00126,C00093,25.0176261,25.16150333,25.20865793,25.03100677,24.38682581,24.45464961,24.57728167,24.50980414,24.84456959,24.950535600000002,24.85006716,24.88783159,25.17971436,24.98419138,25.02232464,0.00034043920464255496,8.653883078212768,0.00407217664014749,0.0014107911013799,6.36935802160111,0.0035100482602332,0.0500683965875124,2.56945542826153,0.0991860190210779,0.000358764,14.75375697,0.000684513
L-erythrulose,HMDB06293,C02045,22.04734533,21.96574184,21.84690887,21.96185909,21.68399372,22.15319241,21.27178603,21.37910017,20.72460342,20.11835493,20.76112451,19.35960974,19.19133197,18.85971918,18.94006566,0.300176447998792,1.15529458965403,0.496568485785236,0.00014500165687256498,-10.3487306935518,0.0005379551598340152,0.049733847794410986,-2.5749811475821405,0.0991860190210779,8.3e-07,52.50719473,2.78e-06
L-threonate,HMDB00943,C01620,27.56964621,27.63133239,27.46147305,27.43154641,27.90349716,28.10682218,27.73908566,27.63210642,27.30246473,27.10008396,27.17451442,26.44077504,26.43543841,26.43075899,26.471548100000003,0.0132397670798106,-3.75394747050529,0.0573489789201341,1.52951645392982e-05,-16.418299366175802,0.00011325705170766001,0.0137366558557803,-3.718272564408161,0.0427209997114766,4.3600000000000004e-07,59.53428035,1.6e-06
D-Erythrose_4-phosphate,HMDB01321,C00279,21.49972404,21.59407329,21.2934951,20.81351772,21.37539016,20.84125761,21.50107378,20.28241562,20.41831186,20.52909353,20.37661697,17.91863324,17.28625965,16.52081051,17.57148181,0.828096512166939,0.22878858682778105,0.913255373347227,0.00016881238285946498,-10.0262410135136,0.000610472686852252,0.00552815609462482,-4.66079131486246,0.0235514595264153,5.8200000000000005e-08,87.60940514,2.7e-07
N-phosphocreatinate,HMDB01511,C02305,24.71898625,24.75860137,24.55063328,24.5394961,25.52968806,24.64390013,24.47841939,24.86836998,25.26953469,25.33758115,25.1382843,24.75691668,24.62030122,24.9867967,24.53804755,0.4285488684955949,-0.8610727724795508,0.619900921405255,0.616107577145676,-0.5341748703139121,0.66072226376657,0.409287650198815,0.9001726778349671,0.5238208198017761,0.121876157,2.414218487,0.1510099
3-methyl-2-oxobutanoate,HMDB00019,C00141,23.52814356,23.63423255,23.398183399999997,23.49734998,23.03642403,22.95975406,23.10021824,22.97338177,23.11404221,23.02445347,23.01741957,23.14028273,23.08921449,22.95822917,23.05570927,0.000793971522271981,7.221619719262018,0.00667365252504286,0.633997313906309,0.5065712525594179,0.6752505637837739,0.9970045529634448,0.00394547362143755,0.9970045529634448,5.4e-06,36.2052196,1.4499999999999998e-05
beta-hydroxy-beta-methylbutyrate,HMDB00754,,22.76724663,22.95649507,22.60594897,22.5531782,22.34785996,22.50686707,22.23434516,22.216706,22.42706596,22.09106424,22.07847727,21.4898533,21.53307958,21.33584002,21.41465845,0.0364723079035242,2.8347101072211003,0.118155080812459,0.000108752821111115,-10.9852889896053,0.00044574938881310704,0.228042726323126,-1.3732955217969098,0.32833929577079696,7.82e-07,53.13040484,2.64e-06
Xanthine,HMDB00292,C00385,25.89104904,25.84934941,25.67024805,25.59103342,25.08875707,25.45681265,24.82324797,24.70626754,24.05507963,24.10470653,24.24717531,20.97064366,20.74085779,20.94432684,20.79419539,0.015935065529933002,3.5764201787932097,0.0641095787236498,1.75049588889785e-06,-25.4446497731296,3.629361476314871e-05,0.0152141589093621,-3.62033602497564,0.0450628897220153,2.9100000000000002e-11,360.6356,6.03e-10
