metabolite,HMDB,KEGG
_guanosine_,HMDB00133,C00387
inosine,HMDB00195,C00294
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,METPA0491,C04376
uracil,HMDB00300,C00106
AMP,HMDB00045,C00020
CDP-ethanolamine,HMDB01564,C00570
sn-Glycero-3-phosphocholine,HMDB00086,C00670
Glycerol_3-phosphate,HMDB00126,C00093
aspartate,HMDB00191,C00049
glycine,HMDB00123,C00037
L-proline,HMDB00162,C00148
L-threonate,HMDB00943,C01620
L-serine,HMDB00187,C00065
L-glutamine,HMDB00641,C00064
myo-inositol,HMDB00211,C00137
succinate(2-),HMDB00254,C00042
malate(2-),HMDB00156,C00149
fumarate,HMDB00134,C00122
2-oxoglutarate(2-),HMDB00208,C00026
2-Hydroxyglutarate,HMDB00694,C02630
itaconate/Mesaconate,HMDB02092,C00490
3-Keto-beta-D-galactose/L-Gulonolactone,HMDB01385,C05394
gulonate,HMDB03290,C00800
L-arabinitol/xylitol/D-ribitol,NA,NA
L-xylonate/L-lyxonate,HMDB60256,C05411
D-Glucuronate_1-phosphate,HMDB03976,C05385
