MID,C2_B6-1_Tfh_007,C2_B6-2_Tfh_008,C2_B6-4_Tfh_009,C2_B6-6_Tfh_010,C2_B6-7_Tfh_011,C2_B6-8_Tfh_012,C2_B6-1_Tn_001,C2_B6-2_Tn_002,C2_B6-4_Tn_003,C2_B6-6_Tn_004,C2_B6-7_Tn_005,C2_B6-8_Tn_006,C1_B6-1_Tfh_004,C1_B6-1_Tn_001,C1_B6-2_Tfh_005,C1_B6-2_Tn_002,C1_B6-3_Tfh_006,C1_B6-3_Tn_003,C1_TC-1_Tfh_010,C1_TC-1_Tn_007,C1_TC-2_Tfh_011,C1_TC-2_Tn_008,C1_TC-2_Tn_009,C1_TC-3_Tfh_012,C2_TC-1_Tfh_018,C2_TC-2_Tfh_019,C2_TC-3_Tfh_020,C2_TC-4_Tfh_021,C2_TC-1_Tn_013,C2_TC-2_Tn_014,C2_TC-3_Tn_015,C2_TC-4_Tn_016
MID_1,126,38,88,367,50,72,72,48,91,24,28,53,119,93,103,108,102,42,60,76,45,73,87,68,35,53,344,53,55,16,48,38
MID_2,528,574,549,560,504,498,308,453,304,361,311,346,453,450,672,443,567,327,618,285,650,437,225,464,396,453,404,636,325,170,334,184
MID_3,6433,9401,5499,6812,5363,8129,5081,11929,4533,3879,7475,6195,2164,2563,3023,2117,2774,3868,5337,1450,5236,1178,2134,3522,5036,4265,5924,7923,6363,4894,3659,3450
MID_4,400,42,89,356,94,383,581,595,944,563,499,612,234,188,266,410,209,408,81,163,446,396,169,291,288,284,244,92,983,931,1055,382
MID_5,478,81,213,114,266,186,638,349,381,151,129,135,218,294,279,239,195,171,184,126,203,155,184,175,529,661,601,708,131,100,524,251
MID_6,117,119,88,100,81,151,193,271,50,120,112,154,178,69,124,113,145,120,78,87,122,104,89,113,98,108,144,80,131,114,80,88
MID_7,22689,41153,20224,30310,21457,21960,12903,38924,16479,16774,25453,24459,15348,9187,11159,9077,9330,8384,7598,6854,14267,5029,7918,6174,16540,12055,15182,22486,18369,14253,10755,10623
MID_8,525,410,451,570,560,397,642,601,526,395,446,581,512,151,183,544,381,374,91,428,421,286,438,313,378,360,370,401,506,310,228,344
MID_9,214,101,100,169,129,175,228,229,197,145,214,196,426,529,568,686,454,570,426,236,390,584,386,271,187,177,141,302,261,159,244,188
MID_10,2558,3491,2593,3223,2398,3383,2796,3869,2498,2237,2317,2544,885,652,914,994,749,848,773,650,1070,649,479,860,2868,2223,3106,3374,2426,2022,2941,1845
MID_11,961,1100,878,1407,974,1178,1151,1651,1059,915,1057,1095,217,118,150,443,147,136,145,149,203,205,128,208,1006,962,1402,1010,1066,945,1135,835
MID_12,333,600,301,401,391,324,352,604,506,383,342,306,390,187,172,268,161,151,140,84,116,243,187,124,468,327,424,443,483,349,630,357
MID_13,431,602,463,610,475,582,573,714,466,335,555,480,401,566,342,688,344,660,633,306,578,364,309,471,615,555,674,540,735,631,759,402
MID_14,1550,2041,1896,2047,1757,1685,571,621,509,267,254,184,279,520,315,418,929,452,493,330,827,334,268,641,1906,1038,1681,2598,697,255,266,305
MID_15,5535,2130,2762,3744,4623,4470,5859,5793,2748,236,1871,2695,153,84,180,128,58,52,96,57,28,55,72,45,8949,9999,7234,4579,9189,7771,5796,7721
MID_16,38,104,483,480,87,179,192,130,223,312,222,185,3135,275,349,306,310,53,275,142,150,545,179,231,123,63,9500,326,123,96,331,49
MID_17,1584,2550,1916,2478,1898,1799,1829,2911,1708,1792,1835,1789,1990,1776,1464,1833,1611,1565,990,1130,1179,924,1410,999,1418,935,1108,2243,1639,1097,1476,1363
MID_18,436,295,326,347,374,192,324,438,192,314,559,1261,405,357,257,1353,258,191,362,207,101,198,256,132,172,141,158,214,244,331,318,198
MID_19,14474,26034,18282,21824,18293,14226,11413,24076,11543,15243,14351,15511,7310,3471,7702,2754,6796,2868,2869,4665,5971,3449,4003,3352,11494,9309,11103,15670,9706,8504,6483,7645
MID_20,1184,1557,866,1115,708,1577,1164,2872,1064,660,1960,1127,946,1194,676,1436,653,1332,2475,581,1458,532,749,1339,1160,921,1391,1647,2042,1600,1813,864
MID_21,204,185,231,204,241,264,214,259,215,174,227,243,776,160,205,436,486,457,65,275,201,366,364,319,179,153,153,491,226,148,276,146
MID_22,2450,2308,2163,2888,1949,237,4988,645,150,193,161,322,4189,2594,4691,2039,1854,3107,808,1350,866,2195,2602,2178,440,258,2075,5169,264,160,1373,204
MID_23,294,46,164,138,140,122,139,63,65,92,95,72,197,113,124,131,177,96,54,76,399,79,138,252,180,351,238,200,92,71,55,68
MID_24,492,580,586,537,567,464,319,643,272,421,404,421,325,344,370,183,295,159,331,239,147,202,187,143,511,404,908,649,304,223,238,252
MID_25,681,989,721,1173,771,658,583,992,544,625,588,643,587,336,750,331,572,481,626,406,644,424,342,521,659,569,531,773,530,443,399,368
MID_26,6875,5455,7517,10945,10666,10494,16845,29011,14862,14436,11900,12661,7359,20198,9908,27749,8007,22489,9470,9043,7458,3338,9116,5472,7980,11066,12633,6237,39878,39894,18279,27910
MID_27,975,1347,1460,1162,1057,1129,543,1200,390,675,527,744,911,255,1396,1661,1052,685,3324,864,1888,755,864,1685,796,628,1707,471,441,470,528,429
MID_28,294,326,282,416,302,248,218,379,168,288,257,169,171,245,199,249,148,335,138,154,118,120,137,102,223,159,249,309,180,152,143,153
MID_29,2242,2117,805,1371,685,2477,1395,5458,2228,695,4017,1208,832,188,173,1244,1067,1958,2978,609,2362,877,581,1010,3019,3348,5178,1615,4794,3550,5458,1622
MID_30,2206,1805,2317,1998,1495,2202,1843,1697,1589,1397,1596,1381,9895,7744,6391,6458,6170,8095,4091,2946,3573,2133,8111,7674,1631,1304,1260,2569,1437,900,1570,1043
MID_31,14364,3675,8266,12741,12537,10773,23710,35446,40420,18511,26193,25305,7513,57260,16589,55540,21901,52390,28677,37887,61163,66791,36324,37100,17303,28175,18306,11921,43894,36426,25449,37628
MID_32,323233,420539,390852,286447,419613,387378,413110,115936,389827,472718,430857,423392,368738,377094,468150,303951,400111,380904,308524,551463,304768,413541,385226,366644,360344,388640,326779,255471,267110,400697,396572,454777
MID_33,1947,2646,1884,2348,1912,2276,1770,3222,1697,1945,1762,1857,1212,403,744,800,880,806,348,781,717,697,466,519,2120,1485,2704,2246,1627,1564,1783,1456
MID_34,11465,4466,6801,13229,10039,7528,10364,13107,8029,6969,9058,6559,40274,15755,14977,15527,10284,29161,10169,8086,4232,13638,20091,15093,9273,6418,5836,10885,8021,3235,7604,8251
MID_35,899,431,544,521,501,589,1429,730,497,309,689,769,524,572,720,770,607,398,668,343,504,277,259,432,562,540,603,595,548,487,295,454
MID_36,32513,21769,25433,26031,18519,29024,21240,26869,21070,18629,17753,17329,12381,28545,28923,29148,23594,8827,40435,22200,27657,25855,21360,27262,28749,29835,27402,32653,30815,24344,33592,17715
MID_37,757,468,402,481,627,373,799,730,265,193,345,315,98,173,153,168,203,407,327,1576,78,169,97,328,758,376,379,1786,375,285,254,318
MID_38,2192,4373,2683,2986,2001,3041,2305,3362,2269,2672,2767,2850,850,541,1383,645,742,575,2817,428,943,645,538,895,1764,1346,1917,1613,2250,1420,1728,1186
MID_39,1173,536,694,877,755,1120,918,1436,1057,692,910,833,236,716,662,684,672,567,994,406,598,457,383,832,1002,1123,870,1273,1373,1094,1465,904
MID_40,26981,9717,25465,27490,9905,14410,22245,19179,22614,13694,16030,18615,11074,6388,6541,5912,5245,7954,3678,3213,2237,4308,5937,4914,23615,13338,12811,24522,23455,11847,14049,11122
MID_41,98694,56157,74496,87226,82703,84061,72655,96420,79973,59964,65162,64056,55648,138582,125266,126173,135442,107435,145892,87656,209646,139688,84823,152624,114315,126983,92630,116855,110778,84535,127548,100476
MID_42,2114,1381,1989,2240,1732,1887,2138,1924,2355,2286,1923,1779,142,1647,1746,99,84,1341,1134,107,1462,66,79,950,1834,1850,1998,2722,2124,1386,1614,1604
MID_43,1137,679,836,1534,820,1080,1318,1232,988,1182,1347,894,1063,1524,877,1301,492,1200,633,1354,308,1654,1103,775,765,783,5837,1071,999,1025,1251,1306
MID_44,17895,1829,3242,13031,3979,6919,9498,6357,3362,17919,1662,13332,3081,8146,4058,10107,10363,2515,10399,10671,1707,11344,6879,7745,3580,6032,4984,2000,5517,28302,7155,3662
MID_45,4009,3567,2740,3792,2860,2415,2277,4290,2142,2500,2459,2786,1255,686,1064,501,926,265,820,788,623,511,478,590,2211,1757,2319,2985,2412,1708,1562,1599
MID_46,370,324,414,279,189,382,504,609,513,271,309,275,167,153,135,260,194,287,85,101,158,173,124,162,366,159,379,271,503,372,345,112
MID_47,90,87,127,28,53,34,85,75,62,40,47,96,120,98,135,124,97,125,94,81,86,118,79,76,54,35,38,145,109,24,28,44
MID_48,1537,1265,1589,1297,760,1656,823,1020,825,1063,984,719,2750,2727,6180,2535,3293,2546,2789,1619,1120,4128,2254,2020,1113,569,709,1636,976,627,1406,552
MID_49,4330,7098,3785,5381,3994,6042,3939,8489,3922,3361,5830,4637,3223,473,501,3321,3439,3969,225,4002,4864,3748,3333,4219,4373,4104,5478,5279,4571,4131,3803,3597
MID_50,6206,4255,7404,7036,4816,4054,11937,4413,5840,3304,6204,3952,141530,346,555,52414,41197,91775,280,31663,19098,45154,86087,63430,3758,3938,5230,8944,3632,2353,5564,3249
MID_51,36129,61232,39877,50659,38398,33953,31180,56167,25098,34430,38700,40087,28472,18200,24643,15292,18266,12123,50570,17914,8712,15473,18734,14031,24486,19284,23981,37113,27875,20640,18965,20188
MID_52,496,1000,767,883,732,576,558,977,429,526,503,591,498,137,159,311,419,226,50,300,256,221,250,317,474,400,443,699,415,369,317,317
MID_53,47286,25809,47960,49620,38184,37194,45920,40455,38554,38857,36731,39879,1689,505,1030,1045,1248,935,424,972,2144,1293,652,640,36938,31343,26262,42000,36257,22128,26476,28821
MID_54,3356,4861,3431,4042,3093,4169,2906,5194,2738,2525,3702,3378,2005,2634,8855,2571,1962,1971,6242,1023,3315,1289,1233,2096,3316,2908,3928,4451,2985,2456,2844,2356
MID_55,202,145,250,378,402,504,141,231,174,298,314,328,179,148,146,270,215,191,99,168,247,339,306,288,233,244,374,288,294,231,338,485
MID_56,193,102,270,217,206,282,267,299,131,92,152,216,706,2068,1566,864,915,343,1408,977,1180,1371,862,1206,257,184,149,395,362,98,275,134
MID_57,200,25,128,182,116,188,327,1181,601,403,259,178,145,167,170,164,96,131,58,74,82,112,93,93,132,118,129,71,115,213,33,173
MID_58,2406,420,900,877,1135,801,232,188,127,118,187,140,318,124,704,190,729,65,1348,104,3314,121,73,1562,3389,4473,3037,6793,121,105,146,218
