MID	ftest_pval	ftest_fscore
MID_1	0.172408222	1.787589495
MID_2	1.47E-06	17.34080693
MID_3	0.104486936	2.249718115
MID_4	0.009272236	4.648139314
MID_5	0.100929413	2.281973786
MID_6	0.538010673	0.738449784
MID_7	0.039455353	3.176056824
MID_8	0.274898972	1.361256707
MID_9	0.695406959	0.485011866
MID_10	0.628141567	0.587687401
MID_11	0.908227853	0.181248252
MID_12	0.777760735	0.36642487
MID_13	0.251215021	1.443528525
MID_14	0.000103397	10.21203574
MID_15	0.976531863	0.067892246
MID_16	0.692391709	0.489479212
MID_17	0.000167818	9.527441133
MID_18	0.002860519	5.945369945
MID_19	0.07746383	2.529882918
MID_20	0.214497425	1.587794247
MID_21	0.473822605	0.858949795
MID_22	0.229813708	1.524813586
MID_23	0.001596935	6.626495713
MID_24	0.03585381	3.269582417
MID_25	0.000342693	8.559189961
MID_26	0.004332433	5.476098776
MID_27	0.006677875	5.000338345
MID_28	0.002524434	6.089194335
MID_29	0.250990036	1.444346499
MID_30	0.672112713	0.519824783
MID_31	1.07E-05	13.74446481
MID_32	0.466066923	0.87445525
MID_33	0.530200875	0.752436913
MID_34	0.527106325	0.758026605
MID_35	0.009168549	4.660085351
MID_36	0.047999344	2.986027623
MID_37	0.910878859	0.177296634
MID_38	0.221695888	1.557648992
MID_39	0.504072059	0.800525705
MID_40	0.462616667	0.881426847
MID_41	0.01349945	4.253906148
MID_42	0.191176373	1.692991327
MID_43	0.403776154	1.008191528
MID_44	0.383876068	1.054944976
MID_45	0.290750453	1.310023402
MID_46	0.210034647	1.606999865
MID_47	0.726938779	0.438904942
MID_48	0.482249381	0.842354533
MID_49	0.955327081	0.106956477
MID_50	0.898179556	0.19607547
MID_51	0.070155996	2.623459973
MID_52	0.160152667	1.855217025
MID_53	0.865853563	0.242611343
MID_54	0.009784962	4.591081405
MID_55	0.541990236	0.731386955
MID_56	0.797006365	0.339358348
MID_57	0.002143326	6.279334504
MID_58	1.54E-13	75.59104846
MID_59	0.000151253	9.672415444
MID_60	0.526301104	0.759485574
MID_61	2.56E-05	12.31798548
MID_62	0.006197457	5.081488124
MID_63	0.052886299	2.892750813
MID_64	0.467452233	0.871668992
MID_65	0.012767666	4.311820941
MID_66	0.644885299	0.561482153
MID_67	0.082181918	2.474246974
MID_68	0.238166187	1.49222264
MID_69	0.878713892	0.224264644
MID_70	0.110680144	2.19619453
MID_71	0.536051596	0.741942544
MID_72	0.037375986	3.22889694
MID_73	0.965253323	0.089439718
MID_74	0.307344638	1.259249798
MID_75	0.734536118	0.427944797
MID_76	0.008463714	4.745304306
MID_77	0.100288381	2.287911403
MID_78	0.444454326	0.918911175
MID_79	0.182238439	1.736802893
MID_80	0.005277052	5.25756357
MID_81	0.555118791	0.708383635
MID_82	0.34452585	1.154546669
MID_83	0.680306379	0.507498676
MID_84	0.444798208	0.918188756
MID_85	0.479247344	0.848237147
MID_86	0.022818611	3.717933528
MID_87	0.866460532	0.24174919
MID_88	0.841096173	0.277554927
MID_89	0.127973365	2.061742081
MID_90	9.10E-07	18.2812527
MID_91	0.949496876	0.116810565
MID_92	0.78300176	0.359040176
MID_93	0.055119247	2.853105918
MID_94	0.063510783	2.717871187
MID_95	0.027679136	3.524922319
MID_96	0.577347158	0.670413873
MID_97	1.00E-11	53.58712925
MID_98	0.001605395	6.620202047
MID_99	4.35E-10	38.65274505
MID_100	0.69694221	0.482741465
MID_101	0.766683515	0.38207659
MID_102	0.287803831	1.319335565
MID_103	0.313145037	1.242132287
MID_104	0.998007082	0.012649113
MID_105	0.028243569	3.504868689
MID_106	0.06258235	2.731880964
MID_107	0.005931119	5.12941439
MID_108	0.531527413	0.750049112
MID_109	0.251319954	1.443147268
MID_110	0.312744497	1.243304347
MID_239	0.022153068	3.747712197
