"MID"	"ftest_pval"	"ftest_fscore"	"padj_lim_ftest_fscore"
"MID_1"	0.172408222	1.787589495	0.390557400857143
"MID_2"	1.47e-06	17.34080693	3.2634e-05
"MID_3"	0.104486936	2.249718115	0.257734442133333
"MID_4"	0.009272236	4.648139314	0.0428840915
"MID_5"	0.100929413	2.281973786	0.254617382795455
"MID_6"	0.538010673	0.738449784	0.716201383285714
"MID_7"	0.039455353	3.176056824	0.128810123029412
"MID_8"	0.274898972	1.361256707	0.5085630982
"MID_9"	0.695406959	0.485011866	0.831834250645161
"MID_10"	0.628141567	0.587687401	0.801421999275862
"MID_11"	0.908227853	0.181248252	0.953844842915094
"MID_12"	0.777760735	0.36642487	0.886869340408163
"MID_13"	0.251215021	1.443528525	0.472822286338983
"MID_14"	0.000103397	10.21203574	0.001434633375
"MID_15"	0.976531863	0.067892246	0.985409425390909
"MID_16"	0.692391709	0.489479212	0.831834250645161
"MID_17"	0.000167818	9.527441133	0.0018627798
"MID_18"	0.002860519	5.945369945	0.0198448505625
"MID_19"	0.07746383	2.529882918	0.209719149512195
"MID_20"	0.214497425	1.587794247	0.449230456132076
"MID_21"	0.473822605	0.858949795	0.704337911723684
"MID_22"	0.229813708	1.524813586	0.463805847054545
"MID_23"	0.001596935	6.626495713	0.0137076034615385
"MID_24"	0.03585381	3.269582417	0.1243679034375
"MID_25"	0.000342693	8.559189961	0.00345808390909091
"MID_26"	0.004332433	5.476098776	0.028288239
"MID_27"	0.006677875	5.000338345	0.0352973392857143
"MID_28"	0.002524434	6.089194335	0.0186808116
"MID_29"	0.250990036	1.444346499	0.472822286338983
"MID_30"	0.672112713	0.519824783	0.831834250645161
"MID_31"	1.07e-05	13.74446481	0.00019795
"MID_32"	0.466066923	0.87445525	0.704337911723684
"MID_33"	0.530200875	0.752436913	0.716201383285714
"MID_34"	0.527106325	0.758026605	0.716201383285714
"MID_35"	0.009168549	4.660085351	0.0428840915
"MID_36"	0.047999344	2.986027623	0.152226490971429
"MID_37"	0.910878859	0.177296634	0.953844842915094
"MID_38"	0.221695888	1.557648992	0.455708214222222
"MID_39"	0.504072059	0.800525705	0.716201383285714
"MID_40"	0.462616667	0.881426847	0.704337911723684
"MID_41"	0.01349945	4.253906148	0.0554977388888889
"MID_42"	0.191176373	1.692991327	0.416089753
"MID_43"	0.403776154	1.008191528	0.659105192558823
"MID_44"	0.383876068	1.054944976	0.635973784298507
"MID_45"	0.290750453	1.310023402	0.52053710133871
"MID_46"	0.210034647	1.606999865	0.448343188788462
"MID_47"	0.726938779	0.438904942	0.858247464189474
"MID_48"	0.482249381	0.842354533	0.704337911723684
"MID_49"	0.955327081	0.106956477	0.981863944361111
"MID_50"	0.898179556	0.19607547	0.953844842915094
"MID_51"	0.070155996	2.623459973	0.1946828889
"MID_52"	0.160152667	1.855217025	0.3703530424375
"MID_53"	0.865853563	0.242611343	0.942912931882353
"MID_54"	0.009784962	4.591081405	0.04344523128
"MID_55"	0.541990236	0.731386955	0.716201383285714
"MID_56"	0.797006365	0.339358348	0.893613197121212
"MID_57"	0.002143326	6.279334504	0.0169935132857143
"MID_58"	1.54e-13	75.59104846	1.7094e-11
"MID_59"	0.000151253	9.672415444	0.0018627798
"MID_60"	0.526301104	0.759485574	0.716201383285714
"MID_61"	2.56e-05	12.31798548	0.000405942857142857
"MID_62"	0.006197457	5.081488124	0.03439588635
"MID_63"	0.052886299	2.892750813	0.163066088583333
"MID_64"	0.467452233	0.871668992	0.704337911723684
"MID_65"	0.012767666	4.311820941	0.0545081125384615
"MID_66"	0.644885299	0.561482153	0.813434865784091
"MID_67"	0.082181918	2.474246974	0.217195069
"MID_68"	0.238166187	1.49222264	0.472079406375
"MID_69"	0.878713892	0.224264644	0.946963514679612
"MID_70"	0.110680144	2.19619453	0.267075999652174
"MID_71"	0.536051596	0.741942544	0.716201383285714
"MID_72"	0.037375986	3.22889694	0.125719225636364
"MID_73"	0.965253323	0.089439718	0.982964393146789
"MID_74"	0.307344638	1.259249798	0.534755370876923
"MID_75"	0.734536118	0.427944797	0.858247464189474
"MID_76"	0.008463714	4.745304306	0.0427032842727273
"MID_77"	0.100288381	2.287911403	0.254617382795455
"MID_78"	0.444454326	0.918911175	0.704337911723684
"MID_79"	0.182238439	1.736802893	0.40456933458
"MID_80"	0.005277052	5.25756357	0.0325418206666667
"MID_81"	0.555118791	0.708383635	0.724919832952941
"MID_82"	0.34452585	1.154546669	0.579429838636364
"MID_83"	0.680306379	0.507498676	0.831834250645161
"MID_84"	0.444798208	0.918188756	0.704337911723684
"MID_85"	0.479247344	0.848237147	0.704337911723684
"MID_86"	0.022818611	3.717933528	0.0873402007241379
"MID_87"	0.866460532	0.24174919	0.942912931882353
"MID_88"	0.841096173	0.277554927	0.93361675203
"MID_89"	0.127973365	2.061742081	0.302234968404255
"MID_90"	9.1e-07	18.2812527	2.52525e-05
"MID_91"	0.949496876	0.116810565	0.981863944361111
"MID_92"	0.78300176	0.359040176	0.886869340408163
"MID_93"	0.055119247	2.853105918	0.165357741
"MID_94"	0.063510783	2.717871187	0.180761459307692
"MID_95"	0.027679136	3.524922319	0.101130198677419
"MID_96"	0.577347158	0.670413873	0.745180634162791
"MID_97"	1e-11	53.58712925	5.55e-10
"MID_98"	0.001605395	6.620202047	0.0137076034615385
"MID_99"	4.35e-10	38.65274505	1.6095e-08
"MID_100"	0.69694221	0.482741465	0.831834250645161
"MID_101"	0.766683515	0.38207659	0.88647781421875
"MID_102"	0.287803831	1.319335565	0.52053710133871
"MID_103"	0.313145037	1.242132287	0.534755370876923
"MID_104"	0.998007082	0.012649113	0.998007082
"MID_105"	0.028243569	3.504868689	0.101130198677419
"MID_106"	0.06258235	2.731880964	0.180761459307692
"MID_107"	0.005931119	5.12941439	0.03439588635
"MID_108"	0.531527413	0.750049112	0.716201383285714
"MID_109"	0.251319954	1.443147268	0.472822286338983
"MID_110"	0.312744497	1.243304347	0.534755370876923
"MID_239"	0.022153068	3.747712197	0.0873402007241379
