MID,2wayAnova_pval
MID_1,0.568802983
MID_2,0.131818926
MID_3,0.140377074
MID_4,0.649192187
MID_5,0.033360647
MID_6,0.772706079
MID_7,0.936598684
MID_8,0.732203872
MID_9,0.559262013
MID_10,0.609911465
MID_11,0.774999886
MID_12,0.733143905
MID_13,0.049845888
MID_14,0.68597034
MID_15,0.724575918
MID_16,0.677706461
MID_17,0.702475183
MID_18,0.904092634
MID_19,0.601053518
MID_20,0.041576582
MID_21,0.310252786
MID_22,0.497111812
MID_23,0.109805046
MID_24,0.722857448
MID_25,0.672326267
MID_26,0.707310268
MID_27,0.665422628
MID_28,0.533975759
MID_29,0.26649972
MID_30,0.799177303
MID_31,0.033160363
MID_32,0.125491146
MID_33,0.782073447
MID_34,0.978069576
MID_35,0.031935409
MID_36,0.810435999
MID_37,0.640685618
MID_38,0.621295582
MID_39,0.178185086
MID_40,0.943338057
MID_41,0.192956727
MID_42,0.063569612
MID_43,0.987640501
MID_44,0.307600062
MID_45,0.696263494
MID_46,0.541112642
MID_47,0.653469484
MID_48,0.317012428
MID_49,0.660455759
MID_50,0.534279699
MID_51,0.674773851
MID_52,0.48618098
MID_53,0.935658484
MID_54,0.114580365
MID_55,0.27036441
MID_56,0.944810381
MID_57,0.075734315
MID_58,0.000130018
MID_59,0.035858443
MID_60,0.561184953
MID_61,0.00709158
MID_62,0.218098926
MID_63,0.270130505
MID_64,0.387710579
MID_65,0.375229564
MID_66,0.977291338
MID_67,0.271414983
MID_68,0.075750444
MID_69,0.514152931
MID_70,0.702182829
MID_71,0.338733021
MID_72,0.445274076
MID_73,0.772934866
MID_74,0.475251137
MID_75,0.454583845
MID_76,0.355902873
MID_77,0.227500923
MID_78,0.438999931
MID_79,0.181739194
MID_80,0.229336471
MID_81,0.266769572
MID_82,0.600722005
MID_83,0.318213826
MID_84,0.228063586
MID_85,0.644966822
MID_86,0.128964947
MID_87,0.786883831
MID_88,0.994052146
MID_89,0.254089543
MID_90,0.003590085
MID_91,0.739500503
MID_92,0.883428051
MID_93,0.574297998
MID_94,0.141068096
MID_95,0.953337789
MID_96,0.253080367
MID_97,0.235671347
MID_98,0.632796618
MID_99,0.074835535
MID_100,0.255328352
MID_101,0.895053412
MID_102,0.648147732
MID_103,0.269669397
MID_104,0.988036161
MID_105,0.951152447
MID_106,0.783973009
MID_107,0.559040404
MID_108,0.258455411
MID_109,0.484937517
MID_110,0.1610452
MID_239,0.901776372
