SampleID,Genotype,Celltype,cohort,species,organ
C2_B6-1_Tfh_007,B6,Tfh,C2,mouse,cells
C2_B6-2_Tfh_008,B6,Tfh,C2,mouse,cells
C2_B6-4_Tfh_009,B6,Tfh,C2,mouse,cells
C2_B6-6_Tfh_010,B6,Tfh,C2,mouse,cells
C2_B6-7_Tfh_011,B6,Tfh,C2,mouse,cells
C2_B6-8_Tfh_012,B6,Tfh,C2,mouse,cells
C2_B6-1_Tn_001,B6,Tn,C2,mouse,cells
C2_B6-2_Tn_002,B6,Tn,C2,mouse,cells
C2_B6-4_Tn_003,B6,Tn,C2,mouse,cells
C2_B6-6_Tn_004,B6,Tn,C2,mouse,cells
C2_B6-7_Tn_005,B6,Tn,C2,mouse,cells
C2_B6-8_Tn_006,B6,Tn,C2,mouse,cells
C1_B6-1_Tfh_004,B6,Tfh,C1,mouse,spleen
C1_B6-1_Tn_001,B6,Tn,C1,mouse,spleen
C1_B6-2_Tfh_005,B6,Tfh,C1,mouse,spleen
C1_B6-2_Tn_002,B6,Tn,C1,mouse,spleen
C1_B6-3_Tfh_006,B6,Tfh,C1,mouse,spleen
C1_B6-3_Tn_003,B6,Tn,C1,mouse,spleen
C1_TC-1_Tfh_010,TC,Tfh,C1,mouse,spleen
C1_TC-1_Tn_007,TC,Tn,C1,mouse,spleen
C1_TC-2_Tfh_011,TC,Tfh,C1,mouse,spleen
C1_TC-2_Tn_008,TC,Tn,C1,mouse,spleen
C1_TC-2_Tn_009,TC,Tn,C1,mouse,spleen
C1_TC-3_Tfh_012,TC,Tfh,C1,mouse,spleen
C2_TC-1_Tfh_018,TC,Tfh,C2,mouse,cells
C2_TC-2_Tfh_019,TC,Tfh,C2,mouse,cells
C2_TC-3_Tfh_020,TC,Tfh,C2,mouse,cells
C2_TC-4_Tfh_021,TC,Tfh,C2,mouse,cells
C2_TC-1_Tn_013,TC,Tn,C2,mouse,cells
C2_TC-2_Tn_014,TC,Tn,C2,mouse,cells
C2_TC-3_Tn_015,TC,Tn,C2,mouse,cells
C2_TC-4_Tn_016,TC,Tn,C2,mouse,cells
