"","total","expected","hits","Raw p","Holm p","FDR"
"Methionine Metabolism",43,1.68,7,0.000922,0.0903,0.0903
"Oxidation of Branched Chain Fatty Acids",26,1.02,5,0.00253,0.246,0.124
"Carnitine Synthesis",22,0.859,4,0.00878,0.843,0.287
"Arginine and Proline Metabolism",53,2.07,6,0.0142,1,0.348
"Citric Acid Cycle",32,1.25,4,0.0325,1,0.552
"Mitochondrial Electron Transport Chain",19,0.742,3,0.0347,1,0.552
"Aspartate Metabolism",35,1.37,4,0.0435,1,0.552
"Homocysteine Degradation",9,0.352,2,0.045,1,0.552
"Warburg Effect",58,2.27,5,0.07,1,0.683
"Glycine and Serine Metabolism",59,2.3,5,0.0744,1,0.683
"Phosphatidylethanolamine Biosynthesis",12,0.469,2,0.0767,1,0.683
"Phospholipid Biosynthesis",29,1.13,3,0.0999,1,0.705
"Urea Cycle",29,1.13,3,0.0999,1,0.705
"Phosphatidylcholine Biosynthesis",14,0.547,2,0.101,1,0.705
"Ammonia Recycling",32,1.25,3,0.125,1,0.807
"Beta Oxidation of Very Long Chain Fatty Acids",17,0.664,2,0.14,1,0.807
"Alanine Metabolism",17,0.664,2,0.14,1,0.807
"Betaine Metabolism",21,0.82,2,0.196,1,1
"Valine, Leucine and Isoleucine Degradation",60,2.34,4,0.202,1,1
"Phytanic Acid Peroxisomal Oxidation",26,1.02,2,0.27,1,1
"Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",27,1.05,2,0.285,1,1
"Glutamate Metabolism",49,1.91,3,0.299,1,1
"Phenylalanine and Tyrosine Metabolism",28,1.09,2,0.3,1,1
"De Novo Triacylglycerol Biosynthesis",9,0.352,1,0.302,1,1
"Malate-Aspartate Shuttle",10,0.391,1,0.33,1,1
"Glycerol Phosphate Shuttle",11,0.43,1,0.356,1,1
"Cardiolipin Biosynthesis",11,0.43,1,0.356,1,1
"Beta-Alanine Metabolism",34,1.33,2,0.387,1,1
"Gluconeogenesis",35,1.37,2,0.401,1,1
"Ketone Body Metabolism",13,0.508,1,0.406,1,1
"Glucose-Alanine Cycle",13,0.508,1,0.406,1,1
"Pyrimidine Metabolism",59,2.3,3,0.409,1,1
"Sphingolipid Metabolism",40,1.56,2,0.47,1,1
"Spermidine and Spermine Biosynthesis",18,0.703,1,0.515,1,1
"Butyrate Metabolism",19,0.742,1,0.534,1,1
"Tyrosine Metabolism",72,2.81,3,0.544,1,1
"Pyruvate Metabolism",48,1.88,2,0.57,1,1
"Glutathione Metabolism",21,0.82,1,0.571,1,1
"Pantothenate and CoA Biosynthesis",21,0.82,1,0.571,1,1
"Transfer of Acetyl Groups into Mitochondria",22,0.859,1,0.588,1,1
"Glycerolipid Metabolism",25,0.977,1,0.635,1,1
"Cysteine Metabolism",26,1.02,1,0.65,1,1
"Selenoamino Acid Metabolism",28,1.09,1,0.677,1,1
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",28,1.09,1,0.677,1,1
"Lysine Degradation",30,1.17,1,0.703,1,1
"Purine Metabolism",74,2.89,2,0.801,1,1
"Porphyrin Metabolism",40,1.56,1,0.803,1,1
"Propanoate Metabolism",42,1.64,1,0.819,1,1
"Fatty acid Metabolism",43,1.68,1,0.826,1,1
"Tryptophan Metabolism",60,2.34,1,0.915,1,1
"Bile Acid Biosynthesis",65,2.54,1,0.931,1,1
