"","total","expected","hits","Raw p","Holm p","FDR"
"Beta-Alanine Metabolism",34,0.564,2,0.107,1,1
"Aspartate Metabolism",35,0.581,2,0.112,1,1
"Purine Metabolism",74,1.23,3,0.119,1,1
"Malate-Aspartate Shuttle",10,0.166,1,0.155,1,1
"Phosphatidylethanolamine Biosynthesis",12,0.199,1,0.183,1,1
"Thyroid hormone synthesis",13,0.216,1,0.197,1,1
"Phosphatidylcholine Biosynthesis",14,0.232,1,0.21,1,1
"Phosphatidylinositol Phosphate Metabolism",17,0.282,1,0.249,1,1
"Inositol Phosphate Metabolism",26,0.432,1,0.356,1,1
"Plasmalogen Synthesis",26,0.432,1,0.356,1,1
"Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",28,0.465,1,0.378,1,1
"Urea Cycle",29,0.481,1,0.389,1,1
"Lysine Degradation",30,0.498,1,0.399,1,1
"Ammonia Recycling",32,0.531,1,0.42,1,1
"Inositol Metabolism",33,0.548,1,0.43,1,1
"Retinol Metabolism",37,0.614,1,0.468,1,1
"Galactose Metabolism",38,0.631,1,0.477,1,1
"Glutamate Metabolism",49,0.813,1,0.568,1,1
"Arginine and Proline Metabolism",53,0.88,1,0.598,1,1
"Pyrimidine Metabolism",59,0.979,1,0.638,1,1
"Tyrosine Metabolism",72,1.2,1,0.713,1,1
