"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB00812","N-Acetyl-L-aspartic acid","HMDB0000812","65065","C01042","CC(=O)N[C@@H](CC(=O)O)C(=O)O","1"
"HMDB00425","3-Deoxy-D-glycero-D-galacto-2-nonulosonic acid","HMDB0000425","22833524",NA,"C([C@@H]([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O)C(=O)C(=O)O","1"
"HMDB03609","2-Aminoacrylic acid","HMDB0003609","123991","C02218","C=C(C(=O)O)N","1"
"HMDB00191","L-Aspartic acid","HMDB0000191","5960","C00049","C([C@@H](C(=O)O)N)C(=O)O","1"
"HMDB00300","Uracil","HMDB0000300","1174","C00106","C1=CNC(=O)NC1=O","1"
"HMDB00211","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"HMDB00133","Guanosine","HMDB0000133","6802","C00387","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N","1"
"HMDB00225","Oxoadipic acid","HMDB0000225","71","C00322","C(CC(=O)C(=O)O)CC(=O)O","1"
"HMDB00694","L-2-Hydroxyglutaric acid","HMDB0000694","439939","C03196","C(CC(=O)O)[C@@H](C(=O)O)O","1"
"HMDB03290","Gulonic acid","HMDB0003290","152304","C00800","C([C@H]([C@@H]([C@H]([C@H](C(=O)O)O)O)O)O)O","1"
"HMDB00195","Inosine","HMDB0000195","6021","C00294","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O","1"
"HMDB01241","2-Aminomuconic acid","HMDB0001241","5280499","C02220","C(=C\C(=O)O)\C=C(/C(=O)O)\N","1"
"HMDB00086","Glycerophosphocholine","HMDB0000086","71920","C00670","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"HMDB60256","NA","NA","NA","NA","NA","0"
"HMDB00848","Stearoylcarnitine","HMDB0000848","52922056",NA,"CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB01385","3-Keto-b-D-galactose","HMDB0001385","440653","C05394","C([C@@H]1[C@@H](C(=O)[C@H]([C@@H](O1)O)O)O)O","1"
"HMDB01564","CDP-Ethanolamine","HMDB0001564","123727","C00570","C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OCCN)O)O","1"
"HMDB02092","Itaconic acid","HMDB0002092","811","C00490","C=C(CC(=O)O)C(=O)O","1"
