"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB00190","L-Lactic acid","HMDB0000190","61503","C00256","C[C@@H](C(=O)O)O","1"
"HMDB06469","Linoleyl carnitine","HMDB0006469","6450015",NA,"CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB12880","Acetamidopropanal","HMDB0012880","5460495","C18170","CC(=O)NCCC=O","1"
"HMDB00162","L-Proline","HMDB0000162","145742","C00148","C1C[C@H](NC1)C(=O)O","1"
"HMDB00187","L-Serine","HMDB0000187","5951","C00065","C([C@@H](C(=O)O)N)O","1"
"HMDB05175","Homovanillin","HMDB0005175","151276","C05581","COC1=C(C=CC(=C1)CC=O)O","1"
"HMDB02250","Dodecanoylcarnitine","HMDB0002250","168381",NA,"CCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB00210","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)C(C(=O)NCCC(=O)O)O","1"
"HMDB00624","D-Leucic acid","HMDB0000624","439960","C03264","CC(C)C[C@H](C(=O)O)O","1"
"HMDB03976","D-Glucuronic acid 1-phosphate","HMDB0003976","440650","C05385","[C@@H]1([C@@H]([C@H](OC([C@@H]1O)OP(=O)(O)O)C(=O)O)O)O","1"
"HMDB00123","Glycine","HMDB0000123","750","C00037","C(C(=O)O)N","1"
"HMDB00208","Oxoglutaric acid","HMDB0000208","51","C00026","C(CC(=O)O)C(=O)C(=O)O","1"
"METPA0491","NA","NA","NA","NA","NA","0"
"HMDB00262","Thymine","HMDB0000262","1135","C00178","CC1=CNC(=O)NC1=O","1"
"HMDB06471","Methylisocitric acid","HMDB0006471","513","C04593","CC(C(CC(=O)O)C(=O)O)(C(=O)O)O","1"
"HMDB01565","Phosphorylcholine","HMDB0001565","8691","C00588","C[N+](C)(C)CCOP(=O)(O)O","1"
"HMDB00043","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(=O)[O-]","1"
"HMDB05066","Tetradecanoylcarnitine","HMDB0005066","53477791",NA,"CCCCCCCCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB01553","2-Oxo-4-methylthiobutanoic acid","HMDB0001553","473","C01180","CSCCC(=O)C(=O)O","1"
"HMDB00097","Choline","HMDB0000097","305","C00114","C[N+](C)(C)CCO","1"
"HMDB06317","trans-Hexadec-2-enoyl carnitine","HMDB0006317","53477817",NA,"CCCCCCCCCCCCC/C=C/C(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB01173","5'-Methylthioadenosine","HMDB0001173","439176","C00170","CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O","1"
"HMDB00019","Alpha-ketoisovaleric acid","HMDB0000019","49","C00141","CC(C)C(=O)C(=O)O","1"
"HMDB00273","Thymidine","HMDB0000273","5789","C00214","CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O","1"
"HMDB00126","Glycerol 3-phosphate","HMDB0000126","439162","C00093","C([C@H](COP(=O)(O)O)O)O","1"
"HMDB06210","Heptadecanoyl carnitine","HMDB0006210","53477803",NA,"CCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB00791","L-Octanoylcarnitine","HMDB0000791","11953814","C02838","CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB00099","L-Cystathionine","HMDB0000099","439258","C02291","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","1"
"HMDB02366","Tiglylcarnitine","HMDB0002366","91825636",NA,"C/C=C(\C)/C(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB00254","Succinic acid","HMDB0000254","1110","C00042","C(CC(=O)O)C(=O)O","1"
"HMDB00824","Propionylcarnitine","HMDB0000824","107738","C03017","CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB00156","L-Malic acid","HMDB0000156","222656","C00149","C([C@@H](C(=O)O)O)C(=O)O","1"
"HMDB02013","Butyrylcarnitine","HMDB0002013","439829","C02862","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"HMDB00491","3-Methyl-2-oxovaleric acid","HMDB0000491","47","C03465","CCC(C)C(=O)C(=O)O","1"
"HMDB00828","Ureidosuccinic acid","HMDB0000828","93072","C00438","C([C@@H](C(=O)O)NC(=O)N)C(=O)O","1"
"HMDB13336","3-Hydroxyhexadecanoylcarnitine","HMDB0013336","53481691",NA,"CCCCCCCCCCCCCC(CC(=O)O[C@@H](CCC(=O)[O-])[N+](C)(C)C)O","1"
"HMDB00134","Fumaric acid","HMDB0000134","444972","C00122","C(=C/C(=O)O)\C(=O)O","1"
"HMDB00062","L-Carnitine","HMDB0000062","2724480","C00318","C[N+](C)(C)C[C@H](CC(=O)[O-])O","1"
"HMDB13127","Hydroxybutyrylcarnitine","HMDB0013127","53481617",NA,"CC(CC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C)O","1"
"HMDB00052","Argininosuccinic acid","HMDB0000052","16950","C03406","C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O","1"
"HMDB00201","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
