metabolite,new_name,HMDB,KEGG,pathway,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells,ttest_pval_TactvsTfh,ttest_tscore__TactvsTfh,padj_lim_ttest_tscore__TactvsTfh,ttest_pval_Th17vsTfh,ttest_tscore__Th17vsTfh,padj_lim_ttest_tscore__Th17vsTfh,ttest_pval_Th1vsTfh,ttest_tscore__Th1vsTfh,padj_lim_ttest_tscore__Th1vsTfh,ftest_pval,ftest_fscore,padj_lim_ftest_fscore
Glycerol_3-phosphate,Glycerol_3-phosphate,HMDB00126,C00093,Glycerolipid metabolism,25.0176261,25.16150333,25.20865793,25.03100677,24.38682581,24.45464961,24.57728167,24.50980414,24.84456959,24.9505356,24.85006716,24.88783159,25.17971436,24.98419138,25.02232464,0.000340439,8.653883078,0.004072177,0.001410791,6.369358022,0.003510048,0.050068397,2.569455428,0.099186019,0.000358764,14.75375697,0.000684513
3-methyl-2-oxobutanoate,3-methyl-2-oxobutanoate,HMDB00019,C00141,Methionine Metabolism,23.52814356,23.63423255,23.3981834,23.49734998,23.03642403,22.95975406,23.10021824,22.97338177,23.11404221,23.02445347,23.01741957,23.14028273,23.08921449,22.95822917,23.05570927,0.000793972,7.221619719,0.006673653,0.633997314,0.506571253,0.675250564,0.997004553,0.003945474,0.997004553,5.40E-06,36.2052196,1.45E-05
N-Carbamoyl-L-aspartate,N-Carbamoyl-L-aspartate,HMDB00828,C00438,Pyrimidine metabolism,20.83065634,20.96190806,20.98049143,20.61386156,19.22157873,19.16485697,19.35760702,24.6301059,24.7365209,24.67474493,24.61993572,24.06771885,24.22235987,24.16508852,24.09568894,2.89E-05,14.42606901,0.000802549,6.82E-09,77.40494491,1.06E-06,2.50E-09,94.64354749,7.76E-07,2.11E-15,2059.092246,3.63E-13
(R)-2-hydroxy-4-methylpentanoate,(R)-2-hydroxy-4-methylpentanoate,HMDB00624,C03264,,20.77068497,20.38539819,20.52058182,20.17142099,19.68438906,19.86355451,19.67738823,19.39744241,20.08828161,19.41711721,19.17388387,18.57641787,18.85579741,18.79545965,18.6942887,0.00590762,4.587389276,0.030621162,9.02E-05,-11.41784884,0.000406675,0.394863282,-0.930411087,0.51597681,1.20E-05,30.77925704,3.03E-05
2-aminomuconate,2-aminomuconate,HMDB01241,C02220,Tryptophan metabolism,17.76020787,17.25297686,18.01253605,17.26375089,19.86282621,19.64935319,19.20409907,18.08963704,18.5709161,17.89334201,17.96322414,17.28243681,17.42341398,18.73159549,17.06979867,0.000779964,-7.249465563,0.006673653,0.009230419,-4.113705082,0.018520389,0.001931498,-5.939641347,0.011123995,0.000895875,11.87595015,0.001592098
2-oxoadipate,2-oxoadipate,HMDB00225,C00322,Tryptophan metabolism,17.08647181,17.40637619,17.35941481,16.4730899,19.02848508,19.15342184,19.11622206,18.34486695,18.80417037,18.65518892,18.62729824,17.7145845,17.23783352,17.65815038,17.44834324,0.000526955,-7.886740801,0.00499432,7.13E-05,-11.98599567,0.000341134,0.008661672,-4.179196965,0.031323023,2.43E-06,42.48253918,7.00E-06
L-cystathionine,L-cystathionine,HMDB00099,C02291,Methionine Metabolism,19.50072792,19.63179557,19.41006949,19.41927204,17.65817115,18.13041943,17.39358742,17.38718945,17.23801241,16.91785096,17.28707814,17.67819662,17.61800467,17.7318275,17.66567185,0.00024599,9.266898032,0.003194927,0.779236532,-0.295851714,0.805124789,0.061605443,-2.400201496,0.116824957,2.88E-08,100.0860516,1.66E-07
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,METPA0491,C04376,Purine metabolism,21.75279325,21.86285682,21.97374287,22.15785864,21.14827456,21.15939544,20.58353965,18.3409935,18.83064031,19.07774378,19.15167467,20.36032247,20.41568323,20.52356499,20.67028658,0.003626018,5.146332741,0.021277202,0.045892979,-2.641505149,0.069285031,0.000534375,-7.863207782,0.004887962,3.84E-08,94.80333796,2.13E-07
(4-hydroxy-3-methoxyphenyl)acetaldehyde,(4-hydroxy-3-methoxyphenyl)acetaldehyde,HMDB05175,C05581,Tyrosine metabolism,19.07890264,18.89754886,18.75509269,18.78612503,18.08947628,18.5106743,18.23028834,18.04328053,17.74614329,17.21089931,17.76700931,17.58524249,17.28786517,17.30787716,17.24299721,0.006619241,4.463455455,0.032675936,0.001157837,-6.6523195,0.003051587,0.052021702,-2.537978868,0.101753141,8.42E-06,33.09579172,2.20E-05
(R)-Pantothenate,(R)-Pantothenate,HMDB00210,C00864,Pantothenate and CoA biosynthesis,27.20775474,27.2275263,26.98914028,26.9935971,26.27818806,26.65396018,26.01384071,26.45142241,26.03927359,25.97404871,26.02970464,26.56583499,26.40513444,26.40039259,26.54211577,0.006136897,4.545646186,0.031288114,0.365383603,0.99508189,0.413215638,0.388000449,-0.945108006,0.513481445,0.000139863,18.25854354,0.000284297
