compound name,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
Hypotaurine,2674803.192,2964776.712,2754450.093,2469321.432,2565920.892,2356552.854,2444683.002,1449081.363,1723699.479,1605814.368,1517914.353,2131567.713,2125348.221,1986520.926,1992926.919
Taurine,1929885233,2120106722,1798183382,1784008702,1693858996,1609340686,1634454119,1329024596,1596267504,1431920814,1357356944,2048033305,2052520782,1959363792,2005084064
Glycerol 3-phosphate,33966897.16,37529021.2,38775926.78,34283398.01,21936435.99,22992334.33,25032198.56,23888354.44,30127332.1,32423479.94,30242355.07,31044440.38,38005749.79,33188759.68,34077700.29
L-erythrulose,4334233.152,4095879.495,3772027.77,4084871.016,3369244.557,4664181.201,2531894.805,2727410.028,1732715.574,1138225.464,1777138.278,672702.801,598641.168,475708.797,502953.555
L-threonate,199200525.7,207902576.1,184810700,181016555.3,251066996.8,289065698.7,224025181.2,208014148.4,165523949.5,143859370.9,151476045,91089096.94,90752774.13,90458892.3,93052920.78
D-Erythrose 4-phosphate,2965253.553,3165656.511,2570281.782,1842863.412,2720405.274,1878640.53,2968029.039,1275309.18,1401278.088,1513118.487,1361359.788,247768.497,159838.968,94028.502,194779.431
N-phosphocreatinate,27615716.93,28384527.05,24574066.57,24385092.27,48439749.35,26215198.42,23374292.9,30628470.4,40447149.29,42400594.41,36929856.05,28351400.69,25789870.96,33248748.45,24360620.56
3-methyl-2-oxobutanoate,12096979.79,13020058.12,11054905.85,11841512.06,8603093.172,8157830.277,8992047.564,8235254.283,9078623.919,8532005.502,8490508.713,9245261.739,8923724.184,8149212.189,8718867.168
beta-hydroxy-beta-methylbutyrate,7138782.549,8139422.868,6383644.878,6154363.374,5337970.701,5959942.881,4934064.567,4874105.352,5639226.906,4467586.527,4428778.053,2945034.894,3034609.767,2646840.843,2795468.097
Xanthine,62227503.74,60454626.08,53396729.52,50543891.89,35683580.99,46053665.52,29685353.82,27373328.61,17430125.58,18040131.62,19912559.1,2054909.838,1752347.889,2017765.161,1818346.089
