"","II_SC_1_Tcells","II_SC_2_Tcells","II_SC_3_Tcells","II_SC_4_Tcells","II_SC_6_Tfhcells","II_SC_7_Tfhcells","II_SC_8_Tfhcells","II_SC_9_Th1cells","II_SC_10_Th1cells","II_SC_11_Th1cells","II_SC_12_Th1cells","II_SC_13_Th17cells","II_SC_14_Th17cells","II_SC_15_Th17cells","II_SC_16_Th17cells"
"Hypotaurine",21.3510013134095,21.4994920236332,21.3933328927341,21.2356832138929,21.2910452617788,21.1682466085593,21.2212159747504,20.4667071709141,20.7170768368202,20.6148736963982,20.5336589595584,21.0234834551011,21.0192678037757,20.9218125601715,20.9264573765762
"Taurine",30.8458679094046,30.9814897430318,30.7438930109961,30.7324755064091,30.6576666376066,30.5838226206784,30.6061617335569,30.3077206585243,30.5720552939898,30.4153045669737,30.3381530099848,30.9315920305388,30.9347496835102,30.8677381393856,30.9010155775361
"Glycerol 3-phosphate",25.0176260997871,25.1615033277825,25.2086579276117,25.031006773931,24.3868258145095,24.4546496094043,24.5772816716706,24.5098041407342,24.8445695861809,24.9505356046275,24.850067155474,24.8878315895214,25.1797143608206,24.984191378685,25.0223246437847
"L-erythrulose",22.0473453319359,21.9657418397101,21.846908866624,21.9618590938359,21.6839937197684,22.153192406899,21.2717860343363,21.3791001749293,20.7246034242512,20.1183549297601,20.7611245102425,19.3596097397124,19.1913319694893,18.8597191788856,18.9400656556507
"L-threonate",27.5696462138532,27.6313323936957,27.4614730461021,27.4315464075509,27.9034971553615,28.1068221840627,27.7390856643753,27.6321064179092,27.3024647333829,27.1000839593949,27.1745144175346,26.4407750428058,26.4354384082833,26.430758993996,26.4715480990601
"D-Erythrose 4-phosphate",21.4997240413858,21.594073293921,21.2934951011983,20.8135177156413,21.3753901631659,20.8412576088338,21.5010737765849,20.2824156190585,20.4183118608292,20.5290935336893,20.3766169703076,17.9186332393523,17.286259647952,16.5208105135877,17.571481809141
"N-phosphocreatinate",24.7189862458276,24.7586013674835,24.5506332819816,24.539496095565,25.5296880640818,24.6439001297098,24.478419386641,24.8683699840888,25.2695346894846,25.3375811541497,25.1382843032415,24.756916676931,24.6203012188108,24.9867966998942,24.5380475489924
"3-methyl-2-oxobutanoate",23.5281435641186,23.6342325527495,23.398183402589,23.4973499767816,23.0364240316483,22.959754061613,23.1002182361292,22.9733817665933,23.1140422087254,23.0244534653479,23.0174195654741,23.1402827331085,23.0892144925292,22.95822916536,23.0557092688588
"beta-hydroxy-beta-methylbutyrate",22.7672466267324,22.9564950720476,22.6059489660288,22.5531781970046,22.3478599561757,22.5068670735531,22.2343451641436,22.2167060040468,22.427065963273,22.0910642405864,22.0784772680919,21.4898532971329,21.5330795756204,21.3358400161719,21.4146584497725
"Xanthine",25.8910490378005,25.8493494051304,25.6702480456418,25.5910334205842,25.0887570669495,25.4568126526035,24.8232479729158,24.7062675419964,24.0550796279947,24.1047065286822,24.2471753078529,20.9706436643874,20.7408577871352,20.9443268444742,20.7941953856684
"(S)-dihydroorotate",20.2136702239237,20.2296135493215,19.7120136378299,19.3425333044525,9.96578428466209,18.5686397835305,17.3109566054872,22.0380008535156,20.7892201299143,20.8114356269523,20.8887835240779,19.1909628529528,19.3681557650262,16.5806639445989,18.9617377925725
"N-Carbamoyl-L-aspartate",20.8306563412561,20.9619080564775,20.9804914294822,20.6138615575035,19.2215787316674,19.1648569694121,19.3576070165406,24.630105903488,24.7365208999219,24.6747449280062,24.6199357151669,24.0677188524931,24.2223598715328,24.1650885158869,24.0956889378255
"5-Phospho-beta-D-ribosylamine",18.7009250640338,18.9725313807367,18.9807928830598,19.1033383095394,18.4031436824691,18.5908573983344,18.6107152316682,17.691179672262,16.8733057410628,16.8087699905994,17.4736919341884,19.5989740707993,19.6121907685091,19.2102019349909,19.5210849211339
"(R)-2-hydroxy-4-methylpentanoate",20.7706849695389,20.3853981909969,20.5205818151421,20.1714209864353,19.684389057381,19.8635545053353,19.6773882273356,19.397442412981,20.0882816121037,19.4171172125207,19.173883872161,18.5764178703987,18.8557974135926,18.7954596510118,18.6942887049562
"4-nitrophenolate",20.9442837981824,20.398229013866,21.4049237386129,20.3186612777927,20.4701014031668,20.3841533279388,21.2873067550332,20.3790240214986,20.6741598652231,21.0437288356559,20.2540973962162,20.4142666411791,20.4233823838032,20.277256639404,20.2346619780575
"2-methylglutaconic acid",22.855186119598,22.7323234490305,22.6967874526787,22.6788337014607,22.4379301104353,22.9710412106393,22.0445016116401,22.4327746937285,21.5602209725857,20.8502155530591,21.6255653555773,18.2301235419973,18.7162872729507,18.5834133851923,18.369788302627
"adipic acid",22.9890247100156,22.7373404432216,23.0627541210205,22.7063582091732,22.4397723282321,22.2760503856641,22.7021579641239,22.0557314331506,22.8332904442686,22.1311117126201,22.0059826177216,21.7695869306929,22.1541478187002,21.8630874962115,21.5742831657818
"lysine",26.093574833539,18.0890742250339,26.1271017587799,25.9251093836794,25.5195882203165,25.8587831563064,25.4816906323872,25.1142723380475,24.6748275957169,24.1383035762342,24.6294267872948,25.3418924987497,25.3454034267304,25.1571684716087,25.5525303251796
