,II_SC_1_Tcells,II_SC_2_Tcells,II_SC_3_Tcells,II_SC_4_Tcells,II_SC_6_Tfhcells,II_SC_7_Tfhcells,II_SC_8_Tfhcells,II_SC_9_Th1cells,II_SC_10_Th1cells,II_SC_11_Th1cells,II_SC_12_Th1cells,II_SC_13_Th17cells,II_SC_14_Th17cells,II_SC_15_Th17cells,II_SC_16_Th17cells
Hypotaurine,21.35100131,21.49949202,21.39333289,21.23568321,21.29104526,21.16824661,21.22121597,20.46670717,20.71707684,20.6148737,20.53365896,21.02348346,21.0192678,20.92181256,20.92645738
Taurine,30.84586791,30.98148974,30.74389301,30.73247551,30.65766664,30.58382262,30.60616173,30.30772066,30.57205529,30.41530457,30.33815301,30.93159203,30.93474968,30.86773814,30.90101558
Glycerol_3-phosphate,25.0176261,25.16150333,25.20865793,25.03100677,24.38682581,24.45464961,24.57728167,24.50980414,24.84456959,24.9505356,24.85006716,24.88783159,25.17971436,24.98419138,25.02232464
L-erythrulose,22.04734533,21.96574184,21.84690887,21.96185909,21.68399372,22.15319241,21.27178603,21.37910017,20.72460342,20.11835493,20.76112451,19.35960974,19.19133197,18.85971918,18.94006566
L-threonate,27.56964621,27.63133239,27.46147305,27.43154641,27.90349716,28.10682218,27.73908566,27.63210642,27.30246473,27.10008396,27.17451442,26.44077504,26.43543841,26.43075899,26.4715481
D-Erythrose_4-phosphate,21.49972404,21.59407329,21.2934951,20.81351772,21.37539016,20.84125761,21.50107378,20.28241562,20.41831186,20.52909353,20.37661697,17.91863324,17.28625965,16.52081051,17.57148181
N-phosphocreatinate,24.71898625,24.75860137,24.55063328,24.5394961,25.52968806,24.64390013,24.47841939,24.86836998,25.26953469,25.33758115,25.1382843,24.75691668,24.62030122,24.9867967,24.53804755
3-methyl-2-oxobutanoate,23.52814356,23.63423255,23.3981834,23.49734998,23.03642403,22.95975406,23.10021824,22.97338177,23.11404221,23.02445347,23.01741957,23.14028273,23.08921449,22.95822917,23.05570927
beta-hydroxy-beta-methylbutyrate,22.76724663,22.95649507,22.60594897,22.5531782,22.34785996,22.50686707,22.23434516,22.216706,22.42706596,22.09106424,22.07847727,21.4898533,21.53307958,21.33584002,21.41465845
Xanthine,25.89104904,25.84934941,25.67024805,25.59103342,25.08875707,25.45681265,24.82324797,24.70626754,24.05507963,24.10470653,24.24717531,20.97064366,20.74085779,20.94432684,20.79419539
(S)-dihydroorotate,20.21367022,20.22961355,19.71201364,19.3425333,9.965784285,18.56863978,17.31095661,22.03800085,20.78922013,20.81143563,20.88878352,19.19096285,19.36815577,16.58066394,18.96173779
N-Carbamoyl-L-aspartate,20.83065634,20.96190806,20.98049143,20.61386156,19.22157873,19.16485697,19.35760702,24.6301059,24.7365209,24.67474493,24.61993572,24.06771885,24.22235987,24.16508852,24.09568894
5-Phospho-beta-D-ribosylamine,18.70092506,18.97253138,18.98079288,19.10333831,18.40314368,18.5908574,18.61071523,17.69117967,16.87330574,16.80876999,17.47369193,19.59897407,19.61219077,19.21020193,19.52108492
(R)-2-hydroxy-4-methylpentanoate,20.77068497,20.38539819,20.52058182,20.17142099,19.68438906,19.86355451,19.67738823,19.39744241,20.08828161,19.41711721,19.17388387,18.57641787,18.85579741,18.79545965,18.6942887
4-nitrophenolate,20.9442838,20.39822901,21.40492374,20.31866128,20.4701014,20.38415333,21.28730676,20.37902402,20.67415987,21.04372884,20.2540974,20.41426664,20.42338238,20.27725664,20.23466198
2-methylglutaconic_acid,22.85518612,22.73232345,22.69678745,22.6788337,22.43793011,22.97104121,22.04450161,22.43277469,21.56022097,20.85021555,21.62556536,18.23012354,18.71628727,18.58341339,18.3697883
adipic_acid,22.98902471,22.73734044,23.06275412,22.70635821,22.43977233,22.27605039,22.70215796,22.05573143,22.83329044,22.13111171,22.00598262,21.76958693,22.15414782,21.8630875,21.57428317
lysine,26.09357483,18.08907423,26.12710176,25.92510938,25.51958822,25.85878316,25.48169063,25.11427234,24.6748276,24.13830358,24.62942679,25.3418925,25.34540343,25.15716847,25.55253033
