"","II_SC_1_Tcells","II_SC_2_Tcells","II_SC_3_Tcells","II_SC_4_Tcells","II_SC_6_Tfhcells","II_SC_7_Tfhcells","II_SC_8_Tfhcells","II_SC_9_Th1cells","II_SC_10_Th1cells","II_SC_11_Th1cells","II_SC_12_Th1cells","II_SC_13_Th17cells","II_SC_14_Th17cells","II_SC_15_Th17cells","II_SC_16_Th17cells"
"Hypotaurine",1.00169146988967,1.45873396893454,1.13198467660866,0.646751606589077,0.817151550665873,0.439187142910922,0.602222604592821,-1.72009499182285,-0.949477236554601,-1.26405030741105,-1.51402275503826,-0.00638223531133719,-0.0193576720506978,-0.319317097221353,-0.305020724781484
"Taurine",0.682805982203188,1.29517794513633,0.222359702735023,0.170806353921119,-0.166977412956008,-0.500404593431345,-0.399537011584466,-1.74708513160171,-0.553537490620852,-1.26131254296142,-1.6096742273089,1.06987528310958,1.0841330032466,0.78155642160585,0.931813718506927
"Glycerol 3-phosphate",0.545838883102561,1.08183206270197,1.25749949977522,0.595686591315203,-1.80411360978832,-1.55144616557463,-1.09459868602049,-1.34597617544001,-0.0988573782203095,0.295903237813239,-0.0783770027881632,0.062308770512046,1.14967455339952,0.421282810385606,0.563342608826645
"L-erythrulose",1.00680280435549,0.939990672741716,0.842697235643294,0.936811709179064,0.709311911845281,1.09346415315901,0.371820544991952,0.459683040698346,-0.0761803378697346,-0.572540886907251,-0.0462790243674276,-1.19375674564152,-1.33153266950394,-1.60303768486908,-1.53725472345518
"L-threonate",0.554411017887416,0.663243430199883,0.363562000751143,0.310762682099197,1.14342144793677,1.50214609928563,0.85335162643698,0.664609034660288,0.0830249615773018,-0.274033749061113,-0.142716712902479,-1.43724696853284,-1.44666234828556,-1.45491819986189,-1.38295432219076
"D-Erythrose 4-phosphate",0.869085639481201,0.923331898207834,0.750513969375417,0.474550178033782,0.797599670645493,0.490499275485348,0.869861671965356,0.169192149566623,0.247325918441216,0.31102002440031,0.223353372204363,-1.18986843753433,-1.5534526793724,-1.99354892464283,-1.38946372625739
"N-phosphocreatinate",-0.393563902931334,-0.273679422196379,-0.903038739994849,-0.936742430772219,2.0598064882175,-0.620791781199372,-1.12157461677338,0.0585056892625645,1.27252246834377,1.47844674021875,0.875328575120224,-0.278777683760237,-0.692207519957188,0.416892202695725,-0.941126066273534
"3-methyl-2-oxobutanoate",1.58441148625286,2.05174706598107,1.0119203331764,1.44876179088134,-0.581676019493613,-0.919417055170806,-0.300654379838766,-0.85938526969064,-0.239758010377883,-0.634407896890589,-0.665393126532898,-0.124165140342708,-0.349127279437927,-0.926134418429948,-0.496722080085854
"beta-hydroxy-beta-methylbutyrate",1.16395738076177,1.53313636127779,0.849303773758307,0.746360477833456,0.345833124996682,0.656018423430235,0.124392599416083,0.0899827677744767,0.500345321396559,-0.155114612377185,-0.179668820289389,-1.32793504326462,-1.24361079216213,-1.6283785473391,-1.47462241521293
"Xanthine",0.979195675550426,0.958385611466336,0.869005669010171,0.829473871766676,0.578814514891014,0.762491440406055,0.446313077637344,0.38793437959771,0.0629611998975323,0.0877273409273613,0.158825915055647,-1.47631638975447,-1.59099027355241,-1.4894497118922,-1.56437232100719
"(S)-dihydroorotate",0.450315852501555,0.455915272569489,0.274130151884393,0.144365780788891,-3.14882151378485,-0.127431651889992,-0.569139780559094,1.09103497997247,0.652453462647782,0.660255718251916,0.687420902212645,0.0911330575862096,0.153364588524813,-0.825624251571582,0.0106274308653547
"N-Carbamoyl-L-aspartate",-0.701219013625947,-0.643415267459695,-0.635231080500608,-0.796696247040093,-1.40986280962929,-1.43484328582329,-1.34995544432761,0.972072780665763,1.01893834300735,0.991731973979991,0.967593791700284,0.724395420502884,0.792499903529086,0.767277384350821,0.736713550670362
"5-Phospho-beta-D-ribosylamine",0.169629907438452,0.462194559614271,0.471093555716293,0.603095125153095,-0.151129592485902,0.051068937568353,0.0724590884778662,-0.918031870520161,-1.79901654388746,-1.86853215610305,-1.15230191701409,1.13697631709,1.15121287320289,0.718204816967391,1.05307689878207
"(R)-2-hydroxy-4-methylpentanoate",1.67198710218715,1.11944678791751,1.31331381458252,0.812581776088089,0.114128597503986,0.371070019925912,0.104088697230117,-0.297381991245951,0.693351481720811,-0.269166333387214,-0.617987610960771,-1.4748144494743,-1.07415585127101,-1.16068632196322,-1.30577571885363
"4-nitrophenolate",0.905640807251865,-0.505682319429247,2.09620230341487,-0.711331622911566,-0.319922267318248,-0.5420620777309,1.79221161642842,-0.555319188575604,0.207483471019179,1.16266461740994,-0.878202240722113,-0.464231763598294,-0.440671383299755,-0.818345287818823,-0.928434664119742
"2-methylglutaconic acid",0.878031433710952,0.81072815102204,0.791261789131576,0.781426854012795,0.649461608485747,0.941496014997339,0.433944321176489,0.646637508485347,0.168658888257923,-0.220276947503406,0.204454068846955,-1.65554440894527,-1.3892274318984,-1.46201478698736,-1.57903706279272
"adipic acid",1.36605645351902,0.825165949142982,1.52450711399836,0.758582541230333,0.185667223802942,-0.1661849011673,0.749555863908839,-0.639668726225653,1.03137051298907,-0.477670211572201,-0.746583084490009,-1.25461715439046,-0.428163696146229,-1.05367663201689,-1.67434125258285
"lysine",0.625181551277874,-3.46441265712854,0.642310854653162,0.539110556751347,0.331924989257847,0.505223701268845,0.312562662525836,0.124844302307668,-0.0996732236501999,-0.37378970262409,-0.122869034639695,0.241138139544052,0.242931914251351,0.146760445232092,0.348755500972447
"2-aminomuconate",-0.420957049724851,-0.990148297017261,-0.137806001934332,-0.97805818001507,1.93850426834939,1.69895469819111,1.1993110621023,-0.0512868264141027,0.488782331057027,-0.271560059801764,-0.193141551950279,-0.9570896990526,-0.798891616617394,0.66908933265018,-1.19570240982234
"2-oxoadipate",-1.07735904353707,-0.703194046822663,-0.758120780861701,-1.79477979975437,1.19404902629698,1.34017695278349,1.29666752955207,0.394478929783868,0.931687149802587,0.757436196672915,0.724814836682713,-0.342708951928685,-0.90032410270093,-0.408715150023807,-0.654108745945374
"erythro-5-hydroxy-L-lysinium",1.01379583263597,0.0992495044423895,1.39034511694359,1.13090912743147,0.101493102329151,0.629290532521274,0.246427208822607,-0.354930352478326,-1.39518407399439,-2.46303971636988,-0.833952109716472,-0.215911862989012,0.254287121715148,-0.160967154723877,0.558187723430385
"arginine",1.0396886597022,-2.94342146484079,1.05267078801658,0.741282741668861,0.0641061354177273,0.611797967243397,0.171869110561395,0.192448026443161,-0.403442303628145,-1.15256881221921,-0.448262501655137,0.301052697142718,0.253743676956295,-0.0327860351772217,0.551821314368184
"L-Fucose 1-phosphate",-0.246795695488233,0.801103833322917,0.465077487336144,-0.0442426564717682,2.10179320102166,1.54452111903704,0.870910414496015,-0.606080903182406,-0.245735780522383,-0.180263878832078,-0.00452578108269075,-1.1776067578871,-1.25655972862676,-0.855642148418218,-1.16595272470213
"D-Glucosamine 6-phosphate",0.821292911446669,0.949563218914908,0.43791962070667,-0.976036892751462,1.09355769793001,0.539434475128498,1.16402820770156,0.387946094263572,0.530354561893308,0.522562896760218,0.0531816433024354,-1.25523192944932,-1.21337234385614,-1.61386803161073,-1.44133213038018
