"","II_SC_1_Tcells","II_SC_2_Tcells","II_SC_3_Tcells","II_SC_4_Tcells","II_SC_6_Tfhcells","II_SC_7_Tfhcells","II_SC_8_Tfhcells","II_SC_9_Th1cells","II_SC_10_Th1cells","II_SC_11_Th1cells","II_SC_12_Th1cells","II_SC_13_Th17cells","II_SC_14_Th17cells","II_SC_15_Th17cells","II_SC_16_Th17cells","Tact_geoMean","Tfh_geoMean","Th1_geoMean","Th17_geoMean","log2FC_TfhvsTact","log2FC_Th1vsTact","log2FC_Th17vsTact"
"Hypotaurine",21.3510013134095,21.4994920236332,21.3933328927341,21.2356832138929,21.2910452617788,21.1682466085593,21.2212159747504,20.4667071709141,20.7170768368202,20.6148736963982,20.5336589595584,21.0234834551011,21.0192678037757,20.9218125601715,20.9264573765762,21.3698773609174,21.2268359483628,20.5830791659227,20.9727552989061,-0.143041412554602,-0.786798194994706,-0.397122062011306
"Taurine",30.8458679094046,30.9814897430318,30.7438930109961,30.7324755064091,30.6576666376066,30.5838226206784,30.6061617335569,30.3077206585243,30.5720552939898,30.4153045669737,30.3381530099848,30.9315920305388,30.9347496835102,30.8677381393856,30.9010155775361,30.8259315424604,30.6158836639473,30.4083083823681,30.9087738577427,-0.210047878513087,-0.417623160092237,0.0828423152822992
"Glycerol 3-phosphate",25.0176260997871,25.1615033277825,25.2086579276117,25.031006773931,24.3868258145095,24.4546496094043,24.5772816716706,24.5098041407342,24.8445695861809,24.9505356046275,24.850067155474,24.8878315895214,25.1797143608206,24.984191378685,25.0223246437847,25.1046985322781,24.4729190318615,24.7887441217542,25.0185154932029,-0.631779500416577,-0.315954410523908,-0.0861830390751308
"L-erythrulose",22.0473453319359,21.9657418397101,21.846908866624,21.9618590938359,21.6839937197684,22.153192406899,21.2717860343363,21.3791001749293,20.7246034242512,20.1183549297601,20.7611245102425,19.3596097397124,19.1913319694893,18.8597191788856,18.9400656556507,21.9554637830265,21.7029907203346,20.7457957597958,19.0876816359345,-0.252473062691898,-1.2096680232307,-2.86778214709196
"L-threonate",27.5696462138532,27.6313323936957,27.4614730461021,27.4315464075509,27.9034971553615,28.1068221840627,27.7390856643753,27.6321064179092,27.3024647333829,27.1000839593949,27.1745144175346,26.4407750428058,26.4354384082833,26.430758993996,26.4715480990601,27.5234995153005,27.9164683345998,27.3022923820554,26.4446301360363,0.392968819299348,-0.22120713324507,-1.07886937926421
"D-Erythrose 4-phosphate",21.4997240413858,21.594073293921,21.2934951011983,20.8135177156413,21.3753901631659,20.8412576088338,21.5010737765849,20.2824156190585,20.4183118608292,20.5290935336893,20.3766169703076,17.9186332393523,17.286259647952,16.5208105135877,17.571481809141,21.3002025380366,21.2392405161949,20.4016094959712,17.3242963025082,-0.0609620218417533,-0.898593042065446,-3.97590623552836
"N-phosphocreatinate",24.7189862458276,24.7586013674835,24.5506332819816,24.539496095565,25.5296880640818,24.6439001297098,24.478419386641,24.8683699840888,25.2695346894846,25.3375811541497,25.1382843032415,24.756916676931,24.6203012188108,24.9867966998942,24.5380475489924,24.6419292477144,24.8840025268108,25.1534425327412,24.7255155361571,0.242073279096413,0.511513285026734,0.0835862884426675
"3-methyl-2-oxobutanoate",23.5281435641186,23.6342325527495,23.398183402589,23.4973499767816,23.0364240316483,22.959754061613,23.1002182361292,22.9733817665933,23.1140422087254,23.0244534653479,23.0174195654741,23.1402827331085,23.0892144925292,22.95822916536,23.0557092688588,23.5144773740597,23.0321321097968,23.0323242515352,23.0608589149641,-0.482345264262857,-0.482153122524508,-0.453618459095544
"beta-hydroxy-beta-methylbutyrate",22.7672466267324,22.9564950720476,22.6059489660288,22.5531781970046,22.3478599561757,22.5068670735531,22.2343451641436,22.2167060040468,22.427065963273,22.0910642405864,22.0784772680919,21.4898532971329,21.5330795756204,21.3358400161719,21.4146584497725,22.7207172154533,22.3630240646241,22.2033283689995,21.4433578346744,-0.357693150829192,-0.51738884645383,-1.27735938077895
"Xanthine",25.8910490378005,25.8493494051304,25.6702480456418,25.5910334205842,25.0887570669495,25.4568126526035,24.8232479729158,24.7062675419964,24.0550796279947,24.1047065286822,24.2471753078529,20.9706436643874,20.7408577871352,20.9443268444742,20.7941953856684,25.7504199772892,25.1229392308229,24.2783072516316,20.8625059204163,-0.627480746466283,-1.47211272565763,-4.88791405687292
"(S)-dihydroorotate",20.2136702239237,20.2296135493215,19.7120136378299,19.3425333044525,9.96578428466209,18.5686397835305,17.3109566054872,22.0380008535156,20.7892201299143,20.8114356269523,20.8887835240779,19.1909628529528,19.3681557650262,16.5806639445989,18.9617377925725,19.8744576788819,15.2817935578932,21.131860033615,18.5253800887876,-4.59266412098865,1.25740235473312,-1.3490775900943
"N-Carbamoyl-L-aspartate",20.8306563412561,20.9619080564775,20.9804914294822,20.6138615575035,19.2215787316674,19.1648569694121,19.3576070165406,24.630105903488,24.7365208999219,24.6747449280062,24.6199357151669,24.0677188524931,24.2223598715328,24.1650885158869,24.0956889378255,20.8467293461798,19.2480142392067,24.6653268616457,24.1377140444346,-1.5987151069731,3.81859751546591,3.29098469825474
"5-Phospho-beta-D-ribosylamine",18.7009250640338,18.9725313807367,18.9807928830598,19.1033383095394,18.4031436824691,18.5908573983344,18.6107152316682,17.691179672262,16.8733057410628,16.8087699905994,17.4736919341884,19.5989740707993,19.6121907685091,19.2102019349909,19.5210849211339,18.9393969093424,18.5349054374906,17.2117368345282,19.4856129238583,-0.404491471851845,-1.72766007481424,0.54621601451591
"(R)-2-hydroxy-4-methylpentanoate",20.7706849695389,20.3853981909969,20.5205818151421,20.1714209864353,19.684389057381,19.8635545053353,19.6773882273356,19.397442412981,20.0882816121037,19.4171172125207,19.173883872161,18.5764178703987,18.8557974135926,18.7954596510118,18.6942887049562,20.4620214905283,19.7417772633506,19.5191812774416,18.7304909099898,-0.720244227177698,-0.942840213086725,-1.7315305805385
"4-nitrophenolate",20.9442837981824,20.398229013866,21.4049237386129,20.3186612777927,20.4701014031668,20.3841533279388,21.2873067550332,20.3790240214986,20.6741598652231,21.0437288356559,20.2540973962162,20.4142666411791,20.4233823838032,20.277256639404,20.2346619780575,20.7665244571135,20.7138538287129,20.5877525296484,20.3373919106109,-0.0526706284005662,-0.178771927465068,-0.429132546502558
"2-methylglutaconic acid",22.855186119598,22.7323234490305,22.6967874526787,22.6788337014607,22.4379301104353,22.9710412106393,22.0445016116401,22.4327746937285,21.5602209725857,20.8502155530591,21.6255653555773,18.2301235419973,18.7162872729507,18.5834133851923,18.369788302627,22.740782680692,22.4844909775716,21.6171941437377,18.4749031256918,-0.256291703120429,-1.12358853695432,-4.26587955500014
"adipic acid",22.9890247100156,22.7373404432216,23.0627541210205,22.7063582091732,22.4397723282321,22.2760503856641,22.7021579641239,22.0557314331506,22.8332904442686,22.1311117126201,22.0059826177216,21.7695869306929,22.1541478187002,21.8630874962115,21.5742831657818,22.8738693708578,22.4726602260067,22.2565290519402,21.8402763528466,-0.401209144851041,-0.617340318917517,-1.03359301801116
"lysine",26.093574833539,18.0890742250339,26.1271017587799,25.9251093836794,25.5195882203165,25.8587831563064,25.4816906323872,25.1142723380475,24.6748275957169,24.1383035762342,24.6294267872948,25.3418924987497,25.3454034267304,25.1571684716087,25.5525303251796,24.058715050258,25.62002066967,24.6392075743234,25.3492486805671,1.561305619412,0.58049252406532,1.29053363030906
"2-aminomuconate",17.7602078713596,17.2529768587345,18.0125360534598,17.2637508864781,19.8628262080076,19.6493531941071,19.2040990748799,18.089637044066,18.570916099102,17.8933420100912,17.9632241443216,17.2824368095003,17.4234139835708,18.7315954901442,17.069798671643,17.572367917508,19.5720928256649,18.1292798243952,17.6268112387146,1.99972490815689,0.556911906887194,0.0544433212065876
"2-oxoadipate",17.0864718083574,17.4063761873885,17.3594148123287,16.4730898951985,19.0284850765339,19.153421839706,19.1162220611509,18.3448669469307,18.8041703653279,18.6551889174479,18.6272982381956,17.7145844950728,17.2378335159257,17.6581503764373,17.4483432415881,17.0813381758183,19.0993763257969,18.6078811169755,17.514727907256,2.01803814997864,1.52654294115724,0.433389731437725
"erythro-5-hydroxy-L-lysinium",18.0657816481829,17.4143297698274,18.3340061557813,18.149204076903,17.4159279349641,17.7918898919368,17.5191677523492,17.0908072627865,16.3498111864188,15.5891536422438,16.7495893125244,17.189833253392,17.5247665447337,17.2289716024308,17.7412417649796,17.9908304126736,17.57566185975,16.4448403509934,17.421203291384,-0.415168552923596,-1.54599006168025,-0.569627121289617
"arginine",27.9680241630021,25.1999230049716,27.9770462194597,27.7606440651781,27.2900335901112,27.6706573606113,27.3649245187978,27.3792260367329,26.9651062506477,26.444493490492,26.9339580176884,27.4547019099402,27.4218240457917,27.2226974328769,27.6289760018018,27.2264093631529,27.4418718231735,26.9306959488902,27.4320498476027,0.215462460020571,-0.29571341426265,0.205640484449777
"L-Fucose 1-phosphate",19.9743161033601,20.4311972107969,20.2846907138844,20.0626286316475,20.9982939432668,20.7553249572519,20.4616326745373,19.8176688112641,19.9747782231627,20.0033237794186,20.0799450723108,19.568485222335,19.5340619596889,19.7088608435517,19.5735663464707,20.1882081649222,20.7384171916853,19.968928971539,19.5962435930116,0.550209026763081,-0.219279193383205,-0.591964571910665
"D-Glucosamine 6-phosphate",22.4943213179728,22.5677068523398,22.274987207388,21.4660396312897,22.6500884416334,22.3330655108159,22.6904057693048,22.2463965380849,22.3278707444049,22.3234130057381,22.0548723373112,21.3063075984827,21.3302561499267,21.1011260368269,21.1998366391417,22.2007637522476,22.5578532405847,22.2381381563848,21.2343816060945,0.357089488337127,0.0373744041371822,-0.96638214615308
"6-Phosphogluconic acid",23.0306955191794,22.9651635751418,22.0689400227251,23.2024308744793,20.9416103771201,23.2190803168259,21.7801016115669,21.1608560498408,20.924091388993,21.4968183896438,21.5926822345689,19.8403867898601,19.4677148298069,19.866280922952,19.5038576296057,22.8168074978814,21.9802641018376,21.2936120157616,19.6695600430562,-0.836543396043783,-1.52319548211979,-3.14724745482524
"4-hydroxybenzoate/Gentisate aldehyde",21.5114304832294,21.0625559106629,21.5874082898522,21.2355330205638,21.0957754157078,20.9044934575861,22.8182979017059,21.0063910369963,21.2090029695626,20.930520806051,21.0846212123219,20.9152817009923,20.7338201630417,21.161160449781,20.7066148980052,21.3492319260771,21.6061889249999,21.0576340062329,20.879219302955,0.256956998922842,-0.29159791984414,-0.470012623122024
"3-hydroxyanthranilate",18.8795182690815,19.0419305484047,19.1560683132055,18.2586806444657,18.7059417986327,18.794523156331,19.0265046933275,18.4273271845781,18.6649141869218,18.5708461978239,18.194260568568,19.6141818409054,19.7098068624104,19.4882197854271,19.5745349536168,18.8340494437894,18.8423232160971,18.464337034473,19.5966858605899,0.00827377230771376,-0.36971240931641,0.762636416800561
"quinolinate",19.2705046768326,19.1393837156927,18.9204496680865,19.0809401458559,19.1578943683845,19.3868525931635,18.7392078968571,19.2873920769678,19.155642410515,18.9816641946706,19.1590389302586,19.0119841752029,19.0454484341997,19.1121229050689,18.8932442055626,19.1028195516169,19.0946516194684,19.145934403103,19.0156999300085,-0.00816793214854883,0.0431148514860489,-0.0871196216084194
"2-acetamido-5-oxopentanoate",20.4578693326791,20.2000020322452,20.4509530802208,19.9521725282931,20.8019633226943,21.0597509630215,20.0011093347833,20.2637488237095,19.3212366525217,18.75671774041,19.4238591875613,16.2871124002445,15.6232303646766,15.9185960140049,15.841208052408,20.2652492433595,20.620941206833,19.4413906010506,15.9175367078335,0.3556919634735,-0.82385864230892,-4.34771253552602
"N-acetyl-L-glutamate",24.2490320569558,24.20541631382,24.3440863154168,24.109814872803,24.3233115910258,24.4328342710943,24.1263151631446,24.1927355546404,23.728100845168,23.4852327562651,23.8378749013425,23.1029603631171,23.0442315849721,23.0443540507218,22.9658016477939,24.2270873897489,24.2941536750883,23.810986014354,23.0393369116513,0.0670662853393935,-0.416101375394863,-1.18775047809761
"L-cystathionine",19.5007279160556,19.6317955679294,19.410069490878,19.4192720433724,17.6581711546881,18.1304194262292,17.3935874234915,17.3871894496376,17.2380124103508,16.9178509557224,17.2870781396192,17.6781966215402,17.6180046667174,17.7318275046715,17.6656718512861,19.4904662545589,17.7273926681363,17.2075327388325,17.6734251610538,-1.76307358642256,-2.28293351572635,-1.81704109350505
"N1-(5-Phospho-D-ribosyl)glycinamide",19.5131124233101,19.5807628020292,19.5323016009773,18.1158189544132,18.6357313784596,18.2053180021551,18.7821658105914,18.3461075284527,18.3120180945383,18.3412756606889,18.3785287007653,17.7871584268844,18.2522893413127,18.0125063788912,18.0939904071179,19.1854989451825,18.541071730402,18.3444824961113,18.0364861385515,-0.644427214780428,-0.841016449071141,-1.14901280663092
"Sedoheptulose 7-phosphate",24.8086979338188,24.9094748730239,24.772415722496,24.6774077922972,24.7894451120371,24.9524917332985,25.0203413573171,23.7497521958075,24.0575564393137,24.1073740031493,23.9149061345655,22.9247911924794,23.1140246972403,22.9441697556584,23.0221181986978,24.791999080409,24.9207594008842,23.957397193209,23.001275961019,0.128760320475219,-0.834601887200005,-1.79072311939002
"sedoheptulose 1,7-bisphosphate",21.7628318070574,21.659081104903,20.4552295525845,21.918418018674,21.8373548140462,21.9325553280661,20.7696702689432,20.0115526745281,19.3326281093593,20.2900741894969,20.8103670946804,19.6918172680786,18.5867275640488,20.2873282221241,19.8081296022079,21.4488901208047,21.5131934703518,20.1111555170162,19.5935006641149,0.0643033495471101,-1.33773460378854,-1.85538945668984
"4-pyridoxate",19.2061053479882,19.8544299200683,19.0012829620384,19.6953001307863,18.9814377843785,19.6423507310557,18.3732320622198,19.4416104726694,16.0001113854234,17.696774764737,18.1628559046656,16.9579309856312,15.7226084265825,14.4140378595369,15.8996157680995,19.4392795902203,18.999006859218,17.8253381318738,15.7485482599625,-0.44027273100232,-1.61394145834646,-3.69073133025778
"fructoseglycine",25.6883024413568,25.5870163766154,25.6212852195024,25.3183860396321,25.3433177754716,25.7174539796858,24.9849250861802,24.4201716797338,22.8684303075433,22.592717539868,23.6102376344682,18.0605407088791,18.4277348699066,18.1937467124298,17.9722007795295,25.5537475192767,25.3485656137792,23.3728892904033,18.1635557676863,-0.205181905497476,-2.18085822887332,-7.3901917515904
"N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide",21.7527932465982,21.8628568150777,21.973742865957,22.1578586437682,21.1482745629237,21.1593954416944,20.5835396486294,18.3409934964502,18.8306403065497,19.0777437828683,19.1516746748699,20.3603224722639,20.4156832335271,20.5235649949125,20.6702865820339,21.9368128928503,20.9637365510825,18.8502630651845,20.4924643206843,-0.973076341767776,-3.08654982766572,-1.44434857216591
"nonanoate",25.4091250214367,25.5525989902779,25.5182224319312,25.3815112859793,25.572252978825,25.3951242480024,25.5445069180439,25.4395805790695,25.5963282187313,25.4283119697099,25.4213927147852,25.5497108201816,25.4139485892836,25.3566410415875,25.479352990695,25.4653644324063,25.5039613816238,25.471403370574,25.4499133604369,0.0385969492174851,0.00603893816771262,-0.015451071969359
