,PC1,PC2
II_SC_1_Tcells,-12.375870829067177,-4.955114771840773
II_SC_2_Tcells,-11.460804274320408,-7.372061302494029
II_SC_3_Tcells,-8.669723256089362,-2.853209104852819
II_SC_4_Tcells,-10.691412387551281,-5.946814786079165
II_SC_6_Tfhcells,-11.234601230078939,-1.836402423381632
II_SC_7_Tfhcells,-11.961531839118775,-2.3066411434145992
II_SC_8_Tfhcells,-6.7624664263279755,3.1106448458639484
II_SC_9_Th1cells,0.019370499289830964,4.897045827838095
II_SC_10_Th1cells,2.6599394425540384,15.623215982034965
II_SC_11_Th1cells,3.0049814042852403,13.609318041702075
II_SC_12_Th1cells,0.5892947867982643,8.99595268252486
II_SC_13_Th17cells,16.728606769384438,-6.0905164027677925
II_SC_14_Th17cells,18.03994394479509,-2.4129364078208755
II_SC_15_Th17cells,14.655048741156314,-4.933745979523526
II_SC_16_Th17cells,17.459224654290693,-7.528735057788728
