"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",0.990405297051657,-3.41854861225863,2.54911203269581,-1.34107429113006,0.179896333358207,0.278955789214191
"0610007P14Rik",532.171344206911,0.141662521698198,0.0994086338142808,1.42505249556953,0.154142027042185,0.24576847276745
"0610009B22Rik",60.7793660750513,0.712864953801067,0.264468989582327,2.69545762218431,0.00702920185082002,0.0160976635360228
"0610009E02Rik",1.99694195650887,-0.526349972523092,1.50255570641461,-0.350303133704817,0.726111213727002,0.814826471766542
"0610009L18Rik",13.8202094347407,-0.114142709282578,0.565562050954932,-0.201821725997797,0.840056096143931,0.896381899860356
"0610009O20Rik",834.992961303788,-0.151760654043046,0.0799183211703483,-1.89894697261675,0.0575714484405938,0.106776571498179
"0610010F05Rik",147.081207409163,0.214462184388859,0.186420475541797,1.15042182874796,0.249970173736674,0.36458032163287
"0610010K14Rik",56.2908065182695,0.178368805655617,0.297637146881301,0.599282742509123,0.548984354017141,0.669236937230483
"0610011F06Rik",368.759471312467,0.527314242959164,0.117116961248553,4.50245837441141,6.71719138650534e-06,2.46457576186751e-05
"0610030E20Rik",1719.23180572008,-0.350582657960491,0.0814861694005216,-4.30235781777032,1.6899011244715e-05,5.90154715340254e-05
"0610031O16Rik",1.93453683262455,-2.25366429302931,1.68946707690842,-1.33394981401669,0.18222030446497,0.281602584741994
"0610037L13Rik",815.578518160254,0.0233227523039834,0.0822156333782122,0.28367782799523,0.776657287694648,0.852712029567861
"0610038B21Rik",36.8352848235619,0.0506792621780567,0.357162911208091,0.141893966556146,0.887163760088071,0.927252249401861
"0610039K10Rik",1.1407804997542,-1.29236956725994,2.27318797231338,-0.568527364652874,0.569676929952961,0.686432980660088
"0610040B10Rik",15.5652727565005,0.544381571070965,0.52465002576679,1.03760896661605,0.29945214170721,0.423187932099618
"0610040F04Rik",0.659589117400617,2.86383062024683,3.40688448236376,0.840601034485283,0.400571478999318,NA
"0610043K17Rik",9.28698184670055,-0.757156413217294,0.685170042356644,-1.10506351184452,0.269132069831645,0.388169044085362
"1010001B22Rik",1.15665635476121,-0.377696274115775,1.74845627704887,-0.21601699686381,0.82897449875595,0.889051982437387
"1110001J03Rik",94.1622923039517,-0.45842937808678,0.224629102239619,-2.04082807399443,0.0412679190496181,0.0795171531613375
"1110002E22Rik",0.651848596481803,2.84920512845523,2.95434969546856,0.964410250020638,0.334840285337813,NA
"1110002J07Rik",15.3862424659607,7.40540748996437,1.27265604080616,5.81886012600346,5.92502887984101e-09,2.93987988939511e-08
"1110002L01Rik",270.793676957467,0.152126039061605,0.137511318175708,1.10628013082693,0.268605289023907,0.387607443487338
"1110004E09Rik",176.300233557205,-0.533722470426601,0.156394702459914,-3.41266335772083,0.000643313573615002,0.00178539607010015
"1110004F10Rik",975.16362514101,0.0821231947576591,0.0818252599832272,1.00364111002511,0.315551631765144,0.44099398297918
"1110007C09Rik",310.316208174292,-0.245103557173586,0.123976889861324,-1.97701004959674,0.0480404942483485,0.09080530005411
"1110008F13Rik",669.832076333734,-0.175606624565133,0.0941952961644005,-1.86428231255459,0.0622820693464876,0.114295483199157
"1110008L16Rik",94.8754736845573,0.179207874170115,0.224925095186859,0.796744685252819,0.42559932623642,0.553658758677367
"1110008P14Rik",269.555638003101,0.155086151710051,0.132091931212008,1.17407740417647,0.240364023184789,0.35303988617564
"1110012L19Rik",145.979623194286,0.428887931495782,0.172755754811871,2.48262601707733,0.0130417929174999,0.028239378483199
"1110017D15Rik",0.675975782882994,0.0171293498306346,2.45528626705671,0.00697651840458038,0.994433588831415,NA
"1110019D14Rik",16.8819977117033,0.322756887470232,0.49987585764317,0.645674085946012,0.518490446472302,0.640713640858081
"1110020A21Rik",12.0689455243919,-1.0962142147517,0.609273696256717,-1.7992147395935,0.071984718751218,0.129414605633977
"1110025M09Rik",14.2198504857376,0.367506342940046,0.531084594663684,0.691992098119085,0.488942291344325,0.615828031429877
"1110028F11Rik",8.34016005302815,3.53757025929551,0.960493756723908,3.68307470457862,0.000230437592270592,0.000686595861212095
"1110032A03Rik",121.396767311971,0.872747380497495,0.193374976350078,4.51323846016928,6.38451686479177e-06,2.34915160736564e-05
"1110032F04Rik",111.155770952172,-0.272497775147989,0.220494567662954,-1.23584802127428,0.216515061094464,0.325196300176128
"1110034G24Rik",361.523041795993,0.259129495810571,0.142631111159127,1.81678102136828,0.0692506499410819,0.12507190333246
"1110035H17Rik",4.62688003685207,-1.89110192938944,1.06329918256379,-1.77852288462187,0.0753180168170628,0.134539871803856
"1110036E04Rik",0.491841151796586,0.842032659124254,3.33398348734907,0.252560536763118,0.800607828587998,NA
"1110037F02Rik",3178.44844248245,0.424622270489705,0.0819884356847717,5.17905076421128,2.2301778089209e-07,9.58425866725107e-07
"1110038B12Rik",198.90346880597,-0.518674083666759,0.152478588349297,-3.40161913408185,0.000669879240150656,0.00185485584944963
"1110038F14Rik",491.521772855214,0.0583219847589324,0.104804846105196,0.556481755627912,0.577881563174843,0.694069855944306
"1110046J04Rik",1.49465361666599,4.0435060126812,1.95609887943837,2.06712761567664,0.0387221305487661,0.0750830471194206
"1110051M20Rik",20.6966043972241,1.88913282977727,0.502536617503171,3.75919438301499,0.000170461363516272,0.00051683248751522
"1110059E24Rik",243.373238270759,0.0419212040070979,0.13999988699805,0.299437413172211,0.764606319337231,0.843374555919071
"1110059G10Rik",196.411833421245,0.341541756485877,0.154492955179471,2.2107270592961,0.0270547435340886,0.0545641689329101
"1110065P20Rik",84.0079959174098,0.484986328927753,0.262269864511975,1.84918816284975,0.064430647375293,0.117497729877073
"1190002F15Rik",50.1650601411286,1.6711288945458,0.30819800589795,5.42225732342713,5.88510807953909e-08,2.68060560892953e-07
"1190002N15Rik",593.361325709903,1.10311975195425,0.0964250471801022,11.4401785035568,2.63343153140164e-30,3.51505860930566e-29
"1190005I06Rik",1.70596781221285,1.96982748203123,1.82433012675787,1.07975385218898,0.280251806089908,0.401145666669346
"1190007I07Rik",103.108363967842,-0.122203136789314,0.230252295451011,-0.530735802437697,0.595601872388474,0.709820554438126
"1200007C13Rik",0.843750880716117,3.21416325046757,2.37827000239228,1.3514711312149,0.176544561489312,0.274565250137886
