"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",0.649860040986363,-2.88328057699828,1.90163764231023,-1.5162092466236,0.1294664506992,0.200824102145195
"0610007P14Rik",691.111357769597,0.159189621042079,0.0814344070189427,1.95482016594104,0.0506043000834297,0.0880186457561805
"0610009B22Rik",80.2862099361412,0.250467045102995,0.207631333002763,1.20630658909107,0.227699297989488,0.32335261485027
"0610009E02Rik",2.74776816862795,-1.52443024953121,1.00866433348526,-1.51133553445259,0.130702984817076,0.202454672130465
"0610009L18Rik",27.1570740845776,-0.0235035621330139,0.29220022429268,-0.0804364958648071,0.935890101426299,0.958036156658316
"0610009O20Rik",727.980758035484,-0.0353870213763095,0.0661360591148147,-0.535063955275537,0.592605633486797,0.693051971122106
"0610010F05Rik",120.900659402169,-0.134580206704657,0.147415117513556,-0.91293355101305,0.361277490511213,0.471586218933753
"0610010K14Rik",57.1147103047714,-0.0799768367336136,0.202383213170743,-0.395175249372784,0.692713557429372,0.77611095859947
"0610011F06Rik",532.439419492433,0.473730547255597,0.0873709410975197,5.42206071383436,5.8915863265212e-08,2.18892972424768e-07
"0610030E20Rik",1951.12521673907,-0.250749574760787,0.0561098622314606,-4.46890376822549,7.8621489374301e-06,2.41022236413727e-05
"0610031O16Rik",0.878255118421593,-2.39561555732516,1.68457147433607,-1.42209196452726,0.154999555197398,0.234681384924622
"0610037L13Rik",692.3991731537,-0.0955104079189555,0.0890638653714746,-1.07238112247423,0.283548883378546,0.387669861128596
"0610038B21Rik",33.2015994244876,0.0430728899465098,0.280192841578629,0.15372587573556,0.877825881403651,0.917793466794254
"0610039K10Rik",0.516893788333895,-0.134755275053467,2.83306449805181,-0.0475651984436404,0.962062768239059,NA
"0610040B10Rik",17.1753913828633,0.355566453003677,0.433033940570447,0.821105275340034,0.411586305429673,0.523796246995878
"0610040F04Rik",1.66391843028451,4.12686601274555,1.43692970552356,2.87200271306375,0.00407879465469898,0.00884320731673168
"0610043K17Rik",9.70404216680842,-0.846837352102535,0.490118051403655,-1.7278232247869,0.0840199222107655,0.137879453565967
"1010001B22Rik",2.10146390427488,0.740474944350515,1.10973712833724,0.667252564091458,0.504610820684003,0.613544129198157
"1110001J03Rik",145.049063868988,-0.670801890304665,0.160447006365965,-4.18083145019625,2.9044510389599e-05,8.37780010033045e-05
"1110002E22Rik",0.834974645324917,3.13072251599606,1.81733385010552,1.72270082121361,0.0849426417588085,0.139206331256864
"1110002J07Rik",19.0915122896258,6.91231456379217,1.0767636429345,6.41952819372139,1.36697339084139e-10,6.17647206611555e-10
"1110002L01Rik",362.921907628484,-0.0981102227002539,0.10217492498557,-0.960218201423784,0.33694540812872,0.446357530346823
"1110004E09Rik",260.762184540832,-0.455775532106723,0.128835030408993,-3.53766774967833,0.000403677670867783,0.00101584948218233
"1110004F10Rik",1283.66165154772,0.00130658338386519,0.0639700564028805,0.0204249215544908,0.98370440346976,0.987716986064633
"1110007C09Rik",348.567795574406,-0.328290604492995,0.100932581057844,-3.25257316371266,0.00114365149180255,0.00269374624288857
"1110008F13Rik",949.898057610054,-0.067325028336497,0.0635719133478282,-1.05903731366608,0.289582786608786,0.394684423423673
"1110008L16Rik",162.620587691383,-0.139931033696607,0.139926249908343,-1.00003418792591,0.31729396319133,0.424605405413084
"1110008P14Rik",394.257816572173,0.201093341095752,0.0993133154271184,2.0248376587863,0.0428840367323075,0.0760203174734291
"1110012L19Rik",240.307525156764,0.17555627014303,0.129981392310464,1.35062617058071,0.176815213115827,0.261570973389648
"1110017D15Rik",0.497072240833663,-0.08644227615864,2.45983333731865,-0.0351415174545389,0.971966895701279,NA
"1110019D14Rik",24.6685720183626,0.746211679686204,0.309925104913684,2.40771614772553,0.0160526565924979,0.0312837064303174
"1110020A21Rik",18.0524043101937,-1.51842129932413,0.370996427024528,-4.09281919910173,4.26160004897741e-05,0.000120752243929926
"1110025M09Rik",17.218045177712,-0.120396743492488,0.379794395204773,-0.317005055926573,0.751239765892023,0.822115459875178
"1110028F11Rik",5.53492362043924,5.10026156949333,1.174226763989,4.34350648946807,1.40226333386145e-05,4.19000791347181e-05
"1110032A03Rik",134.542428116358,1.00582748027435,0.168438655598203,5.97147653964699,2.35115875306742e-09,9.78361941127602e-09
"1110032F04Rik",178.202065048872,-0.863299688767895,0.175482188461687,-4.91958583566661,8.67275291967078e-07,2.91405017736845e-06
"1110034G24Rik",444.680201646161,0.346388789736791,0.107082801994418,3.23477517664178,0.00121738548241082,0.0028516614496842
"1110035H17Rik",9.51139544294629,-1.30069547691662,0.501341033367373,-2.59443251269539,0.009474721254615,0.0192994992269122
"1110036E04Rik",0.358230925929252,1.90932161927332,3.03092410479653,0.629947023830707,0.528729245313686,NA
"1110037F02Rik",3597.32906458792,0.332824280636904,0.0592195137934342,5.62017921656433,1.90759473083428e-08,7.38242540097226e-08
"1110038B12Rik",271.646876541694,-0.451780707847715,0.112863347788216,-4.00290011506183,6.25707236844357e-05,0.000174131932775937
"1110038F14Rik",543.028293414178,0.116325354902737,0.0879393330578705,1.32279096119806,0.185904903937584,0.27259501687366
"1110046J04Rik",3.00704168662012,4.97630332852831,1.27505436448144,3.90281659131621,9.50797507946544e-05,0.000258994514438618
"1110051M20Rik",226.09241069198,2.06167117174594,0.161439858039297,12.7705214609647,2.39544240865864e-37,3.14067119100728e-36
"1110059E24Rik",272.027620571988,-0.0448088324304223,0.103856309975201,-0.431450264708248,0.666141008439566,0.754394836162256
"1110059G10Rik",284.088157176971,0.191400598634345,0.0983688663028116,1.94574366695609,0.0516855384695859,0.0897296270818469
"1110065P20Rik",125.900165140918,0.247997972082343,0.132572474721995,1.87065959658967,0.0613922783806536,0.104443964689836
"1190002F15Rik",71.307121357236,1.82225901365064,0.209029492389914,8.71771247595763,2.83878742666366e-18,1.94334069157073e-17
"1190002N15Rik",643.946491166739,1.07636771926276,0.068022011864749,15.8238148175174,2.13175478614319e-56,4.4725904438685e-55
"1190005I06Rik",1.21867558759089,2.7815836393238,1.73268186953139,1.60536315883312,0.108413907136924,0.17246579622558
"1190007I07Rik",133.148670184232,-0.269029855153617,0.129819734579682,-2.07233404092727,0.0382342999205173,0.0684722676207481
"1200007C13Rik",0.965626257364419,3.33635121133205,1.71235946355145,1.94839417911262,0.0513678157867512,0.0892312212011779
"1200014J11Rik",1478.5590358007,-0.366058735435665,0.060429687133687,-6.05759772718735,1.38169400587042e-09,5.85544765775882e-09
"1300002E11Rik",503.322815935421,-0.204297927732025,0.0892928762388247,-2.28795326500186,0.022140242891783,0.0419680070520273
"1300017J02Rik",0.85929801746726,-0.490372091262365,1.84791283807254,-0.265365379339994,0.790728003652055,0.850820846850207
"1500002C15Rik",34.8912144209687,1.71520078688497,0.294580732142384,5.82251518763941,5.79685300483275e-09,2.33060961503248e-08
"1500002F19Rik",0.999950214095558,-0.123570879294111,1.64029792274653,-0.0753344118653778,0.93994864255422,0.959213034329096
"1500004A13Rik",203.535999559383,3.90915655944472,0.192333791352398,20.3248557206585,7.75165499416414e-92,2.9072033118671e-90
"1500009L16Rik",1.102099951562,1.683235415159,1.59112264985417,1.05789168126874,0.290104828159272,0.395334275379305
"1500011B03Rik",313.011714740908,-0.176671504261605,0.0980134272652965,-1.80252348265918,0.0714630835211411,0.119552054245141
"1500011K16Rik",167.58393221962,-0.0840563710821674,0.137546072613142,-0.611114294179682,0.54112391734559,0.648021289807378
"1500012F01Rik",666.677288862763,-1.12835908957938,0.093245827891787,-12.1009069798689,1.04450717931916e-33,1.23845671458352e-32
"1500015A07Rik",74.6396903936079,-0.891903412394025,0.217492499953299,-4.10084675372961,4.11641106569869e-05,0.000116865685827186
"1500026H17Rik",2.94561090397061,-2.85474387392266,1.261644106007,-2.26271724357964,0.0236531251629093,0.0445170868481763
"1520401A03Rik",0.368271803550018,0.607141150627815,3.06334648103146,0.198195390037429,0.842892194164132,NA
"1600002H07Rik",137.636417529683,0.39149140967589,0.142299048483032,2.75118782486147,0.0059379586010456,0.0125123827430038
"1600002K03Rik",144.991278260046,-0.406639191802142,0.138614844919563,-2.93359049702152,0.00335065959141235,0.00735856718762424
"1600012H06Rik",687.727365333549,0.0126004341592823,0.0803564815809319,0.156806693267072,0.875397197648785,0.915852548536834
"1600014C10Rik",1476.65282984399,-0.519650838474757,0.0754764675883785,-6.88493851234195,5.78125004756632e-12,2.84536488542148e-11
"1600020E01Rik",350.162864429843,-0.61737353720019,0.120510187941624,-5.12299870861749,3.00714409747848e-07,1.05895340301494e-06
"1700001C19Rik",0.49418308707813,1.18818663807199,2.39564062088477,0.495978665461584,0.619909463281708,NA
"1700001G11Rik",7.98341486318964,1.53848449529095,0.62302192674959,2.46939060927997,0.0135343392034676,0.0267336851558547
"1700001G17Rik",5.71060812558584,-0.609495609691239,0.627739889860752,-0.97093656072492,0.331579870520066,0.440173496437921
"1700001J03Rik",4.15419660941692,0.769772185038614,0.733708362108653,1.04915280347401,0.294107796704359,0.399916125651761
"1700001J11Rik",0.484344512220773,1.17470488873833,2.40639026582343,0.488160588671747,0.625436097820707,NA
"1700001L05Rik",10.2054797098589,0.639529368080612,0.460793444077194,1.38788729809592,0.165171366242647,0.246726492976303
"1700001O22Rik",29.8608760501577,3.16981840991088,0.394153112333517,8.04209915061816,8.83123874858904e-16,5.38533006312249e-15
"1700001P01Rik",1.38622942302677,-0.944835274371458,1.34209208557395,-0.704001822622623,0.481431638559146,0.591856906401955
"1700003F12Rik",0.877077997902051,1.20454949183671,1.75477930237403,0.686439309038512,0.492436123485151,0.601839589520978
"1700003N22Rik",0.361120079684785,0.621810734182747,3.08390009959089,0.201631283148646,0.840204987070241,NA
"1700006F04Rik",0.359646550318073,1.91383988993367,2.55508656381952,0.749031331084426,0.453838321575804,NA
"1700006J14Rik",0.237664047503422,1.32858182909852,3.53237341540176,0.376115906462684,0.70683072944198,NA
"1700007K09Rik",0.254914023575167,-1.53889949467423,3.38084048539044,-0.455182520832985,0.64897793435098,NA
"1700007L15Rik",33.3497471010922,-0.262053007370883,0.274896235474831,-0.953279723595472,0.340448362106981,0.450179013735621
"1700008J07Rik",44.560336931904,-0.0724176277210685,0.22094614161626,-0.327761449877878,0.743092037116107,0.815848198946581
"1700008O03Rik",3.27772989720403,1.40369143182414,0.897606437008579,1.563816138064,0.117860753261288,0.185438637445762
"1700010I14Rik",85.5802995475719,0.293393347882757,0.188732162495817,1.55454875312659,0.120053576928922,0.188227896652621
"1700010K24Rik",0.733522436319529,-0.0814345345502648,1.78032465463271,-0.0457413957270985,0.963516369302964,0.973149305727456
