NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,Details ...,185,-0.5642412,-2.2997541,0,0,0,2547,"tags=51%, list=19%, signal=62%",TfhvsTn_B6
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,Details ...,53,-0.6497358,-2.1697006,0,0,0,2475,"tags=62%, list=18%, signal=76%",TfhvsTn_B6
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Details ...,192,-0.4010471,-1.6311715,0,0.013041711,0.029,3362,"tags=42%, list=25%, signal=55%",TfhvsTn_B6
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,Details ...,81,-0.4182516,-1.5249839,0.003703704,0.02935273,0.089,1275,"tags=33%, list=9%, signal=37%",TfhvsTn_B6
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Details ...,108,-0.38533708,-1.4347045,0.013274336,0.04487194,0.167,2403,"tags=36%, list=18%, signal=44%",TfhvsTn_B6
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Details ...,185,-0.32778528,-1.311572,0.01058201,0.108695455,0.421,2279,"tags=36%, list=17%, signal=42%",TfhvsTn_B6
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,Details ...,141,-0.31562614,-1.236235,0.046153847,0.16356733,0.609,2870,"tags=31%, list=21%, signal=39%",TfhvsTn_B6
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,Details ...,88,-0.33135796,-1.2073951,0.08979592,0.18244852,0.693,1912,"tags=28%, list=14%, signal=33%",TfhvsTn_B6
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Details ...,37,-0.37285364,-1.1517241,0.2366864,0.24996024,0.835,1560,"tags=30%, list=12%, signal=34%",TfhvsTn_B6
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Details ...,66,-0.3220339,-1.1312956,0.18148148,0.25965485,0.872,1819,"tags=32%, list=14%, signal=37%",TfhvsTn_B6
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,Details ...,133,-0.27217457,-1.0607393,0.27040815,0.38415235,0.971,1731,"tags=20%, list=13%, signal=22%",TfhvsTn_B6
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Details ...,178,-0.24527456,-0.99092317,0.48502994,0.5537781,0.997,2045,"tags=21%, list=15%, signal=24%",TfhvsTn_B6
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,Details ...,87,-0.25857568,-0.9455166,0.60700387,0.65077555,1,1819,"tags=20%, list=14%, signal=22%",TfhvsTn_B6
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,Details ...,52,-0.27923825,-0.9251174,0.60126585,0.6583141,1,2060,"tags=25%, list=15%, signal=29%",TfhvsTn_B6
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,Details ...,188,0.67825854,2.3430936,0,0,0,1350,"tags=47%, list=10%, signal=52%",TfhvsTn_B6
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Details ...,180,0.49137136,1.692823,0,0.014252909,0.03,1726,"tags=33%, list=13%, signal=38%",TfhvsTn_B6
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Details ...,141,0.45978588,1.555495,0.001242236,0.051738575,0.155,2102,"tags=30%, list=16%, signal=36%",TfhvsTn_B6
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,Details ...,154,0.4436818,1.5126917,0.004987531,0.06427955,0.247,1293,"tags=21%, list=10%, signal=23%",TfhvsTn_B6
HALLMARK_MYOGENESIS,HALLMARK_MYOGENESIS,Details ...,147,0.44260094,1.4984677,0.003731343,0.059064943,0.278,2163,"tags=26%, list=16%, signal=30%",TfhvsTn_B6
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,Details ...,119,0.43658978,1.4555732,0.009055628,0.08122821,0.417,1366,"tags=24%, list=10%, signal=26%",TfhvsTn_B6
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,Details ...,32,0.5316798,1.4401875,0.043609023,0.082111776,0.478,1984,"tags=25%, list=15%, signal=29%",TfhvsTn_B6
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,Details ...,74,0.46176827,1.436497,0.02328767,0.07468217,0.491,1112,"tags=31%, list=8%, signal=34%",TfhvsTn_B6
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,Details ...,177,0.4137124,1.4349978,0.006038647,0.06696656,0.494,1534,"tags=24%, list=11%, signal=26%",TfhvsTn_B6
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,Details ...,161,0.41747776,1.4305265,0.00482509,0.062242884,0.501,2453,"tags=30%, list=18%, signal=36%",TfhvsTn_B6
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,Details ...,159,0.4131563,1.4252924,0.011152417,0.05929001,0.518,1726,"tags=26%, list=13%, signal=29%",TfhvsTn_B6
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,Details ...,178,0.403607,1.4036094,0.013126492,0.07036689,0.616,1477,"tags=24%, list=11%, signal=27%",TfhvsTn_B6
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,Details ...,171,0.40875986,1.395732,0.01092233,0.07094605,0.647,1534,"tags=19%, list=11%, signal=21%",TfhvsTn_B6
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,Details ...,162,0.40526396,1.3925171,0.008974359,0.06785915,0.658,1447,"tags=26%, list=11%, signal=29%",TfhvsTn_B6
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,Details ...,164,0.40425733,1.3870441,0.014760148,0.06709491,0.681,1471,"tags=18%, list=11%, signal=20%",TfhvsTn_B6
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,Details ...,29,0.5254408,1.3770814,0.08444444,0.0701614,0.722,2044,"tags=41%, list=15%, signal=49%",TfhvsTn_B6
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,Details ...,153,0.39445534,1.3343331,0.023631841,0.09764563,0.856,2638,"tags=30%, list=20%, signal=37%",TfhvsTn_B6
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,Details ...,181,0.3644271,1.2630432,0.071170084,0.175625,0.966,1374,"tags=22%, list=10%, signal=24%",TfhvsTn_B6
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,Details ...,145,0.37443402,1.253388,0.08640406,0.17971827,0.971,1564,"tags=21%, list=12%, signal=24%",TfhvsTn_B6
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,Details ...,179,0.3597253,1.237359,0.07840772,0.1934787,0.983,2013,"tags=24%, list=15%, signal=28%",TfhvsTn_B6
HALLMARK_COAGULATION,HALLMARK_COAGULATION,Details ...,93,0.38381946,1.2345992,0.11643836,0.1880124,0.984,3127,"tags=37%, list=23%, signal=47%",TfhvsTn_B6
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,Details ...,167,0.35778868,1.2294643,0.08303249,0.18759884,0.986,2123,"tags=27%, list=16%, signal=32%",TfhvsTn_B6
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,Details ...,91,0.36976892,1.1998823,0.14945652,0.22538379,0.994,3282,"tags=34%, list=24%, signal=45%",TfhvsTn_B6
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,Details ...,191,0.33627814,1.161715,0.17090909,0.28230694,0.999,1965,"tags=25%, list=15%, signal=28%",TfhvsTn_B6
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,Details ...,112,0.35308325,1.1506574,0.21284635,0.29163468,0.999,2824,"tags=24%, list=21%, signal=30%",TfhvsTn_B6
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,Details ...,183,0.33593932,1.1470685,0.17546013,0.28795907,0.999,2721,"tags=30%, list=20%, signal=36%",TfhvsTn_B6
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,Details ...,139,0.34292185,1.1448448,0.19157088,0.28145894,0.999,2391,"tags=24%, list=18%, signal=29%",TfhvsTn_B6
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,Details ...,21,0.45940122,1.1309696,0.30191693,0.29728675,0.999,950,"tags=14%, list=7%, signal=15%",TfhvsTn_B6
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,Details ...,30,0.4047741,1.0886935,0.33333334,0.369322,1,3073,"tags=40%, list=23%, signal=52%",TfhvsTn_B6
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,Details ...,30,0.4117189,1.0816263,0.3572519,0.37171295,1,3179,"tags=50%, list=24%, signal=65%",TfhvsTn_B6
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,Details ...,89,0.32344446,1.0273888,0.42527175,0.4747222,1,4483,"tags=49%, list=33%, signal=74%",TfhvsTn_B6
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,Details ...,88,0.32100177,1.0135064,0.4442953,0.49218643,1,2014,"tags=20%, list=15%, signal=24%",TfhvsTn_B6
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,Details ...,152,0.28025204,0.95706,0.57178843,0.6073171,1,2023,"tags=22%, list=15%, signal=26%",TfhvsTn_B6
