NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE,group
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,Details ...,53,-0.7144855,-2.3591988,0,0,0,2086,"tags=62%, list=16%, signal=74%",TfhvsTn_TC
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,Details ...,184,-0.53840286,-2.1937807,0,0,0,2734,"tags=47%, list=21%, signal=58%",TfhvsTn_TC
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Details ...,108,-0.36872798,-1.3708034,0.0349345,0.13367963,0.329,1786,"tags=29%, list=14%, signal=33%",TfhvsTn_TC
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Details ...,183,-0.3354089,-1.3423091,0.007142857,0.1255525,0.382,2462,"tags=33%, list=19%, signal=40%",TfhvsTn_TC
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Details ...,66,-0.3730734,-1.2732742,0.08730159,0.16385338,0.545,1056,"tags=23%, list=8%, signal=25%",TfhvsTn_TC
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Details ...,192,-0.3138078,-1.2620386,0.035460994,0.14939255,0.572,3689,"tags=40%, list=28%, signal=55%",TfhvsTn_TC
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,Details ...,87,-0.3469454,-1.2463952,0.09274194,0.14632754,0.619,1546,"tags=25%, list=12%, signal=28%",TfhvsTn_TC
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,Details ...,141,-0.3108045,-1.1884362,0.06521739,0.19830203,0.787,3205,"tags=35%, list=24%, signal=46%",TfhvsTn_TC
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Details ...,35,-0.3665643,-1.1425419,0.280597,0.24645466,0.872,1814,"tags=29%, list=14%, signal=33%",TfhvsTn_TC
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Details ...,43,-0.308241,-0.9486455,0.5653495,0.70456,1,1777,"tags=23%, list=14%, signal=27%",TfhvsTn_TC
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,Details ...,50,-0.2843612,-0.902459,0.6583072,0.77595776,1,769,"tags=12%, list=6%, signal=13%",TfhvsTn_TC
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Details ...,177,-0.21151656,-0.8529503,0.8870056,0.82088083,1,2349,"tags=23%, list=18%, signal=27%",TfhvsTn_TC
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,Details ...,185,0.7174234,2.4226885,0,0,0,1205,"tags=48%, list=9%, signal=52%",TfhvsTn_TC
