mouseIDwtSS,mouseSymbol,B6.1.Tfh,B6.2.Tfh,B6.3.Tfh,B6.4.Tfh,TC1.Tfh,TC2.Tfh,TC4.Tfh,padj,log2FoldChange,annotation
Arid4a*****,Arid4a,11.41932222,11.36034197,11.54982484,11.55975462,12.04771101,12.04799823,12.01622695,2.84E-18,0.690887142,
Arid4b****,Arid4b,11.07138632,10.95387087,11.11261659,11.06427194,11.34094448,11.35088641,11.2660548,1.12E-05,0.335962493,
Ash1l****,Ash1l,11.61921977,11.1874497,11.58693543,11.5596043,11.97051319,12.00028391,11.90189934,1.35E-05,0.563512873,H3K36me2
Ash2l,Ash2l,10.2000478,10.19196045,10.14927706,10.16492125,9.987314939,10.10375759,10.1703928,0.256725303,-0.116414428,
Atrx*****,Atrx,12.91231345,12.52523505,12.85019918,12.79276418,13.1438035,13.32899858,13.18464891,6.33E-06,0.531686748,
Auts2,Auts2,1.792389541,1.792166982,1.793450557,1.76970931,1.77954932,1.826577569,1.778393614,0.795847958,0.406932385,
Bcor*,Bcor,12.39774278,12.08630792,12.37288726,12.22815409,12.45039712,12.53075934,12.49739129,0.016048278,0.261531468,
Bend3-,Bend3,8.484534249,8.232639254,8.354138185,8.312305882,8.566613692,8.374618102,8.607105553,0.09359487,0.289939063,
Brca1,Brca1,6.822136191,6.686874433,6.849800508,6.827794409,6.750587841,6.789036721,6.740844723,0.703620766,-0.106697524,
Brd4*****,Brd4,12.23951459,12.19551413,12.35847729,12.36562843,12.70233952,12.73570355,12.61198216,2.12E-09,0.474518777,
Carm1,Carm1,10.4111237,10.33857499,10.3590627,10.36639003,10.39146246,10.4134552,10.30434644,0.991369017,0.001389624,
Chd5,Chd5,1.014664306,1.029969367,1.015020413,1.015013826,1.024558385,1.044569585,1.023580913,0.543134536,1.04668153,
Chtop,Chtop,12.17469824,12.26037964,12.21917905,12.23520881,12.14426834,12.12206303,12.17793378,0.16729975,-0.090474795,
Coprs,Coprs,3.613069456,3.626989283,3.695301142,3.608269849,3.670725929,3.624204317,3.626515706,0.944171329,0.064628199,
Ctcf,Ctcf,12.06248579,12.01174294,12.01685375,12.03412906,12.07657385,12.13296953,12.05170939,0.323163036,0.06817251,
Ctnnb1**,Ctnnb1,12.37233864,12.38297727,12.41477521,12.38954569,12.22822367,12.28584152,12.17194307,0.001350962,-0.195187581,H3K4
Ctr9,Ctr9,10.53652932,10.38404076,10.41865427,10.4821432,10.33275701,10.42583068,10.36532548,0.281296601,-0.107044578,
Cxxc1,Cxxc1,11.22764288,11.39724061,11.31686714,11.33915174,11.3906686,11.39941188,11.45910046,0.167969227,0.118566762,
Dnmt1,Dnmt1,11.7336578,11.72397799,11.75991554,11.84537491,11.78770558,11.82495348,11.77373126,0.695981957,0.035543883,
Dnmt3b****,Dnmt3b,6.937032718,6.900941936,6.890479476,6.880382689,7.208086943,7.279884615,7.131854162,2.45E-05,0.754429036,H3K36me2
Dot1l*****,Dot1l,11.12723584,10.96629992,11.08165465,11.15266958,11.39455764,11.46061858,11.42737748,4.72E-08,0.429900063,H3K79
Dpy30,Dpy30,8.726138706,8.943458865,8.685689587,8.727049396,8.660744068,8.63383006,8.725115443,0.324844678,-0.16133421,
Eed,Eed,10.26200896,10.28958931,10.3489855,10.27212237,10.13726263,10.28682562,10.15848189,0.181071155,-0.130184085,
Ehmt1,Ehmt1,10.46258564,10.38859438,10.50961247,10.54713124,10.5722668,10.59364995,10.52349388,0.245181153,0.110380196,
Ehmt2*,Ehmt2,12.25054344,12.31289657,12.3538318,12.4126447,12.51644433,12.52184192,12.39002167,0.036751802,0.173985494,H3K9
Ezh1,Ezh1,11.49212135,11.57283418,11.49017094,11.57688681,11.56122393,11.62587246,11.56640706,0.445116237,0.063054611,
Ezh2,Ezh2,10.4407583,10.29812883,10.31677751,10.36669306,10.374549,10.36915741,10.38005875,0.840091774,0.023332785,
Fbl-,Fbl,9.075369702,9.306485804,9.109236347,9.217696571,9.031917015,9.082978023,8.934441247,0.073998482,-0.245166988,
