gene_name,TC1-Tfh,TC2-Tfh,TC4-Tfh,TC1-Tn,TC2-Tn,TC4-Tn
0610005C13Rik,0,0,0,4,2,0
0610007P14Rik,522,528,617,532,461,549
0610009B22Rik,74,68,84,51,36,54
0610009E02Rik,3,0,2,1,4,2
0610009L18Rik,13,10,17,10,12,22
0610009O20Rik,777,727,859,900,836,938
0610010F05Rik,145,142,186,166,124,125
0610010K14Rik,59,45,76,43,50,68
0610011F06Rik,454,388,460,340,254,329
0610030E20Rik,1425,1390,1703,1887,1770,2215
0610031O16Rik,0,1,1,2,1,7
0610037L13Rik,834,715,912,837,746,882
0610038B21Rik,35,43,33,42,25,44
0610039K10Rik,2,0,0,4,1,0
0610040B10Rik,18,17,20,11,17,10
0610040F04Rik,4,0,0,0,0,0
0610040J01Rik,0,1,0,0,0,0
0610043K17Rik,6,4,11,15,8,13
1010001B22Rik,1,1,1,2,1,1
1110001J03Rik,97,59,82,112,103,117
1110002E22Rik,0,1,3,0,0,0
1110002J07Rik,36,26,30,0,0,0
1110002L01Rik,283,244,327,243,244,294
1110002O04Rik,0,0,0,0,0,0
1110004E09Rik,142,136,152,217,185,234
1110004F10Rik,1026,876,1100,1045,820,1028
1110007C09Rik,306,242,302,375,307,344
1110008F13Rik,691,558,630,773,649,743
1110008L16Rik,84,92,126,98,75,99
1110008P14Rik,292,255,302,296,226,256
1110012L19Rik,174,142,186,130,108,142
1110017D15Rik,0,1,1,0,1,1
1110019D14Rik,19,18,19,13,11,22
1110020A21Rik,4,8,11,16,16,18
1110025M09Rik,13,15,20,13,10,15
1110028F11Rik,15,13,18,0,2,2
1110032A03Rik,169,129,173,98,73,91
1110032F04Rik,80,112,107,123,105,143
1110034G24Rik,450,289,446,365,306,332
1110035H17Rik,3,0,3,8,9,5
1110036E04Rik,0,0,2,0,1,0
1110037F02Rik,3642,2978,4322,2912,2382,2991
1110038B12Rik,153,142,195,251,216,247
1110038F14Rik,507,426,569,501,474,489
1110046J04Rik,4,2,3,0,0,0
1110051M20Rik,44,23,31,11,6,10
1110059E24Rik,247,212,281,270,203,260
1110059G10Rik,221,186,251,199,160,169
1110065P20Rik,126,85,81,85,66,62
1190002F15Rik,79,63,87,29,23,21
1190002N15Rik,820,775,818,391,345,412
1190005I06Rik,5,2,1,0,2,0
1190007I07Rik,83,82,132,102,97,129
1200007C13Rik,1,2,2,0,0,0
1200014J11Rik,1287,1212,1287,1570,1409,1615
1300002E11Rik,603,567,700,633,571,757
1300017J02Rik,1,0,1,1,0,0
1500002C15Rik,48,22,44,9,10,17
1500002F19Rik,0,0,0,1,0,0
1500004A13Rik,391,267,384,36,43,33
1500009L16Rik,1,0,0,1,0,0
1500011B03Rik,215,156,234,231,197,201
1500011K16Rik,137,120,148,96,94,130
1500012F01Rik,402,350,358,849,697,697
1500012K07Rik,0,0,0,0,0,0
1500015A07Rik,35,42,46,90,60,102
1500015O10Rik,0,0,0,1,0,0
1500017E21Rik,0,1,0,0,0,0
1500026H17Rik,1,0,0,5,4,5
1500035N22Rik,0,0,0,0,0,1
1520401A03Rik,1,2,1,1,1,0
1600002D24Rik,0,1,0,0,0,0
1600002H07Rik,148,149,199,155,124,158
1600002K03Rik,89,73,125,156,117,141
1600010M07Rik,0,0,0,0,0,0
1600012H06Rik,420,399,482,508,337,525
1600012P17Rik,1,0,0,0,0,0
1600014C10Rik,1528,1186,1526,1862,1290,1791
1600017P15Rik,0,0,0,0,0,0
1600020E01Rik,328,343,365,521,553,685
