gene_name,B6-1-Tfh,B6-2-Tfh,B6-3-Tfh,B6-4-Tfh,TC1-Tfh,TC2-Tfh,TC4-Tfh
0610005C13Rik,0,0,0,0,0,0,0
0610007P14Rik,716,880,698,759,522,528,617
0610009B22Rik,78,129,88,71,74,68,84
0610009E02Rik,2,3,0,1,3,0,2
0610009L18Rik,35,34,22,22,13,10,17
0610009O20Rik,720,780,721,785,777,727,859
0610010F05Rik,133,112,129,108,145,142,186
0610010K14Rik,62,58,58,54,59,45,76
0610011F06Rik,636,724,612,620,454,388,460
0610030E20Rik,1866,1817,1832,1932,1425,1390,1703
0610031O16Rik,0,0,0,1,0,1,1
0610037L13Rik,649,735,702,712,834,715,912
0610038B21Rik,46,29,36,30,35,43,33
0610039K10Rik,0,0,2,0,2,0,0
0610040B10Rik,33,19,17,12,18,17,20
0610040F04Rik,4,5,2,3,4,0,0
0610040J01Rik,0,0,0,0,0,1,0
0610043K17Rik,12,6,5,6,6,4,11
1010001B22Rik,3,4,3,1,1,1,1
1110001J03Rik,109,157,109,94,97,59,82
1110002E22Rik,4,1,1,1,0,1,3
1110002J07Rik,46,29,52,31,36,26,30
1110002L01Rik,353,412,332,371,283,244,327
1110002O04Rik,0,0,0,0,0,0,0
1110004E09Rik,244,288,181,209,142,136,152
1110004F10Rik,1411,1410,1301,1251,1026,876,1100
1110007C09Rik,313,344,329,307,306,242,302
1110008F13Rik,920,1062,963,935,691,558,630
1110008L16Rik,191,162,137,158,84,92,126
1110008P14Rik,399,517,426,423,292,255,302
1110012L19Rik,256,302,268,240,174,142,186
1110017D15Rik,0,0,0,2,0,1,1
1110019D14Rik,33,27,28,41,19,18,19
1110020A21Rik,11,8,8,12,4,8,11
1110025M09Rik,11,23,17,18,13,15,20
1110028F11Rik,15,6,10,14,15,13,18
1110032A03Rik,208,187,195,162,169,129,173
1110032F04Rik,146,135,139,109,80,112,107
1110034G24Rik,437,556,550,537,450,289,446
1110035H17Rik,7,8,4,4,3,0,3
1110036E04Rik,0,1,0,2,0,0,2
1110037F02Rik,4479,4001,4146,4137,3642,2978,4322
