gene_name,B6-1-Tn,B6-2-Tn,B6-3-Tn,B6-4-Tn,TC1-Tn,TC2-Tn,TC4-Tn
0610005C13Rik,1,1,1,2,4,2,0
0610007P14Rik,725,619,576,606,532,461,549
0610009B22Rik,85,68,66,65,51,36,54
0610009E02Rik,6,5,1,4,1,4,2
0610009L18Rik,31,26,24,25,10,12,22
0610009O20Rik,745,691,696,711,900,836,938
0610010F05Rik,150,111,116,113,166,124,125
0610010K14Rik,54,47,63,62,43,50,68
0610011F06Rik,524,422,377,404,340,254,329
0610030E20Rik,2136,1944,1955,2146,1887,1770,2215
0610031O16Rik,3,1,1,1,2,1,7
0610037L13Rik,646,671,679,757,837,746,882
0610038B21Rik,43,24,31,29,42,25,44
0610039K10Rik,0,0,2,0,4,1,0
0610040B10Rik,25,11,12,11,11,17,10
0610040F04Rik,0,0,0,0,0,0,0
0610040J01Rik,0,0,0,0,0,0,0
0610043K17Rik,11,12,12,13,15,8,13
1010001B22Rik,0,1,1,4,2,1,1
1110001J03Rik,174,156,178,179,112,103,117
1110002E22Rik,0,0,0,0,0,0,0
1110002J07Rik,0,0,1,0,0,0,0
1110002L01Rik,431,348,298,377,243,244,294
1110002O04Rik,0,0,0,0,0,0,0
1110004E09Rik,311,291,265,298,217,185,234
1110004F10Rik,1426,1208,1194,1133,1045,820,1028
1110007C09Rik,447,312,380,363,375,307,344
1110008F13Rik,978,922,910,940,773,649,743
1110008L16Rik,207,157,149,148,98,75,99
1110008P14Rik,392,315,364,346,296,226,256
1110012L19Rik,209,206,256,197,130,108,142
1110017D15Rik,1,0,1,0,0,1,1
1110019D14Rik,18,19,18,16,13,11,22
1110020A21Rik,26,27,28,22,16,16,18
1110025M09Rik,15,13,19,22,13,10,15
1110028F11Rik,0,0,1,0,0,2,2
1110032A03Rik,123,79,66,80,98,73,91
1110032F04Rik,302,217,218,156,123,105,143
1110034G24Rik,392,357,409,351,365,306,332
1110035H17Rik,11,14,13,14,8,9,5
1110036E04Rik,0,0,0,0,0,1,0
1110037F02Rik,3541,2928,2766,3086,2912,2382,2991
1110038B12Rik,294,316,315,283,251,216,247
1110038F14Rik,533,460,491,528,501,474,489
1110046J04Rik,0,0,0,0,0,0,0
1110051M20Rik,126,64,76,74,11,6,10
1110059E24Rik,308,257,266,237,270,203,260
1110059G10Rik,296,258,234,238,199,160,169
1110065P20Rik,126,101,107,111,85,66,62
1190002F15Rik,27,38,28,28,29,23,21
1190002N15Rik,412,401,392,393,391,345,412
1190005I06Rik,0,0,1,0,0,2,0
1190007I07Rik,154,146,131,131,102,97,129
1200007C13Rik,0,0,0,0,0,0,0
1200014J11Rik,1877,1444,1548,1574,1570,1409,1615
1300002E11Rik,566,475,490,551,633,571,757
1300017J02Rik,2,0,0,2,1,0,0
1500002C15Rik,18,22,10,13,9,10,17
1500002F19Rik,1,2,1,0,1,0,0
1500004A13Rik,25,19,31,23,36,43,33
1500009L16Rik,0,0,0,2,1,0,0
1500011B03Rik,363,274,321,326,231,197,201
1500011K16Rik,186,172,168,140,96,94,130
1500012F01Rik,843,909,944,822,849,697,697
1500012K07Rik,0,0,0,0,0,0,0
1500015A07Rik,106,89,92,88,90,60,102
1500015O10Rik,0,0,0,0,1,0,0
1500017E21Rik,0,1,0,0,0,0,0
1500026H17Rik,5,1,6,8,5,4,5
1500035N22Rik,0,0,0,0,0,0,1
1520401A03Rik,0,0,0,1,1,1,0
1600002D24Rik,0,0,0,0,0,0,0
1600002H07Rik,123,121,99,117,155,124,158
1600002K03Rik,170,160,156,152,156,117,141
1600010M07Rik,0,0,0,0,0,0,0
1600012H06Rik,637,652,649,699,508,337,525
1600012P17Rik,0,0,0,0,0,0,0
1600014C10Rik,1881,1611,1600,1632,1862,1290,1791
1600017P15Rik,0,0,0,0,0,0,0
1600020E01Rik,360,386,424,459,521,553,685
1600029O15Rik,0,0,0,0,0,0,0
1700001C19Rik,0,0,1,0,0,0,0
1700001D01Rik,0,0,0,0,0,0,0
1700001G11Rik,7,5,1,3,2,2,2
1700001G17Rik,11,7,4,5,6,4,5
1700001J03Rik,5,4,1,2,3,5,14
1700001J11Rik,0,0,0,1,0,0,0
1700001L05Rik,11,7,6,7,12,17,13
1700001L19Rik,0,0,0,1,0,0,0
1700001O22Rik,4,6,6,7,3,6,3
1700001P01Rik,1,1,2,3,5,1,0
1700003E16Rik,0,0,0,0,0,0,0
1700003F12Rik,0,1,1,0,1,0,2
1700003G18Rik,0,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0,0
1700003N22Rik,1,0,0,0,0,0,1
1700006F04Rik,0,0,0,0,0,0,0
1700006J14Rik,0,0,0,0,0,0,1
1700007B14Rik,0,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,0,0,0
1700007G11Rik,0,0,0,0,0,1,1
1700007J10Rik,0,0,0,0,0,0,0
1700007K09Rik,1,0,1,0,1,0,0
1700007K13Rik,0,0,0,0,0,0,0
1700007L15Rik,46,34,35,26,27,12,20
1700008F21Rik,0,0,0,0,0,0,0
1700008J07Rik,55,43,40,39,35,22,41
1700008O03Rik,3,0,3,1,14,6,11
1700009C05Rik,0,0,0,0,0,0,1
1700009J07Rik,0,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,0,0
1700010I14Rik,79,88,62,68,79,69,73
1700010K24Rik,2,0,1,0,0,0,0
1700011A15Rik,0,0,0,0,0,0,0
1700011E24Rik,0,0,0,0,0,0,1
1700011H14Rik,0,0,0,0,0,0,0
1700011I03Rik,0,1,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0,0
1700012B09Rik,0,0,0,0,0,0,0
1700012C14Rik,0,1,0,0,0,0,0
1700012I11Rik,0,0,0,1,0,0,0
1700012L04Rik,0,0,0,1,2,1,2
1700013F07Rik,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,1,0,0
1700013N06Rik,0,0,0,0,0,0,0
1700014D04Rik,0,1,0,0,1,0,0
1700015F17Rik,0,0,0,0,0,0,0
1700015O11Rik,0,0,0,0,0,0,1
1700016A09Rik,1,1,2,2,0,1,1
1700016C15Rik,0,0,0,0,0,0,0
