"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",0.805817238515231,-3.43616389248257,2.15289895391129,-1.59606371039379,0.110474569811282,0.180606602094639
"0610007P14Rik",620.367256781446,0.120922817391774,0.0870141517070876,1.38969138949756,0.164622610615939,0.25248813207991
"0610009B22Rik",71.5510315569718,0.691716817718815,0.233632561550829,2.96070382110811,0.00306936952423742,0.00715706011632564
"0610009E02Rik",2.41645443300829,-0.528477677017573,1.18003759467962,-0.447848169753486,0.654262776483625,0.749872859896992
"0610009L18Rik",21.210114209288,-0.133189955870382,0.408973249240084,-0.325669114343941,0.74467471451482,0.820038248004033
"0610009O20Rik",776.743066434442,-0.1721789915893,0.0636301507187415,-2.70593405240177,0.00681125707728793,0.0149519174422273
"0610010F05Rik",132.699500003956,0.194522195800966,0.156224016838091,1.2451491117564,0.213076944250914,0.311814669806
"0610010K14Rik",56.7978457445709,0.159718475099964,0.235256803923183,0.678911183168656,0.497194139430007,0.612787900227457
"0610011F06Rik",459.234410036947,0.506331756792818,0.0974375905969779,5.19647246704931,2.03105666422136e-07,8.26105573742246e-07
"0610030E20Rik",1849.98068245259,-0.371406949888892,0.0713646929223619,-5.20435154527951,1.94675175746729e-07,7.93300200582173e-07
"0610031O16Rik",1.35692942395914,-2.27922686164364,1.5385833428081,-1.48138017501462,0.138505294566655,0.21883962398228
"0610037L13Rik",748.212563187391,0.00263363287118235,0.085993131279692,0.0306260841068396,0.975567739794689,0.994149437938818
"0610038B21Rik",34.8532835381039,0.0265586705591838,0.301307609548785,0.0881447056679254,0.929761664648606,0.95916320527499
"0610039K10Rik",0.798144470268317,-1.30906552285788,2.58520068928542,-0.506369013548314,0.612597623100511,0.715470505227759
"0610040B10Rik",16.4595476709141,0.525379243639228,0.472852316218942,1.11108527042927,0.26653164740451,0.374108192207751
"0610040F04Rik",1.21091844489383,2.84790769027074,2.19409578116174,1.29798694966854,0.194291819478389,0.288895686428102
"0610040J01Rik",0.0814536502722676,0.9692352342173,4.71163921779343,0.205710834258489,0.83701679504505,NA
