gene_name,TC1-Tfh,TC1-Tn,TC2-Tfh,TC2-Tn,TC4-Tfh,TC4-Tn
0610005C13Rik,0,4,0,2,0,0
0610007P14Rik,522,532,528,461,617,549
0610009B22Rik,74,51,68,36,84,54
0610009E02Rik,3,1,0,4,2,2
0610009L18Rik,13,10,10,12,17,22
0610009O20Rik,777,900,727,836,859,938
0610010F05Rik,145,166,142,124,186,125
0610010K14Rik,59,43,45,50,76,68
0610011F06Rik,454,340,388,254,460,329
0610030E20Rik,1425,1887,1390,1770,1703,2215
0610031O16Rik,0,2,1,1,1,7
0610037L13Rik,834,837,715,746,912,882
0610038B21Rik,35,42,43,25,33,44
0610039K10Rik,2,4,0,1,0,0
0610040B10Rik,18,11,17,17,20,10
0610040F04Rik,4,0,0,0,0,0
0610040J01Rik,0,0,1,0,0,0
0610043K17Rik,6,15,4,8,11,13
1010001B22Rik,1,2,1,1,1,1
1110001J03Rik,97,112,59,103,82,117
1110002E22Rik,0,0,1,0,3,0
1110002J07Rik,36,0,26,0,30,0
1110002L01Rik,283,243,244,244,327,294
1110002O04Rik,0,0,0,0,0,0
1110004E09Rik,142,217,136,185,152,234
1110004F10Rik,1026,1045,876,820,1100,1028
1110007C09Rik,306,375,242,307,302,344
1110008F13Rik,691,773,558,649,630,743
1110008L16Rik,84,98,92,75,126,99
1110008P14Rik,292,296,255,226,302,256
1110012L19Rik,174,130,142,108,186,142
1110017D15Rik,0,0,1,1,1,1
1110019D14Rik,19,13,18,11,19,22
1110020A21Rik,4,16,8,16,11,18
1110025M09Rik,13,13,15,10,20,15
1110028F11Rik,15,0,13,2,18,2
1110032A03Rik,169,98,129,73,173,91
1110032F04Rik,80,123,112,105,107,143
1110034G24Rik,450,365,289,306,446,332
1110035H17Rik,3,8,0,9,3,5
1110036E04Rik,0,0,0,1,2,0
1110037F02Rik,3642,2912,2978,2382,4322,2991
1110038B12Rik,153,251,142,216,195,247
1110038F14Rik,507,501,426,474,569,489
1110046J04Rik,4,0,2,0,3,0
1110051M20Rik,44,11,23,6,31,10
1110059E24Rik,247,270,212,203,281,260
1110059G10Rik,221,199,186,160,251,169
1110065P20Rik,126,85,85,66,81,62
1190002F15Rik,79,29,63,23,87,21
1190002N15Rik,820,391,775,345,818,412
1190005I06Rik,5,0,2,2,1,0
1190007I07Rik,83,102,82,97,132,129
1200007C13Rik,1,0,2,0,2,0
1200014J11Rik,1287,1570,1212,1409,1287,1615
1300002E11Rik,603,633,567,571,700,757
1300017J02Rik,1,1,0,0,1,0
1500002C15Rik,48,9,22,10,44,17
1500002F19Rik,0,1,0,0,0,0
1500004A13Rik,391,36,267,43,384,33
1500009L16Rik,1,1,0,0,0,0
1500011B03Rik,215,231,156,197,234,201
1500011K16Rik,137,96,120,94,148,130
1500012F01Rik,402,849,350,697,358,697
1500012K07Rik,0,0,0,0,0,0
1500015A07Rik,35,90,42,60,46,102
1500015O10Rik,0,1,0,0,0,0
1500017E21Rik,0,0,1,0,0,0
1500026H17Rik,1,5,0,4,0,5
1500035N22Rik,0,0,0,0,0,1
1520401A03Rik,1,1,2,1,1,0
1600002D24Rik,0,0,1,0,0,0
1600002H07Rik,148,155,149,124,199,158
1600002K03Rik,89,156,73,117,125,141
1600010M07Rik,0,0,0,0,0,0
1600012H06Rik,420,508,399,337,482,525
1600012P17Rik,1,0,0,0,0,0
1600014C10Rik,1528,1862,1186,1290,1526,1791
1600017P15Rik,0,0,0,0,0,0
1600020E01Rik,328,521,343,553,365,685
1600029O15Rik,0,0,0,0,1,0
1700001C19Rik,1,0,0,0,0,0
1700001D01Rik,1,0,1,0,0,0
1700001G11Rik,12,2,6,2,18,2
1700001G17Rik,1,6,1,4,6,5
1700001J03Rik,5,3,0,5,5,14
1700001J11Rik,0,0,0,0,1,0
1700001L05Rik,13,12,11,17,13,13
1700001L19Rik,0,0,0,0,0,0
1700001O22Rik,63,3,57,6,47,3
1700001P01Rik,3,5,0,1,1,0
1700003E16Rik,0,0,0,0,0,0
1700003F12Rik,4,1,5,0,0,2
1700003G18Rik,0,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0
1700003N22Rik,0,0,0,0,0,1
1700006F04Rik,1,0,1,0,2,0
1700006J14Rik,7,0,1,0,3,1
1700007B14Rik,0,0,0,0,0,0
1700007E05Rik,0,0,0,0,0,0
1700007G11Rik,0,0,0,1,0,1
1700007J10Rik,0,0,0,0,0,0
1700007K09Rik,0,1,0,0,1,0
1700007K13Rik,0,0,0,0,0,0
1700007L15Rik,15,27,15,12,17,20
1700008F21Rik,0,0,0,0,0,0
1700008J07Rik,34,35,21,22,27,41
1700008O03Rik,15,14,21,6,15,11
1700009C05Rik,0,0,0,0,0,1
1700009J07Rik,0,0,0,0,0,0
1700010B13Rik,0,0,0,0,0,0
1700010I14Rik,68,79,73,69,90,73
1700010K24Rik,1,0,0,0,0,0
1700011A15Rik,0,0,0,0,0,0
1700011E24Rik,1,0,1,0,0,1
1700011H14Rik,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,2,0
1700011L22Rik,1,0,0,0,0,0
1700012B07Rik,2,0,1,0,3,0
1700012B09Rik,0,0,0,0,0,0
1700012C14Rik,1,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0
1700012L04Rik,2,2,3,1,4,2
1700013F07Rik,0,0,0,0,0,0
1700013H16Rik,0,1,0,0,0,0
1700013N06Rik,0,0,0,0,0,0
1700014D04Rik,1,1,1,0,1,0
1700015F17Rik,0,0,0,0,0,0
1700015O11Rik,0,0,0,0,0,1
1700016A09Rik,0,0,1,1,0,1
1700016C15Rik,0,0,0,0,1,0
1700016D06Rik,0,0,1,0,0,0
1700016G14Rik,0,1,0,2,1,4
1700016G22Rik,1,1,0,0,0,0
1700016K19Rik,9,6,3,6,8,6
1700016L21Rik,0,0,0,1,0,2
1700016P03Rik,15,1,9,3,2,1
1700017B05Rik,1847,1488,1357,1356,1792,1411
1700017G19Rik,0,1,0,0,0,0
1700018A14Rik,0,0,0,0,1,0
1700018B08Rik,0,0,0,0,1,0
1700018L02Rik,4,3,5,1,3,0
1700018M17Rik,2,2,1,2,2,3
1700019A02Rik,2,3,0,0,2,1
1700019B03Rik,4,3,0,5,0,4
1700019D03Rik,298,1,252,0,423,1
1700019G17Rik,87,110,96,75,117,133
1700019L03Rik,23,0,20,1,19,0
1700019N19Rik,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0
1700020D05Rik,39,18,27,19,37,35
1700020I14Rik,3703,3416,2690,2226,3299,2905
1700020L24Rik,3,14,15,8,9,15
1700020M21Rik,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0
1700020N18Rik,7,0,3,0,9,2
1700021A07Rik,34,28,33,24,48,39
1700021F05Rik,158,126,105,127,168,151
1700021J08Rik,0,1,1,0,0,0
1700021K19Rik,867,750,813,632,880,695
1700021N21Rik,0,0,0,0,0,1
1700022I11Rik,0,1,0,0,0,0
1700022N22Rik,5,12,4,14,9,6
1700023F06Rik,1,0,1,0,1,0
1700023H06Rik,9,6,17,12,19,6
1700024P04Rik,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0
1700025G04Rik,231,313,31,156,137,264
1700025N21Rik,0,1,0,0,0,0
1700025N23Rik,0,0,2,1,0,0
1700026D08Rik,0,0,0,0,0,0
1700026D11Rik,19,13,6,20,9,20
1700026L06Rik,0,0,1,0,2,1
