MGI Gene/Marker ID,mouseSymbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1919494,1600014C10Rik,RIKEN cDNA 1600014C10 gene,7,,response to oxidative stress,,,ISO,Q9NSK7 ,J:164563 
MGI:102676,Abcc1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 1",16,,response to oxidative stress,,,ISO,RGD:3112 ,J:155856 
MGI:1349215,Abcd1,"ATP-binding cassette, sub-family D (ALD), member 1",X,,regulation of cellular response to oxidative stress,,,IMP,,J:136104 J:234537 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,cellular response to hydrogen peroxide,,,ISO,P00519 ,J:164563 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,response to oxidative stress,,,IMP,,J:172188 
MGI:87859,Abl1,"c-abl oncogene 1, non-receptor tyrosine kinase",2,,response to oxidative stress,,,ISO,P00519 ,J:73065 
MGI:1934852,Acox2,"acyl-Coenzyme A oxidase 2, branched chain",14,,positive regulation of response to oxidative stress,,,ISO,Q99424 ,J:164563 
MGI:105376,Adam9,a disintegrin and metallopeptidase domain 9 (meltrin gamma),8,,response to hydrogen peroxide,,,ISO,Q13443 ,J:164563 
MGI:106675,Adipoq,"adiponectin, C1Q and collagen domain containing",16,,detection of oxidative stress,,,IMP,,J:136297 
MGI:2448562,Adnp2,ADNP homeobox 2,18,,cellular response to oxidative stress,,,IMP,,J:135357 
MGI:2140364,Adprhl2,ADP-ribosylhydrolase like 2,4,,cellular response to superoxide,,,IMP,,J:202975 
MGI:2140364,Adprhl2,ADP-ribosylhydrolase like 2,4,,cellular response to superoxide,,,ISO,Q9NX46 ,J:164563 
MGI:2183446,Agap3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",5,,cellular response to reactive oxygen species,,,IDA,,J:105718 
MGI:2183446,Agap3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",5,,cellular response to reactive oxygen species,,,ISO,F1NF99 ,J:105718 
MGI:1343098,Aif1,allograft inflammatory factor 1,17,,cellular response to oxidative stress,,,ISO,P55008 ,J:164563 
MGI:1349419,Aifm1,"apoptosis-inducing factor, mitochondrion-associated 1",X,,response to oxidative stress,,,TAS,,J:180458 
MGI:1918611,Aifm2,"apoptosis-inducing factor, mitochondrion-associated 2",10,,regulation of cellular response to oxidative stress,,,IMP,,J:281212 
MGI:1353494,Akr1b3,"aldo-keto reductase family 1, member B3 (aldose reductase)",6,,cellular response to hydrogen peroxide,,,ISO,RGD:2092 ,J:155856 
MGI:2145420,Akr1c18,"aldo-keto reductase family 1, member C18",13,,cellular response to reactive oxygen species,,,ISO,P42330 ,J:164563 
MGI:87986,Akt1,thymoma viral proto-oncogene 1,12,,cellular response to reactive oxygen species,,,ISO,P31749 ,J:164563 
MGI:1353450,Aldh1a1,"aldehyde dehydrogenase family 1, subfamily A1",19,,response to oxidative stress,,,ISO,RGD:2087 ,J:155856 
MGI:99600,Aldh2,"aldehyde dehydrogenase 2, mitochondrial",5,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,RGD:69219 ,J:155856 
MGI:1353452,Aldh3a2,"aldehyde dehydrogenase family 3, subfamily A2",11,,response to reactive oxygen species,,,ISO,RGD:61866 ,J:155856 
MGI:1914939,Aldh3b1,"aldehyde dehydrogenase 3 family, member B1",19,,cellular response to oxidative stress,,,ISO,P43353 ,J:73065 
MGI:87999,Alox5,arachidonate 5-lipoxygenase,6,,regulation of cellular response to oxidative stress,,,IMP,,J:253033 
MGI:1921268,Als2,alsin Rho guanine nucleotide exchange factor,1,,response to oxidative stress,"has the participant cerebral cortex,has the participant primary neuron|has the participant cerebellum,has the participant primary neuron",,IMP,MGI:3522476 ,J:100336 
MGI:1861447,Ankrd2,ankyrin repeat domain 2 (stretch responsive muscle),19,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,Q9GZV1 ,J:73065 
MGI:1098746,Ankzf1,ankyrin repeat and zinc finger domain containing 1,1,,cellular response to hydrogen peroxide,,,ISO,Q9H8Y5 ,J:164563 
MGI:96819,Anxa1,annexin A1,19,,cellular response to hydrogen peroxide,,,IBA,PTN002574794 ,J:265628 
MGI:96819,Anxa1,annexin A1,19,,cellular response to hydrogen peroxide,,,ISO,RGD:2118 ,J:155856 
MGI:88042,Apex1,apurinic/apyrimidinic endonuclease 1,14,,cellular response to hydrogen peroxide,,,ISO,RGD:2126 ,J:155856 
MGI:88051,Apoa4,apolipoprotein A-IV,9,,removal of superoxide radicals,,,ISO,P06727 ,J:164563 
MGI:88051,Apoa4,apolipoprotein A-IV,9,,response to lipid hydroperoxide,,,ISO,P06727 ,J:164563 
MGI:88056,Apod,apolipoprotein D,16,,response to reactive oxygen species,,,IBA,PTN000064702 ,J:265628 
MGI:88056,Apod,apolipoprotein D,16,,response to reactive oxygen species,,,IMP,,J:143809 
MGI:88056,Apod,apolipoprotein D,16,,response to reactive oxygen species,,,ISO,P05090 ,J:164563 
MGI:88057,Apoe,apolipoprotein E,7,,response to oxidative stress,,,IMP,MGI:2137814 ,J:33429 
MGI:88059,App,amyloid beta (A4) precursor protein,16,,positive regulation of oxidative stress-induced neuron death,,,ISO,P05067 ,J:164563 
MGI:88059,App,amyloid beta (A4) precursor protein,16,,response to oxidative stress,,,IGI,MGI:1202717 ,J:106153 
MGI:1913658,Aptx,aprataxin,4,,response to hydrogen peroxide,,,ISO,Q7Z2E3 ,J:164563 
MGI:103201,Aqp1,aquaporin 1,6,,cellular response to hydrogen peroxide,,,ISO,P29972 ,J:164563 
MGI:103201,Aqp1,aquaporin 1,6,,cellular response to nitric oxide,,,ISO,P29972 ,J:164563 
MGI:1929501,Arl6ip5,ADP-ribosylation factor-like 6 interacting protein 5,6,,intrinsic apoptotic signaling pathway in response to oxidative stress,,,ISO,O75915 ,J:164563 
MGI:88071,Arnt,aryl hydrocarbon receptor nuclear translocator,3,,regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,P27540 ,J:164563 
MGI:1096381,Arntl,aryl hydrocarbon receptor nuclear translocator-like,7,,oxidative stress-induced premature senescence,,,IMP,,J:207073 
MGI:88096,Atf4,activating transcription factor 4,15,,cellular response to oxidative stress,,,IMP,,J:137331 
MGI:88096,Atf4,activating transcription factor 4,15,,negative regulation of oxidative stress-induced neuron death,,,ISO,RGD:621863 ,J:155856 
MGI:88096,Atf4,activating transcription factor 4,15,,negative regulation of oxidative stress-induced neuron death,,,ISO,P18848 ,J:164563 
MGI:88096,Atf4,activating transcription factor 4,15,,positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,IBA,PTN002660514 ,J:265628 
MGI:88096,Atf4,activating transcription factor 4,15,,positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,RGD:621863 ,J:155856 
MGI:88096,Atf4,activating transcription factor 4,15,,positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress,,,ISO,P18848 ,J:164563 
MGI:1921494,Atg7,autophagy related 7,6,,cellular response to reactive oxygen species,happens in non-terminally differentiated osteoblast,,IMP,,J:203940 
MGI:1921494,Atg7,autophagy related 7,6,,negative regulation of oxidative stress-induced neuron death,,,ISO,RGD:1304817 ,J:155856 
MGI:1333855,Atox1,antioxidant 1 copper chaperone,11,,response to oxidative stress,,,IBA,PTN000517251 ,J:265628 
